	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
CATD	4.832890014	5.575917361	5.692092375	7.357552005	6.407692649	6.928370323	7.64385619	5.06608919	6.515699838	7.264911693	7.196725061	6.224966365	4.765534746	7.917073663	6.887525271	5.274261661	7.28169825	7.913487841	8.085339669	5.551516018	7.55688919	7.336283388	7.998872454	6.715618859	5.40599236	5.485426827	6.936637939	6.400879436	7.36018867	7.581953751	4.832890014	4.981852653	7.708739041	7.521207816	6.251719093	8.07307042	5.078951341	6.736063628	6.289096702	5.395748328	6.355791547	6.944858446	5.44625623	7.500642736	5.40599236	8.639159795	4.867896464	5.697662633	6.882643049	6.865423978	5.517275693	5.64385619	5.862947248	7.702519029	7.875288598	6.055282436	7.375039431	5.809928866	5.776103988	6.893604905	5.442943496	6.040015679	6.392317423	5.526694846	7.474111514	5.789207575	7.098032083	5.255500733	6.173926932	5.776103988	5.185866545	6.155830172	4.906890596	6.224966365	6.264911693	7.519636253	7.141596278	5.247927513	6.920055055	7.483009577	8.334943631	6.147713722	4.935459748	6.50779464	7.175923742	6.226893814	5.809928866	5.596935142	6.976134473	6.964629667	8.106955457	5.857980995	7.06608919	6.875288598	4.608809243	6.626439137	7.678776174	9.189824559	6.031218731	5.658211483	7.045486656
GNAI2	6.651051691	6.62058641	6.459431619	6.341630009	5.399171094	7.212374788	6.177917792	6.795715007	5.963474124	6.246027981	6.917670434	6.749534268	6.081083929	7.107478647	6.253611152	5.563768278	6.754887502	6.187846909	7.578183968	6.383704292	6.619119511	6.263034406	6.242221395	7.006746832	5.995484519	6.251719093	6.949534933	6.515699838	6.238404739	7.140574178	6.108524457	5.909293086	6.359310317	6.091699834	6.883865155	6.783980414	6.173926932	5.566815154	6.765534746	5.251719093	5.736063628	5.914086097	6.296457407	6.289096702	6.255500733	6.937815169	6.361066489	6.818901676	5.760220946	6.563768278	5.137503524	6.348728154	6.802193217	7.253611152	6.474111514	6.821455119	7.132371199	6.987548259	6.209453366	6.441284272	6.656782364	6.905687849	6.263034406	5.711494907	6.977279923	7.070389328	6.14974712	6.526694846	6.145677455	5.350497247	6.151777655	6.48864354	6.687900522	6.804776378	7.020146573	6.553053253	6.501439145	6.569855608	6.704595348	5.303780748	7.09592442	6.470862199	6.64096791	6.259272487	6.165911939	5.087462841	6.242221395	6.024585638	5.244125943	6.215290306	7.421223299	6.185866545	6.741466986	5.786596362	6.54689446	7.044394119	6.798309782	7.256444596	6.285402219	6.824004051	6.54689446
IQGA1	6.289096702	6.499845887	6.141596278	6.949534933	5.697662633	7.112700133	6.454504938	6.334496768	6.187846909	6.343407822	7.294620749	6.378511623	6.350497247	7.297374861	6.397460726	6.165911939	6.773468928	6.240314329	7.613973587	6.195741293	6.815063017	6.521992956	6.327328083	6.710117632	6.515699838	7.038918989	7.100136671	6.886306263	6.708739041	6.921245889	6.359310317	6.114783447	6.676662335	6.277984747	7.054197294	7.102238194	6.48864354	5.956521363	6.495055528	5.875288598	6.06608919	6.429615964	6.383704292	6.636624621	6.619119511	7.497452696	6.215290306	6.845490051	6.157852169	6.733354341	6.257387843	6.409390936	6.675251386	7.277984747	6.941341105	6.958842675	7.66106548	6.757556689	6.416164165	6.852997588	6.666756592	6.793115555	7.040015679	5.87774425	6.935459748	6.700439718	6.512542955	6.407692649	6.116863758	5.692092375	6.592457037	7.036723106	6.731997787	6.965784285	6.900866808	6.708739041	6.682292371	6.236492618	6.646738698	6.441284272	7.011227255	6.285402219	6.459431619	6.51412226	6.426264755	5.495055528	6.773468928	6.230741003	5.705977902	5.937815169	7.532940288	6.638073837	6.737416366	5.705977902	6.177917792	6.469234794	6.531381461	7.195741293	6.345183447	6.327328083	6.721099189
SQOR	5.789207575	5.797012978	6.381975479	6.50779464	5.426264755	6.837943242	6.402585758	6.523561956	6.135452784	6.053111336	6.896029603	6.758889433	5.887525271	7.361943774	6.456149035	5.951867504	6.809928866	6.701826258	7.857980995	6.232660757	6.908092341	6.327328083	6.074676686	6.924812504	5.968090752	6.098032083	7.287250643	6.321928095	6.669593751	7.350497247	6.323730338	6.249824549	6.383704292	5.830356747	7.805421446	7.174925683	6.490249211	5.754887502	6.40599236	6.020146573	5.692092375	5.375039431	6.40599236	6.461070114	6.076815597	7.394033895	6.412781525	6.605849867	5.887525271	6.744161096	5.357552005	6.125155131	6.572889668	8.033423002	6.99095486	7.269594252	6.773468928	7.435461914	6.0725346	6.482202926	6.339850003	6.836681593	6.610286657	5.43629512	7.58345891	7.126188211	6.362820526	6.605849867	6.381975479	5.560714954	6.407692649	7.402585758	6.272396509	6.898450233	7.518062976	6.416164165	6.574404309	6.659639187	6.822730148	5.961160258	7.044394119	6.449561375	6.589463893	6.437960088	6.795715007	5.325530332	6.93191939	6.207502459	5.963474124	6.741466986	8.270061673	7.125155131	6.899659026	6.17990909	6.277984747	6.737416366	6.638073837	6.9795681	6.395748328	6.348728154	6.693486957
PROF1	5.638073837	6.623515741	5.399171094	6.419538892	6.798309782	7.437960088	7.448735798	5.840463234	6.798309782	7.413627929	7.023477152	6.311067102	6.655351829	7.181897643	6.770829046	5.802193217	7.198690586	6.776103988	7.289096702	6.002252452	7.129283017	7.142617655	6.761551232	7.024585638	5.563768278	7.03562391	7.029011087	7.631540867	7.501439145	6.798309782	5.817623258	5.566815154	7.723148957	7.385431037	6.836681593	8.019034669	5.786596362	7.223036338	6.187846909	5.700439718	6.004501392	6.820178962	6.30560579	7.435461914	5.689299161	7.970968661	6.341630009	5.997744026	7.697662633	7.304693557	6.512542955	5.529820947	5.963474124	6.998872454	7.366322214	6.327328083	6.253611152	7.036723106	5.923624611	6.74281467	5.776103988	6.357552005	7.224001674	7.53838296	6.827819025	5.937815169	7.682994584	6.015693807	6.92243574	6.649615459	6.040015679	6.710117632	5.958842675	6.772149591	6.163901214	6.874059203	6.560714954	5.741466986	6.48058827	7.612499946	7.265849421	6.249824549	5.03562391	6.307428525	7.357552005	6.545350645	6.46760555	5.928370323	7.46515823	7.594697827	7.242221395	5.988684687	7.375908263	7.575161033	5.778734244	7.355791547	6.847996907	7.432124273	6.129283017	6.314696526	6.780047576
TBA4A	5.928370323	6.556122818	6.332707934	6.715618859	6.62058641	6.707359132	6.364572432	6.856736756	6.169925001	6.816343705	7.045486656	6.790511412	6.534497434	6.918863237	6.549977143	6.189824559	6.264911693	6.680886921	7.106432078	6.125155131	6.444600814	6.483815777	6.193771743	6.934280594	6.301953395	6.491853096	6.834154981	6.323730338	6.563768278	6.949534933	6.417852515	5.862947248	6.485426827	6.341630009	7.004501392	7.787902559	6.28169825	6.348728154	6.512542955	6.452858965	5.977279923	6.311067102	6.504620392	7.170926525	6.169925001	7.05853297	6.565292521	6.768184325	6.240314329	7.002252452	5.949534933	6.114783447	6.614709844	7.071462363	6.985272714	6.253611152	7.169925001	7.211401637	6.577428828	6.836681593	6.729280846	6.963474124	6.710117632	5.804776378	6.834154981	6.758889433	6.841721581	6.723831566	6.540709263	6.361066489	6.694880193	6.587964989	6.793115555	6.964629667	6.855491443	6.817623258	6.577428828	6.44625623	7.419538892	6.776103988	7.375039431	6.526694846	6.112700133	6.860466259	7.374170076	6.078951341	7.193771743	7.027905997	6.395748328	6.719731057	7.255500733	6.820178962	6.75087444	6.399171094	6.760220946	7.007868243	6.86913112	7.092757141	7.033423002	6.786596362	7.413627929
LG3BP	6.167919866	5.554588852	6.133399125	5.28169825	7.069315495	6.175923742	7.22881869	5.551516018	6.904484098	7.141596278	6.209453366	7.089582893	5.177917792	4.786596362	8.494255587	5.173926932	7.478971805	6.703211467	5.485426827	6.504620392	7.03562391	6.290940402	6.556122818	6.978424465	5.64385619	6.213347282	6.605849867	6.417852515	6.388878339	5.918863237	5.429615964	6.462706751	6.682292371	6.131342539	5.736063628	5.875288598	6.226893814	8.570235215	6.029011087	4.026800059	7.111657346	7.36018867	5.599912842	7.6794801	6.008988783	5.867896464	5.078951341	6.915281866	6.636624621	7.425425735	7.264911693	5.371558863	5.43629512	6.97384084	6.916476644	5.865423978	5.916476644	6.407692649	7.019034669	6.123086751	5.711494907	5.523561956	6.008988783	6.974988112	5.794415866	6.483815777	7.701133155	5.947198584	7.925999419	8.468827655	5.799605422	5.981852653	5.809928866	6.050936965	6.061776198	5.87774425	7.242221395	5.8899602	6.616181231	6.261154673	5.840463234	5.944858446	4.949534933	7.011227255	4.554588852	6.607330314	5.361066489	5.722466024	4.694880193	5.894817763	5.986410935	4.776103988	8.263503957	7.29553937	5.429615964	6.044394119	6.28169825	5.177917792	5.675251386	6.177917792	6.141596278
SODE	7.217230716	7.094869433	7.597680144	6.046578367	5.768184325	5.137503524	6.50779464	7.264911693	7.60659028	7.136478518	4.498250868	6.195741293	6.338067798	5.314696526	6.645298164	5.719731057	6.181897643	5.904484098	5.50779464	6.610286657	5.94016675	6.737416366	5.66106548	5.263034406	7.933100475	6.274261661	6.619119511	5.875288598	6.240314329	4.897240426	7.460251099	6.738767837	5.520422249	6.270528942	4.459431619	5.587964989	7.804131021	6.689299161	6.799605422	5	7.194756854	6.886306263	6.571373436	5.296457407	7.795715007	5.797012978	6.880195729	7.508587112	3.584962501	5.008988783	7.924812504	6.388878339	6.334496768	6.915281866	4.412781525	6.276124405	6.187846909	6.551516018	7.068240861	5.902073579	6.711494907	4.867896464	7.173926932	7.034523875	5.289096702	7.354028938	6.431288654	6.385431037	6.357552005	7.944272818	6.712870868	6.421223299	6.336283388	6.856736756	6.571373436	5.949534933	6.521992956	6.822730148	5.678071905	4.716990894	4.986410935	7.687200695	8.306973057	6.955359305	4.193771743	5.307428525	5.048759312	6.311067102	3.321928095	7.025693274	4.008988783	5.575917361	7.197708158	5.129283017	8.073606041	4.887525271	5.725195817	5.686500527	6.723831566	6.649615459	6.599912842
IGHG4	5.346956889	7.685099172	4.145677455	3.292781749	9.359969132	7.336283388	5.855491443	4.626439137	6.323730338	7.967514481	7.299208018	3.765534746	6.312882955	6.21916852	6.378511623	3.847996907	5.141596278	4.902073579	4.566815154	2.722466024	6.781359714	4.504620392	4.807354922	9.404290064	4.822730148	5.416164165	5.153805336	6.292781749	6.055282436	5.916476644	5.50779464	5.977279923	6.464341533	6.465974465	5.040015679	5.584962501	4.247927513	5.646738698	6.444600814	6.230741003	3.963474124	6.496654083	4.584962501	7.622051819	5.439623138	6.821455119	4.862947248	5.683696454	6.87774425	8.250772132	6.211401637	7.89056829	6.593951284	4.694880193	6.029011087	5.419538892	3.432959407	7.615445725	6.01346226	6.102238194	5.277984747	7.338067798	5.981852653	6.296457407	5.232660757	7.93191939	5.554588852	6.632268215	8.175424799	7.725195817	6.264911693	5.773468928	4.426264755	4.678071905	5.944858446	7.526694846	5.108524457	4.655351829	6.159871337	7.294620749	5.51412226	4.95419631	4.017921908	5.462706751	6.232660757	8.000563443	4.40599236	4.008988783	10.00464183	7.896635141	5.566815154	6.592457037	5.984133595	7.045486656	6.427941333	7.019034669	7.849248703	5.773468928	5.392317423	7.595443985	6.809928866
GSLG1	6.153805336	6.451211112	6.029011087	6.61176256	5.307428525	7.083213368	5.852997588	6.350497247	6.905687849	6.54225805	6.665335917	6.730639956	6.121015401	7.049848549	6.528258743	5.933100475	6.862947248	6.296457407	7.121015401	6.114783447	6.205548911	6.163901214	6.263034406	6.676662335	6.022367813	6.230741003	6.545350645	6.503030646	6.21916852	7.077883864	6.66106548	6.199672345	6.057450272	5.937815169	6.793115555	6.133399125	6.085339669	5.64385619	6.40599236	5.145677455	5.832890014	6.087462841	6.300123725	6.102238194	6.09592442	6.885086225	6.078951341	6.610286657	5.09592442	6.261154673	5.596935142	6.159871337	6.738767837	6.94016675	6.155830172	7.001126665	6.817623258	7.529040056	6.163901214	6.553053253	6.649615459	6.797012978	6.797012978	5.587964989	7.369815424	6.956521363	5.961160258	6.478971805	6.454504938	5.778734244	6.274261661	6.626439137	6.672425342	6.581953751	6.766860144	6.6395216	6.45779126	6.64385619	6.665335917	5.22881869	6.82527683	6.572889668	6.765534746	6.632268215	6.357552005	5.116863758	6.350497247	6.485426827	5.321928095	4.62058641	7.123086751	6.163901214	6.820178962	5.510961919	6.388878339	6.50779464	6.633721813	6.758889433	6.444600814	6.97384084	6.255500733
CALX	6.050936965	6.187846909	6.485426827	6.346956889	5.663913842	7.250772132	6.249824549	6.442943496	6.710117632	6.230741003	6.820178962	6.518849829	6.033423002	7.312882955	6.48058827	5.738767837	6.816343705	6.387155718	7.48703608	6.240314329	6.845490051	6.350497247	6.584962501	6.903279342	6.264911693	6.118941073	6.893604905	6.678071905	6.242221395	6.976134473	5.894817763	6.215290306	6.369815424	5.840463234	7.141596278	6.867896464	6.155830172	5.602884409	6.595443985	6.153805336	6.04220656	6.108524457	6.520422249	6.651051691	6.426264755	7.063934306	6.195741293	6.696272084	5.532940288	6.537606691	5.409390936	6.298291731	6.925999419	7.217230716	6.387155718	6.871597266	6.74819285	7.464341533	6.316507819	6.656782364	6.506208389	7.045486656	6.407692649	5.44625623	7.279842694	7.175923742	6.354028938	6.599912842	6.307428525	5.575917361	6.395748328	6.737416366	6.607330314	6.623515741	6.886306263	6.54689446	6.619119511	6.5360529	6.676662335	5.285402219	7.357552005	6.50779464	6.523561956	6.498250868	6.970393538	4.944858446	6.575917361	6.749534268	5.244125943	5.569855608	7.383704292	6.572889668	6.758889433	5.517275693	6.441284272	6.554588852	6.777419716	6.807354922	6.395748328	6.671010241	6.475733431
MVP	6.135452784	6.38024459	6.257387843	6.30560579	6.110613806	7.153805336	6.031218731	6.017921908	6.916476644	6.464341533	6.454504938	6.251719093	6.171927354	6.920055055	6.94602899	6.343407822	7.017921908	6.236492618	7.150762744	6.434628228	6.899659026	6.630813152	6.744161096	6.95419631	6.272396509	6.417852515	6.485426827	6.549977143	6.704595348	6.761551232	6.287250643	6.517275693	6.434628228	6.499845887	6.257387843	6.610286657	6.560714954	6.118941073	6.442943496	6.070389328	5.566815154	6.244125943	6.649615459	6.209453366	6.54689446	6.811214118	5.974988112	6.48864354	5.635173947	6.301953395	5.860466259	6.371558863	6.97384084	6.974988112	6.125155131	6.95419631	6.708739041	7.171927354	6.416164165	6.226893814	6.99095486	6.712870868	6.813781191	5.956521363	7.500642736	6.793115555	6.274261661	6.768184325	6.817623258	6.584962501	6.112700133	6.758889433	6.723831566	6.947198584	6.87282876	6.693486957	7.627169061	6.806066226	6.296457407	5.638073837	6.736063628	6.756222713	5.786596362	6.806066226	6.731997787	5.548436625	6.520422249	6.303780748	6.255500733	5.108524457	6.849248703	6.537606691	6.791814071	6.199672345	6.452858965	6.632268215	6.649615459	6.831623937	6.253611152	6.62058641	6.449561375
ITB3	5.62935662	8.029011087	6.017921908	4.925999419	7.067165427	5.909293086	6.006746832	6.803485376	5.82527683	5.614709844	6.599912842	5.797012978	6.596935142	5.50779464	6.203592714	8.878050913	5.716990894	6.159871337	5.569855608	7.14363831	6.106432078	6.277984747	5.563768278	9.739611864	6.892391026	5.757556689	6.207502459	6.102238194	6.355791547	6.744161096	5.887525271	6.669593751	5.974988112	5.520422249	6.151777655	6.451211112	6.061776198	5.61176256	6.798309782	9.899507983	7.015693807	6.137503524	6.781359714	7.410239331	6.303780748	5.022367813	7.109569509	5.807354922	6.663913842	5.419538892	6.270528942	6.705977902	5.899659026	5.757556689	5.48864354	6.068240861	5.850499414	6.439623138	5.852997588	5.700439718	6.177917792	8.185371029	5.906890596	5.28169825	7.373300197	6.169925001	6.881419908	5.840463234	6.223036338	5.754887502	6.040015679	5.730639956	7.081083929	5.697662633	6.10433666	5.646738698	6.024585638	6.412781525	7.547665748	5.82527683	6.224966365	6.151777655	6.268658955	6.409390936	8.889047583	5.638073837	6.727920455	9.449767695	7.760886243	6.133399125	5.596935142	7.416164165	5.923624611	4.847996907	7.180903709	5.091699834	6.061776198	5.040015679	6.266786541	5.608809243	5.205548911
AT2A2	6.803485376	6.523561956	6.794415866	6.614709844	5.736063628	6.787902559	6.283551423	6.902073579	5.988684687	6.053111336	6.596935142	7.155830172	5.87036472	7.461070114	5.827819025	6.469234794	6.676662335	6.571373436	7.658925511	6.577428828	6.61176256	6.181897643	5.95419631	6.812498225	6.557655155	5.680886921	7.032321287	6.534497434	6.722466024	7.222070355	6.04220656	6.387155718	6.48703608	6.274261661	7.156841525	7.092757141	6.346956889	5.783980414	6.485426827	6.373300197	6.078951341	6.070389328	6.283551423	6.675251386	6.183883459	7.014578465	6.10433666	6.277984747	5.689299161	6.452858965	5.749534268	5.914086097	7.167919866	7.46760555	6.694880193	6.54225805	6.974988112	6.776103988	6.658211483	6.592457037	6.48864354	7.054197294	6.416164165	6.151777655	7.311975314	7.073606041	6.057450272	6.569855608	5.716990894	5.61176256	6.352264173	6.904484098	6.761551232	6.726558779	7.368069877	6.523561956	6.540709263	6.708739041	6.793115555	5.381975479	6.921245889	6.575917361	7.091699834	6.663913842	6.510961919	5.422905743	6.159871337	6.614709844	5.478971805	5.666756592	7.416164165	6.793115555	6.737416366	4.802193217	6.355791547	6.769507291	6.623515741	6.928370323	6.318316841	6.721099189	6.66106548
AMBP	6.444600814	7.062855655	5.705977902	7.232660757	6.918863237	5.520422249	6.860466259	5.008988783	6.063934306	6.668175869	6.529820947	5.822730148	7.159871337	5.820178962	6.417852515	6.992088609	7.45779126	6.499845887	5.161887682	6.294620749	7.259272487	6.683696454	6.916476644	6.736063628	6.506208389	6.51412226	6.026800059	5.504620392	6.94602899	5.705977902	7.290940402	6.223036338	6.121015401	7.301953395	7.658925511	6.323730338	6.449561375	7.770829046	6.543805176	7.744161096	7.658211483	6.078951341	6.623515741	5.970393538	6.754887502	5.809928866	6.782670659	7.203592714	7.80928581	5.981852653	7.217230716	7.136478518	6.279842694	6.17990909	6.361066489	6.834154981	4.981852653	5.658211483	6.272396509	6.309248961	6.346956889	6.797012978	6.456149035	8.266318057	5.311067102	6.608809243	5.773468928	6.665335917	6.736063628	7.293701542	7.558420713	5.632268215	6.343407822	6.076815597	6.242221395	5.928370323	6.729280846	6.802193217	5.482202926	7.045486656	5.804776378	6.50779464	6.826548487	6.543805176	5.847996907	7.100136671	6.230741003	5.935459748	8.175923742	6	5.321928095	6.911691582	6.887525271	6.177917792	7.351380981	6.740118043	6.145677455	4.902073579	7.156841525	6.362820526	6.689299161
DHE3	5.64096791	5.970393538	6.201633861	6.45779126	5.760220946	7.376776572	6.121015401	6.30560579	6.789207575	5.875288598	6.881419908	6.867896464	6.044394119	7.189824559	6.554588852	6.373300197	7.159871337	6.397460726	7.805421446	6.371558863	6.753551055	6.244125943	6.232660757	6.969242604	5.997744026	5.916476644	7.166916252	6.896029603	6.314696526	7.41869595	6.211401637	6.416164165	6.274261661	5.498250868	7.255500733	6.965784285	6.181897643	5.694880193	6.383704292	6.948367232	5.789207575	5.776103988	6.008988783	6.475733431	5.997744026	7.108524457	6.102238194	6.470862199	5.602884409	6.903279342	5.116863758	6.339850003	6.656782364	7.151777655	6.795715007	7.422905743	7.088523257	7.278914019	5.692092375	6.566815154	6.543805176	6.529820947	6.454504938	5.270528942	7.572131751	6.575917361	6.336283388	6.5360529	5.963474124	5.06608919	6.151777655	7.211401637	6.070389328	6.341630009	7.024585638	6.549977143	6.690696444	6.783980414	6.673839056	5.590961241	7.474111514	6.452858965	7.107478647	6.366322214	6.756222713	4.897240426	6.722466024	6.348728154	5.381975479	7.021257621	8.11113567	6.794415866	6.729280846	6.048759312	5.963474124	7.158862106	6.532940288	7.442114122	5.970393538	6.499845887	6.613236955
FMOD	6.217230716	6.834154981	5.623515741	5.06608919	5.087462841	4.733354341	4.439623138	5.608809243	7.139551352	7.909293086	5.765534746	6.301953395	6.749534268	4.963474124	7.784634846	4.832890014	5.765534746	5.209453366	4.847996907	6.978424465	5.314696526	5.399171094	6.008988783	5.716990894	6.116863758	7.452858965	4.655351829	6.785288981	4.689299161	5.867896464	5.50779464	6.259272487	5.875288598	6.055282436	4.378511623	4.240314329	6.529820947	5.716990894	6.312882955	4.292781749	7.255500733	6.048759312	7.553053253	5.371558863	6.866660751	4.832890014	6.616181231	7.121015401	3.548436625	4.770829046	6.517275693	6.197708158	5.815063017	6.089582893	4.364572432	6.543805176	6.659639187	6.419538892	5.061776198	4.270528942	7.197708158	4.722466024	6.923624611	6.323730338	5.5360529	5.791814071	6.563768278	5.847996907	7.033423002	6.95419631	6.266786541	6.157852169	6.485426827	6.276124405	5.804776378	6.110613806	6.985272714	6.845490051	5.449561375	5.070389328	5.321928095	6.213347282	6.635173947	6.383704292	3.459431619	5.307428525	5.652486495	5.842978832	3.336283388	5.350497247	5.03562391	6.517275693	6.251719093	5.193771743	5.646738698	5.429615964	5.442943496	5.173926932	6.998872454	7.01346226	5.205548911
PRDX1	6.195741293	6.565292521	6.499845887	6.581953751	6.024585638	6.726558779	6.571373436	6.633721813	6.44625623	6.885086225	7.0725346	6.549977143	6.10433666	7.14974712	6.5360529	6.125155131	6.707359132	6.723831566	7.530601415	6.230741003	6.852997588	6.485426827	6.708739041	6.793115555	6.392317423	6.830356747	7.311067102	7.131342539	7.249824549	6.997744026	6.031218731	6.268658955	6.943686952	6.526694846	7.099084761	6.719731057	6.203592714	6.383704292	6.595443985	5.935459748	6.400879436	6.777419716	6.491853096	6.622051819	6.532940288	7.64385619	6.368069877	6.586464526	6.173926932	6.73470962	5.897240426	6.348728154	6.776103988	7.466790238	7.089582893	6.523561956	6.909293086	6.893604905	6.421223299	6.680886921	6.44625623	6.675251386	6.862947248	5.906890596	7.116863758	6.608809243	6.707359132	6.565292521	6.475733431	6.10433666	6.414473836	7.087462841	6.509379149	6.95070169	6.711494907	6.752213368	6.807354922	6.66106548	6.578938713	6.752213368	7.236492618	6.191799501	6.559185866	6.722466024	6.894817763	5.62935662	6.261154673	6.439623138	5.807354922	7.071462363	7.491853096	6.646738698	6.752213368	6.28169825	6.141596278	6.173926932	6.705977902	7.366322214	6.399171094	6.662490364	6.758889433
ASPH	6.874059203	6.563768278	6.820178962	6.518849829	5.416164165	6.733354341	5.678071905	6.864186145	6.217230716	6.665335917	6.816343705	6.933100475	6.133399125	6.839203788	6.289096702	5.82527683	6.857980995	6.619119511	7.465974465	6.40599236	6.64096791	6.368069877	6.388878339	6.757556689	6.376776572	6.287250643	7.034523875	6.762880293	6.253611152	6.953032377	6.037821465	6.17990909	6.383704292	6.091699834	6.752213368	6.752213368	6.336283388	5.649615459	6.616181231	5.602884409	5.830356747	6.390598906	6.390598906	6.666756592	6.43629512	6.949534933	6.249824549	6.601399391	5.416164165	6.412781525	5.608809243	6.325530332	6.984133595	6.899659026	6.617651119	6.590961241	6.738767837	6.655351829	6.75087444	6.978424465	6.824004051	6.949534933	6.572889668	6.044394119	7.148730779	6.806066226	6.40599236	6.359310317	6.247927513	5.419538892	6.46760555	6.703211467	6.822730148	6.958842675	7.037821465	6.529820947	6.638073837	6.610286657	6.651051691	5.381975479	6.746850183	6.692092375	7.317412614	6.627898616	6.394033895	5.584962501	6.426264755	6.375039431	5.270528942	6.6794801	7.00337736	6.503030646	6.424586226	5.112700133	6.807354922	6.155830172	6.627898616	6.608809243	6.725195817	6.680886921	6.509379149
MFAP4	6.432959407	6.653919873	6.911691582	5.419538892	5.539158811	6.790511412	6.493455201	7.902073579	6.529820947	7.977279923	5.217230716	6.789207575	6.673839056	5.040015679	7.317412614	5.277984747	6.48703608	6.908092341	6.181897643	7.612499946	6.076815597	7.040015679	6.554588852	6.327328083	5.700439718	6.020146573	6.246027981	6.712870868	5.666756592	6.850499414	4.472487771	6.986410935	5.545350645	6.244125943	5.914086097	5.714245518	6.371558863	7.369815424	6.930737338	4.602884409	6.613236955	6.831623937	6.560714954	6.817623258	6.786596362	6.28169825	6.768184325	6.97384084	4.209453366	5.658211483	6.093813673	5.928370323	6.613236955	7.255500733	5.539158811	5.270528942	6.918863237	6.607330314	5.632268215	5.129283017	6.627898616	4.452858965	6.515699838	7.646018611	5.944858446	5.757556689	6.738767837	7.141596278	6.482202926	7.046578367	5.584962501	5.87282876	6.185866545	6.613236955	6.289096702	6	6.951867504	7.233619677	5.906890596	4.314696526	5.169925001	6.141596278	7.482202926	6.534497434	3.217230716	5.951867504	4.925999419	5.880195729	3.232660757	8.07734983	5.501439145	5.716990894	7.090641752	5.930737338	7.221103725	6.894817763	6.874059203	6.114783447	6.531381461	7.098032083	6.189824559
BGH3	4.949534933	6.232660757	5.572889668	6.392317423	6.070389328	7.090641752	6.626439137	6.12722055	6.441284272	5.949534933	7.04220656	6.0725346	5.986410935	7.04220656	6.701826258	5.9795681	6.707359132	6.789207575	7.549977143	5.560714954	7.177917792	6.434628228	6.5360529	6.636624621	5.675251386	6.033423002	7.301953395	7.048759312	7.481395824	6.929554316	6.493455201	5.529820947	7.292781749	6.28169825	6.942514505	6.569855608	6.181897643	6.345183447	6.617651119	5.794415866	6.040015679	6.395748328	6.845490051	6.817623258	5.87282876	6.855491443	5.419538892	6.673839056	6.002252452	7.110613806	6.163901214	6.605849867	6.419538892	6.809928866	7.199672345	6.899659026	6.662490364	7.528258743	6.394033895	7.016808288	6.83541884	6.791814071	6.581953751	6.242221395	7.700439718	6.556122818	7.719731057	6.478971805	7.608809243	6.861707287	6.407692649	6.731997787	7.038918989	7.132371199	6.699051844	7.406842755	7.453682186	6.28169825	7.002252452	6.86913112	6.977279923	6.477353527	6.085339669	6.355791547	5.977279923	5.510961919	6.675251386	5.727920455	6.412781525	5.635173947	7.366322214	5.64385619	6.752213368	6.528258743	6.008988783	6.705977902	7.041111535	6.955359305	6.632268215	7.230741003	7.071462363
PRDX2	5.672425342	6.753551055	5.972692654	7.001126665	7.530601415	6.368069877	6.509379149	7.941341105	5.778734244	6.290940402	6.285402219	6.163901214	6.323730338	6.083213368	5.974988112	5.692092375	5.842978832	6.856736756	5.683696454	6.452858965	5.930737338	7.910492832	6.046578367	6.908092341	6.744161096	6.345183447	7.245077275	6.671010241	6.595443985	7.541483864	6.350497247	6.649615459	8.470862199	5.852997588	7.605109074	6.772149591	5.875288598	5.972692654	6.58345891	7.491051376	8.269594252	7.321026129	6.894817763	7.517275693	6.778734244	6.399171094	6.432959407	6.336283388	7.731319031	8.54341855	6.371558863	6.693486957	6.422905743	6.081083929	7.748863715	6.177917792	6.175923742	6.173926932	6.655351829	7.133399125	6.658211483	7.822730148	6.910492832	5.638073837	5.968090752	6.416164165	6.845490051	6.338067798	6.714245518	5.28169825	6.385431037	6.498250868	6.517275693	6.840463234	5.99095486	7.362820526	7.048759312	6.01346226	7.056366761	7.89056829	6.953032377	6.444600814	6.070389328	6.402585758	8.22881869	6.506208389	7.177917792	8.593204354	7.034523875	8.475733431	6.129283017	7.726558779	5.928370323	8.147204925	6.474111514	5.325530332	6.978424465	5.733354341	6.419538892	6.549977143	6.327328083
