	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
IGHG3	6.64385619	6.247927513	4.925999419	7.486231678	8.662134275	7.546122759	6.711494907	7.417008587	5.697662633	6.020146573	7.324630615	7.347842794	5.708739041	8.306973057	5.773468928	7.369815424	6.213347282	6.818901676	6.259272487	5.977279923	6.74281467	6.230741003	6.94602899	8.057991723	5.201633861	7.258330473	6.725195817	6.984133595	5.608809243	7.175923742	6.385431037	7.11997861	6.323730338	6.642412773	5.462706751	5.173926932	7.255500733	7.025693274	6.121015401	6.802193217	7.14363831	6.45779126	7.485426827	6.350497247	6.495055528	7.06501215	7.560714954	7.781359714	7.770829046	5.822730148	7.682292371	7.977279923	6.802193217	5.857980995	6.948367232	6.772149591	6.740118043	6.112700133	6.685099172	5.689299161	6.255500733	7.307428525	7.44625623	6.938991439	6.247927513	7.578183968	7.186857067	7.381975479	7.740792672	8.425006041	6.414473836	5.944858446	6.125155131	6.680886921	6.548436625	6.48864354	6.943686952	7.268658955	5.581953751	6.622051819	6.798309782	7.394033895	6.705977902	6.085339669	4.972692654	6.723831566	7.284477118	7.898450233	6.595443985	5.217230716	8.955359305	7.503030646	5.332707934	5.820178962	6.321928095	6.725195817	6.894817763	5.842978832	7.711494907	8.479780264	7.402585758	6.665335917	6.966937979	7.294620749	6.444600814
IGHG4	6.66106548	6.102238194	5.116863758	6.656782364	9.414896604	7.187846909	7.180903709	7.175923742	5.078951341	6.422905743	7.061776198	7.494255587	6.116863758	7.506208389	5.993221467	7.442114122	5.770829046	6.795715007	6.74819285	5.791814071	6.201633861	6.181897643	7.067165427	7.5360529	5.700439718	7.354910512	6.692092375	7.731319031	6.205548911	6.461070114	5.733354341	6.593951284	6.185866545	6.699051844	6.427941333	4.017921908	6.402585758	6.434628228	6.528258743	5.899659026	6.727920455	6.421223299	7.258330473	6.427941333	6.203592714	7.214319121	6.93191939	7.28169825	6.830356747	6.765534746	7.194756854	7.602142091	6.283551423	4.949534933	7.393175914	6.798309782	6.369815424	6.006746832	6.151777655	4.99095486	6.596935142	7.517275693	7.422064766	6.710117632	7.059614856	7.673839056	7.085339669	6.874059203	7.839833648	7.55228484	6.857980995	6.116863758	6.414473836	7.279842694	6.896029603	6.953032377	6.827819025	6.852997588	6.824004051	6.23457796	6.659639187	6.942514505	6.300123725	5.452858965	6.17990909	6.17990909	7.610286657	9.138015753	7.049848549	6.253611152	9.504818988	7.062855655	5.472487771	6.61176256	6.063934306	6.6395216	7.157852169	6.596935142	7.632995197	7.833522636	6.226893814	6.904484098	6.551516018	6.817623258	6.155830172
IGKC	5.986410935	7.322829498	4.649615459	6.175923742	8.840777924	7.388878339	5.902073579	5.87282876	5.791814071	5.781359714	8.393175914	7.553053253	4.419538892	6.584962501	6.623515741	6.871597266	5.708739041	5.185866545	5.137503524	5.930737338	5.137503524	4.765534746	6.292781749	9.810892912	5.501439145	5.981852653	5.62935662	5.894817763	6.554588852	6.778734244	7.456149035	7.251719093	6.904484098	5.336283388	5.578938713	5.329123596	5.911691582	7.175923742	7.977279923	4.892391026	6.6395216	6.087462841	8.146186791	6.475733431	7.080018029	5.61176256	6.6043679	6.699051844	8.671010241	5.830356747	6.01346226	8.69034725	7.546122759	4.343407822	6.352264173	5.902073579	5.008988783	7.984133595	5.921245889	5.557655155	6.236492618	7.885696373	6.037821465	6.442943496	5.789207575	8.544578117	5.62058641	7.435461914	8.66498053	7.411087227	6.452858965	6.929554316	5.754887502	4.87774425	5.705977902	6.818901676	7.755555262	5.760220946	5.520422249	6.94016675	6.715618859	6.832890014	5.419538892	4.981852653	4.017921908	6.040015679	6.388878339	7.915281866	4.925999419	3.87774425	9.72877085	8.024031502	5.350497247	5.930737338	5.626439137	6.469234794	7.160879862	7.192785959	7.608809243	8.093285504	6.61176256	5.956521363	6.652486495	8.167418146	6.705977902
IGLC2	6.503030646	6.665335917	5.169925001	6.346956889	8.701133155	7.021257621	7.74281467	6.969242604	5.395748328	6.422905743	6.861707287	7.268658955	5.807354922	8.036173613	6.242221395	7.067165427	6.312882955	6.325530332	6.470862199	6.187846909	6.596935142	6.378511623	7.109569509	7.697662633	5.730639956	6.993221467	6.619119511	7.383704292	5.388878339	6.982993575	6.74819285	6.757556689	6.465974465	6.238404739	5.840463234	6.085339669	6.924812504	7.275193334	7.030115331	6.475733431	7.338959175	6.532940288	7.091699834	6.44625623	5.909293086	6.560714954	6.821455119	7.459431619	7.100136671	6.251719093	6.740118043	7.043300754	7.060695932	5.842978832	6.803485376	6.532940288	6.015693807	6.28169825	6.815063017	5.963474124	6.300123725	7.276124405	7.001126665	6.312882955	6.203592714	6.75087444	7.564530601	7.002252452	7.816343705	7.64385619	6.61176256	6.495055528	6.078951341	6.900866808	6.635173947	6.17990909	6.916476644	6.568336182	6.352264173	5.988684687	6.512542955	7.040015679	6.187846909	5.880195729	5.185866545	6.651051691	6.928370323	8.172427509	6.682292371	6.361066489	8.917968728	7.222070355	5.87036472	6.177917792	6.279842694	7.053111336	6.852997588	6.407692649	7.475733431	7.343407822	6.459431619	6.62058641	6.540709263	6.94016675	6.400879436
IGLC7	6.807354922	5.646738698	6.055282436	6.053111336	9.833364507	7.349612972	7.793765857	6.900866808	4.87774425	7.22881869	5.944858446	8.392746732	5.173926932	7.034523875	5.719731057	7.345183447	5.244125943	5.752213368	6.074676686	6.635173947	6.554588852	5.700439718	8.375473913	7.101187815	5.752213368	5.044394119	7.87897051	5.557655155	6.153805336	6.361066489	6.731997787	4.847996907	6.247927513	6.593951284	4.916476644	5.070389328	6.449561375	6.368069877	6.626439137	6.388878339	6.831623937	5.8899602	6.336283388	6.249824549	6.417852515	6.454504938	5.548436625	8.183387261	5.121015401	6.321928095	6.694880193	6.789207575	7.205548911	6.213347282	6.716990894	6.574404309	5.887525271	7.118941073	6.161887682	4.053111336	7.394033895	5.232660757	4.887525271	4.949534933	7.849248703	10.36544759	7.612499946	5.520422249	6.704595348	6.285402219	7.199672345	6.875288598	6.50779464	5.974988112	5.87774425	6.551516018	7.199672345	5.626439137	7.75087444	5.270528942	6.083213368	3.733354341	4.733354341	2.744161096	3.017921908	3.678071905	8.01234519	7.270528942	5.371558863	6.545350645	7.478971805	6.517275693	4.812498225	6.091699834	5.263034406	5.554588852	6.020146573	7.026800059	7.121015401	6.722466024	6.510961919	4.145677455	6.412781525	6.832890014	6.187846909
IGHM	7.050936965	5.031218731	5.981852653	5.827819025	6.432959407	5.892391026	7.423746229	7.067165427	5.587964989	7.782670659	6.762880293	5.855491443	5.385431037	7.818901676	5.221103725	7.404290064	6.392317423	6.777419716	5.700439718	5.892391026	6.840463234	6.217230716	6.427941333	6.226893814	5.822730148	6.447909749	7.700439718	6.478971805	5.43629512	5.887525271	6.645298164	7.411934625	5.581953751	5.708739041	7.596935142	5.584962501	6.506208389	4.867896464	6.826548487	6.203592714	5.82527683	6.575917361	6.936637939	6.251719093	6.361066489	5.289096702	6.236492618	7.300123725	7.358431429	7.75087444	6.205548911	6.921245889	6.978424465	6.181897643	6.392317423	5.566815154	6.781359714	5.332707934	7.590961241	8.762215916	7.958262697	5.251719093	5.399171094	5.402585758	7.289096702	7.020146573	7.874674032	8.036723106	7.749534268	7.692789835	6.529820947	4.817623258	6.181897643	6.590961241	5.517275693	6.802193217	7.073606041	5.416164165	5.942514505	5.236492618	7.555356039	6.794415866	6.006746832	7.140574178	5.044394119	7.21042783	8.284014345	7.472487771	7.77939106	8.75087444	6.517275693	5.569855608	6.469234794	6.855491443	4.678071905	7.297374861	6.270528942	7.037821465	6.123086751	8.476138625	6.074676686	6.43629512	6.54689446	5.865423978	4.887525271
FCGBP	5.560714954	5.501439145	4.700439718	6.161887682	5.008988783	5.213347282	9.273096224	7.293701542	4.498250868	6.45779126	5.456149035	5.909293086	6.575917361	6.376776572	5.694880193	7.824004051	4.862947248	7.376776572	6.718361626	6.46760555	6.332707934	6.705977902	4.832890014	6.421223299	5.581953751	5.741466986	6.334496768	6.981852653	6.091699834	6.133399125	5.361066489	8.088523257	7.166916252	6.462706751	5.773468928	5.354028938	6.97384084	5.899659026	5.554588852	5.339850003	8.060695932	6.061776198	6.682292371	5.64096791	5.760220946	5.768184325	5.986410935	6.416164165	7.204571144	5.778734244	6.758889433	5.078951341	5.847996907	4.078951341	6.74281467	5.416164165	4.504620392	6.652486495	6.512542955	6.746850183	5.680886921	6.135452784	6.806066226	6.177917792	5.121015401	6.575917361	7.176921112	6.312882955	6.011227255	7.943686952	5.388878339	6.754887502	8.242697768	5.289096702	6.289096702	5.87036472	5.395748328	6.928370323	5.395748328	7.478162893	6.700439718	7.438791853	6.483815777	6.129283017	4.572889668	6.40599236	5.752213368	6.762880293	5.50779464	5.189824559	4.949534933	5.173926932	5.422905743	5.778734244	7.63008507	7.64096791	7.92243574	5.165911939	6.523561956	6.687900522	4.129283017	5.329123596	6.197708158	5.169925001	5.456149035
IGJ	6.745506266	5.50779464	5.725195817	5.842978832	8.169925001	5.942514505	8.177419538	6.86913112	5.602884409	7.147713722	6.521992956	7.776103988	5.520422249	7.671010241	4.99095486	7.213347282	6.083213368	6.595443985	5.532940288	5.43629512	6.503030646	5.652486495	6.195741293	6.316507819	5.916476644	5.730639956	7.752882366	6.73470962	5.292781749	6.565292521	6.686500527	7.921245889	5.961160258	5.395748328	7.714932352	5.402585758	6.469234794	5.961160258	6.560714954	7.029011087	6.978424465	6.797012978	7.222070355	6.093813673	6.093813673	5.270528942	6.54689446	8.245077275	7.58345891	8.123604124	6.559185866	7.088523257	7.611024797	5.658211483	6.6043679	6.123086751	6.177917792	5.539158811	7.343407822	8.7370783	7.368942914	5.974988112	5.749534268	5.462706751	7.315602457	6.665335917	8.09117089	7.875288598	7.980710829	7.224001674	6.482202926	5.173926932	6.614709844	6.943686952	7.184875343	6.915281866	7.825912799	5.339850003	6.068240861	5.346956889	7.930737338	7.669593751	6.244125943	7.107478647	5.314696526	7.107478647	8.55880334	8.084808388	7.86913112	8.061236166	8.35974956	6.327328083	5.963474124	6.575917361	5.277984747	7.283551423	6.209453366	6.517275693	6.632268215	8.118422024	6.343407822	6.026800059	6.696272084	6.789207575	4.87282876
CPXM2	6.876516947	6.733354341	6.173926932	6.020146573	4.412781525	4.632268215	5.572889668	6.404290064	5.129283017	7.437127844	6.22881869	5.635173947	6.6043679	6.578938713	4.765534746	6.264911693	5.596935142	6.804776378	5.776103988	5.078951341	7.265849421	5.465974465	6.434628228	5.921245889	6.447909749	6.994353437	4.399171094	6.108524457	6.006746832	6.798309782	6.896029603	5.157852169	6.255500733	4.5360529	4.906890596	6.58044702	6.257387843	6.129283017	4.916476644	7.224001674	6.719731057	6.899659026	5.044394119	6.617651119	5.274261661	5.526694846	7.008988783	4.986410935	3.432959407	6.369815424	6.407692649	6.517275693	5.984133595	5.830356747	4.554588852	5.815063017	6.207502459	5.95419631	6.411087227	4.678071905	6.181897643	5.832890014	6.803485376	6.475733431	6.316507819	6.402585758	5.817623258	6.395748328	7.160879862	7.047669251	6.09592442	6.076815597	6.916476644	6.044394119	5.947198584	6.826548487	5.87282876	5.887525271	7.70528679	6.719731057	6.091699834	5.189824559	4.94016675	6.376776572	6.48864354	6.416164165	4.700439718	4.847996907	5.840463234	5.725195817	3.169925001	5.539158811	7.098032083	5.560714954	6.38024459	5.897240426	4.350497247	5.185866545	4.986410935	5.364572432	4.711494907	5.770829046	7.212374788	6.663913842	6.545350645
IGF2	8.271463028	5.695845097	7.448735798	6.288687706	5.972692654	3.232660757	6.737416366	6.48058827	4.637314867	7.203592714	4.478971805	5.802193217	6.193771743	5.930737338	5.153805336	6.298291731	8.497053445	5.339850003	6.712870868	5.112700133	6.71412824	5.885086225	5.964633981	5.875288598	8.049304033	5.572889668	6.421223299	5.599912842	4.749534268	8.980139578	8.380677507	5.292781749	7.892998093	7.423746229	5.593951284	9.144148367	7	5.816280334	8.71596199	8.363696745	6.787902559	8.795065583	6.068240861	7.95419631	5.070389328	8.109569509	7.6395216	6.006892179	4.87282876	8.675251386	5.61563235	6.860466259	7.175923742	8.077883864	4.986410935	7.694880193	4.823008595	5.83541884	6.675007025	4.465974465	6.752213368	4.614709844	5.157852169	8.220136447	5.482202926	7.438791853	5.551516018	5.640709838	5.385431037	6.23657361	7.386293635	7.00337736	5.263034406	7.017921908	6.966937979	6.75087444	6.270528942	6.189824559	7.103287808	7.76884596	3	5.551516018	5.623515741	7.563768278	5.672425342	7.673839056	4.716990894	5.209453366	6.346956889	7.435413903	4.738767837	5.627649695	8.589463893	4.722466024	5.399171094	8.510566389	6.070389328	8.636262089	5.432273796	5.303780748	5.164639971	7.608069968	7.166916252	4.852997588	5.54225805
