	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
HPT	3.153805336	7.953614461	5.416164165	7.030115331	8.730979533	7.745506266	7.489446599	5.61176256	8.033973543	6.960001932	7.006746832	5.781359714	5.897240426	6.986410935	4.357552005	7.271463028	6.58345891	6.404290064	6.141596278	6.354028938	5.880195729	5.153805336	8.73470962	7.246027981	6.04220656	5.626439137	7.264911693	7.006746832	4.517275693	7.519636253	6.526694846	5.137503524	6.551516018	7.713558356	5.689299161	6.572889668	8.217230716	7.558420713	6.893604905	4.510961919	7.217230716	6.953032377	6.626439137	5.62058641	6.452858965	7.140574178	5.689299161	8.650692767	5.778734244	7.514911265	5.100136671	7.090641752	8.331812684	5.070389328	6.773468928	6.518849829	7.040015679	6.574404309	5.99095486	4.770829046	5.646738698	5.997744026	5.48864354	6.366322214	6.8899602	5.956521363	7.248876343	7.464341533	8.135965742	7.860466259	6.236492618	6.568336182	7.128252152	6.605849867	5.951867504	5.563768278	6.444600814	6.392317423	6.831623937	6.287250643	7.770829046	6.937815169	6.799605422	6.0725346	6.078951341	7.442114122	6.345183447	8.57251076	6.491853096	6.301953395	8.25313837	7.644577357	5.686500527	6.06608919	6.276124405	6.068240861	6.560714954	7.057450272	6.537606691	4.930737338	6.777419716	6.357552005	6.581953751	6.605849867	5.972692654
HPTR	5.757501131	7.236492618	6.546646951	6.730639956	4.371558863	5.705977902	6.729280846	7.807354922	6.106432078	7.171927354	4.584962501	6.294620749	6.357552005	7.482202926	6.368069877	6.026977063	8.237448996	6.338067798	5.738767837	5.133399125	6.630813152	6.617651119	8.061236166	7.215290306	6.495747332	6.813781191	7.669593751	6.283551423	5.958842675	7.237448996	7.021257621	8.112178834	6.414806656	6.969242604	8.885086225	6.431288654	7.733354341	6.971543554	6.429615964	6.006746832	7.832890014	6.630813152	8.081616583	5.686500527	7.089582893	5.599912842	6.687900522	6.908092341	7.463005948	8.010667963	7.279842694	6.074676686	6.653919873	6.292781749	6.584962501	5.867896464	7.022367813	5.711494907	5.887525271	8.796364138	8.030667136	7.627898616	5.078951341	6.662490364	6.246027981	6.246027981	7.192785959	7.117902789	7.938991439	7.01234519	7.523561956	5.157852169	7.388878339	6.887958637	6.224966365	5.491853096	7.589463893	5.485426827	6.549977143	7.227856573	7.923030298	7.788555215	5.9795681	6.62497818	5.395748328	5.14974712	7.39145842	7.970393538	7.132371199	8.534497434	7.454504938	6.498250868	7.178913785	5.663913842	6.253611152	6.824004051	6.611371962	7.155830172	6.693486957	6.718361626	6.345183447	6.303780748	6.044394119	5.224966365	5.99095486
HMCN1	7.253611152	6.329123596	7.798957748	5.678071905	5.244125943	6.529820947	6.261154673	5.860466259	6.499845887	6.483815777	5.972692654	6.03562391	6.662490364	6.407692649	5.416164165	5.95419631	6.822730148	6.125155131	6.211401637	5.40599236	6.762880293	5.554588852	7.086401646	6.274261661	6.776103988	6.744161096	6.223036338	5.842978832	5.882643049	6.934280594	6.955359305	5.368069877	6.006746832	6.547833806	5.757556689	6.854245054	5.899659026	6.655351829	5.157852169	5.995484519	6.048759312	6.263034406	5.958842675	6.905687849	6.091699834	6.392317423	7.082149041	6.682292371	5.274261661	6.442460142	6.341630009	6.157852169	6.977279923	7.221103725	5.339850003	7.180903709	7.139551352	5.956521363	6.323730338	5.977279923	6.6395216	5.722466024	7.030115331	6.780047576	6.424586226	6.718361626	5.554588852	6.38024459	5.605849867	5.14974712	6.578938713	4.802193217	5.412781525	6.694880193	6.30560579	6.773468928	5.827819025	6.399171094	7.209453366	7.054197294	5.888818536	5.28169825	5.672425342	7.593204354	6.279842694	6.911691582	5.48864354	7.13442632	6.139551352	5.730639956	6.0725346	6.087462841	7.327328083	6.376776572	6.464341533	6.697662633	3.935459748	7.976707312	6.569855608	5.678071905	6.106432078	6.392317423	7.615445725	6.385431037	7.861086906
HEMO	6.078951341	7.48864354	4.807354922	6.909293086	7.877130729	7.941341105	6.43629512	6.697662633	6.985272714	5.865423978	7.699051844	7.851124363	6.236492618	7.189824559	7.198690586	7.319220503	5.311067102	6.898450233	6.783980414	6.794415866	6.006746832	6.307428525	8.38024459	7.984133595	6.03562391	7.378511623	6.62935662	7.54689446	5.64096791	7.637349411	5.526694846	6.866660751	6.957682486	6.753551055	5.909293086	6.369815424	8.008428622	8.168922782	6.316507819	6.912889336	7.345183447	7.267723052	6.64096791	7.168922782	6.749534268	7.70528679	7.470048726	7.762215916	6.238404739	6.137503524	6.037821465	7.68580002	7.088523257	5.462706751	5.649615459	6.910492832	6.718361626	6.394033895	7.173926932	4.906890596	5.865423978	6.699051844	7.297374861	6.607330314	5.181897643	6.346956889	7.303780748	8.148730779	7.561478892	7.965784285	6.928370323	7.124121312	6.943686952	6.787902559	6.906890596	6.199672345	6.6043679	7.92243574	6.856736756	5.958842675	5.937815169	6.270528942	6.871597266	5.520422249	4.632268215	6.568336182	6.407692649	7.208478242	6.452858965	6.078951341	7.911691582	8.442528869	4.972692654	6.300123725	6.534497434	6.139551352	6.797012978	6.518849829	7.519636253	6.613236955	7.406842755	6.521992956	6.422905743	7.075746538	6.956521363
HEP2	6.893604905	7.548436625	6.346956889	6.529820947	6.323730338	6.562242424	6.760220946	7.553821257	7.282625134	6.397460726	5.145677455	6.575917361	6.556122818	7.900866808	7.843607046	5.371558863	7.037821465	6.847996907	7.094869433	4.925999419	6.525129251	6.390598906	8.174426394	7.5360529	6.09592442	6.626439137	6.163901214	6.163901214	5.789207575	6.958842675	6.191799501	5.66106548	6.74819285	6.730639956	7.321928095	6.10433666	6.908092341	7.699051844	7.255500733	6.571373436	5.852997588	6.840463234	6.571373436	6.865423978	7.739443098	6.566815154	7.047669251	6.741466986	7.694183743	7.375039431	7.006746832	7.084276911	7.518062976	6.730639956	6.024585638	7.108524457	6.827819025	5.956521363	6.499845887	6.292781749	6.133399125	6.368069877	6.894817763	7.185866545	6.201633861	6.733354341	6.283551423	7.834154981	6.477353527	7.182890893	6.988684687	5.672425342	5.867896464	7.025693274	6.108524457	6.929554316	7.171927354	6.577428828	6.584962501	7.289096702	8.559950613	7.325530332	5.87282876	7.340740281	6.708739041	6.693486957	7.044394119	5.984133595	6.495055528	6.031218731	7.273329387	6.998872454	6.215290306	7.014578465	6.238404739	7.056366761	5.62058641	7.471675214	7.539934245	6.419538892	6.82527683	7.067165427	7.910492832	6.475733431	6.905687849
HGF	7.402585758	5.270528942	8.245077275	6.432959407	5.087462841	4.649615459	5.882643049	6.061776198	6.108524457	6.622051819	6.255500733	5.686500527	6.355791547	4.439623138	5.346956889	6.399171094	4.578938713	6.131342539	6.87282876	6.352264173	5.416164165	5.845490051	5.993221467	5.475733431	7.985841937	5.50779464	5.845490051	6.958842675	6.037821465	7.816983623	6.309248961	6.037821465	6.680886921	6.712870868	5.240314329	7.212374788	6.409390936	6.614709844	4.087462841	7.73809226	6.761551232	7.379378367	4.832890014	7.238404739	5.778734244	6.817623258	7.361066489	4.378511623	4.529820947	6.881419908	6.419538892	6.498250868	7.54689446	5.830356747	6.015693807	6.854245054	6.185866545	6.345183447	7.782015335	5.462706751	6.669593751	5.66106548	7.328226119	6.876516947	6.575917361	7.621319301	5.62058641	7.059614856	6.355791547	5.422905743	6.470862199	6.01346226	6.272396509	7.315602457	7.146695948	6.548436625	5.346956889	6.725195817	6.330916878	6.54689446	6.797012978	4.930737338	5.680886921	6.885086225	7.708049252	6.400879436	5.083213368	5.116863758	5.968090752	6.437960088	4.897240426	6.23457796	6.444600814	5.399171094	6.642412773	6.976134473	4.432959407	7.713558356	6.586464526	5.694880193	5.465974465	6.223036338	6.98982022	6.937815169	6.655351829
HDGF	6.778734244	6.565292521	7.038918989	6.95419631	6.549977143	7.17990909	5.963474124	6.409390936	6.568336182	6.221103725	7.503825738	6.469234794	7.208478242	5.935459748	6.970393538	6.783980414	6.854245054	6.456149035	6.627898616	7.737416366	6.545350645	6.700439718	5.744161096	6.339850003	7.275193334	6.608809243	7.94016675	7.684397984	6.520422249	6.478971805	6.232660757	6.61176256	6.671010241	7.530601415	4.925999419	7.147713722	5.8899602	6.395748328	4.87282876	5.783980414	6.613236955	6.752213368	5.329123596	6.004501392	7.156841525	6.9795681	6.721099189	5.655351829	6.626439137	6.263034406	6.332707934	6.371558863	6.462706751	7.631540867	6.76420813	7.240314329	7.23457796	7.54303182	6.556122818	5.749534268	6.671010241	5.928370323	6.736063628	6.402585758	6.705977902	6.986410935	6.350497247	6.300123725	5.666756592	5.10433666	5.970393538	7.669593751	7.790511412	6.596935142	6.671010241	6.586464526	6.64096791	6.824004051	6.266786541	5.882643049	6.769507291	5.381975479	7.386293635	5.83541884	6.135452784	6.334496768	5.566815154	4.343407822	5.817623258	6.432959407	4.078951341	6.437960088	7.043300754	7.20261362	7.033423002	6.38024459	5.074676686	5.325530332	6.207502459	6.464341533	6.802193217	7.043300754	7.798957748	6.765534746	6.106432078
HDGR2	6.499845887	6.053111336	6.740118043	5.399171094	4.837943242	6.64385619	6.057921065	6.462681656	6.249824549	5.993221467	6.053111336	5.857980995	6.714501175	5.48864354	6.447909749	6.676662335	6.488977969	6.153805336	6.817623258	7.055894574	6.129283017	6.074676686	5.909293086	6.496654083	6.147713722	5.867896464	7.360663199	7.377644358	6.284052589	7.014578465	6.633721813	6.417852515	6.100136671	6.930245241	5.773468928	6.662676632	5.626439137	5.575917361	6.499930184	6.01346226	6.277984747	6.694880193	6.293315533	6.063934306	6.556481081	6.517011752	6.373300197	5.289096702	6.424586226	5.968097712	6.147713722	6.478146506	6.441284272	7.896029603	6.449561375	7.151777655	6.366322214	6.296392372	6.699051844	5.472487771	6.93191939	6.689299161	6.268658955	5.791814071	7.682994584	7.167919866	6.044394119	5.683696454	6.100136671	4.892391026	6.839203788	7.277054876	6.714737999	6.341630009	6.807285031	7.325530332	6.217230716	6.733354341	6.225173769	5.855503322	6.275004182	6.316926599	7.197708158	6.553053253	6.633721813	6.799605422	6.589463893	5.392317423	6.331511474	6.417852515	5.173926932	4.64385619	6.866660751	6.686777614	6.498042223	6.124386664	5.116863758	6.547466841	6.070389328	6.44625623	6.298291731	6.648177796	5.54225805	6.350497247	5.765534746
HDGR3	6.830356747	6.6794801	7.17990909	6.296457407	4.711494907	6.447909749	5.87036472	6.008988783	7.264911693	6.123086751	7.398316163	5.942514505	7.350497247	5.911691582	6.366322214	6.780047576	6.261154673	6	6.475733431	7.153805336	6.523561956	6.523561956	5.392317423	5.694880193	6.846744023	6.510961919	7.782670659	7.182890893	6.705977902	6.327328083	6.512542955	5.918863237	6.207502459	6.506208389	4.776103988	6.790511412	5.031218731	6.28169825	5.091699834	6.181897643	6.268658955	6.730639956	5.263034406	6.701826258	6.083213368	6.795715007	7.067165427	4.343407822	6.074676686	6.14363831	6.28169825	5.632268215	6.341630009	6.74819285	6.320123598	6.710117632	6.920055055	7.233619677	6.938991439	5.325530332	7.0725346	5.894817763	6.937815169	6.339850003	7.021257621	6.551516018	6.320123598	6.108524457	5.942514505	5.185866545	6.277984747	7.339850003	7.060695932	6.666756592	6.749534268	6.778734244	6.102238194	6.803485376	5.897240426	6.653919873	6.553053253	5.247927513	6.38024459	6.563768278	6.847996907	6.693486957	5.532940288	4.232660757	5.880195729	6.209453366	3.666756592	5.409390936	6.633721813	6.061776198	6.761551232	6.753551055	5.663913842	5.894817763	5.95419631	6.22881869	5.465974465	6.292781749	6.83541884	6.685099172	6.434628228
HRG	5.906890596	6.444600814	6.366322214	6.376776572	7.061776198	7.558420713	7.432959407	7.490249211	5.862947248	6.474111514	7.513332824	7.650333754	6.307428525	6.912889336	7.808642468	7.220136447	6.540709263	6.12722055	7.410239331	7.271463028	6.330916878	6.397460726	7.769507291	7.069315495	5.83541884	6.577428828	6.04220656	6.965784285	6.30560579	6.888743249	6.211401637	7.24697806	6.623515741	6.943686952	7.783980414	6.566815154	7.133399125	7.156841525	7.132371199	7.142617655	7.193771743	6.663913842	7.410239331	6.781359714	6.283551423	7.395748328	7.325530332	7.439623138	6.917670434	6.811214118	6.798309782	7.981852653	7.031218731	6.772149591	6.451211112	7.610286657	6.520422249	6.257387843	7.23935985	7.630813152	6.417852515	7.957102042	6.891176125	7.579693063	6.352264173	6.373300197	7.211401637	7.146695948	7.136478518	7.317412614	6.995484519	7.209453366	6.678071905	6.897240426	6.935459748	7.535275377	7.45532722	8.30560579	6.849248703	6.320123598	7.225930411	7.654636029	7.687200695	6.703211467	6.139551352	6.849248703	8.653203362	7.133399125	6.857980995	6.66106548	7.957102042	7.641690523	6.518849829	6.969242604	6.811214118	7.398316163	6.94016675	6.283551423	7.92243574	7.197708158	6.993221467	7.016808288	6.534497434	6.778734244	7.164906927
IGHA2	5.318316841	6.730639956	4.791814071	5.626439137	9.328226119	6.261154673	7.929554316	7.004501392	4.916476644	5.746850183	6.956521363	8.019034669	4.632268215	6.75087444	5.14974712	7.498250868	5.51412226	6.419538892	4.921245889	5.62935662	5.432959407	6.434628228	7.352264173	7.794415866	5.972692654	6.098032083	6.352264173	6.714245518	5.22881869	6.575917361	7.025693274	7.440453944	5.99095486	6.929554316	6.875288598	5.357552005	6.523561956	7.293701542	6.864186145	6.862947248	7.002252452	6.958842675	7.071462363	6.589463893	5.429615964	7.076815597	6.54689446	8.137503524	7.408542042	6.837943242	6.87282876	7.151777655	7.397460726	4.968090752	7.261154673	6.537606691	6.442943496	5.733354341	5.87282876	6.03562391	6.102238194	6.559185866	7.349612972	6.083213368	6.325530332	6.321928095	7.696967526	6.270528942	7.997744026	7.397460726	6.279842694	6.402585758	6.44625623	6.617651119	7.243173983	6.518849829	7.423746229	6.187846909	5.850499414	5.700439718	6.942514505	7.338959175	6.118941073	6.683696454	4.862947248	7.103287808	7.0725346	9.283782903	6.798309782	6.532940288	9.13108526	7.447083226	5.638073837	6.444600814	6.151777655	7.561478892	6.619119511	5.845490051	7.766197597	7.411087227	7.656782364	6.808642468	6.30560579	7.160879862	5.87036472
IGHD	4.887525271	6.529820947	4.705977902	4.419538892	9.048759312	6.996614715	6.916476644	7.067165427	6.175923742	4.529820947	7.395748328	7.756222713	4.812498225	6.230741003	4.738767837	7.733354341	6.343407822	5.632268215	4.510961919	6.314696526	5.321928095	5.815063017	6.710117632	8.173427297	5.392317423	5.478971805	7.173926932	5.930737338	5.995484519	6.831623937	8.17990909	8.123086751	5.997744026	6.562242424	7.006746832	6.264911693	6.956521363	7.452858965	7.240314329	6.803485376	7.793115555	7.074676686	7.410239331	6.499845887	5.672425342	7.126188211	6.279842694	7.997179481	6.802193217	7.28169825	7.063934306	6.766860144	7.632995197	5.116863758	6.21916852	6.371558863	6.277984747	6.087462841	6.157852169	5.51412226	6.078951341	6.28169825	6.671010241	5.303780748	5.678071905	6.587964989	7.673839056	6.081083929	7.471675214	7.432959407	6.665335917	7.114783447	6.745506266	5.452858965	6.312882955	6.548436625	6.439623138	6.64385619	5.832890014	6.139551352	8.391028727	7.58345891	5.705977902	6.716990894	5.343407822	7.080018029	6.610286657	9.174426394	6.896029603	5.830356747	9.114523197	7.594697827	6.553053253	5.997744026	6.602884409	7.770829046	6.832890014	6.167919866	6.189824559	7.10433666	7.411934625	6.607330314	6.929554316	6.592457037	5.840463234
IGHG2	6.207502459	6.76420813	4.847996907	6.320123598	8.495855027	6.808642468	8.05039286	6.622051819	5.807354922	6.314696526	6.836681593	7.34251919	5.94016675	7.911691582	6.078951341	7.238404739	6.135452784	6.880195729	6.607330314	6.62497818	6.745506266	5.87282876	7.585713709	7.395748328	5.40599236	6.920055055	6.790511412	7.581953751	5.923624611	6.958842675	6.417852515	6.529820947	6.893604905	6.246027981	5.749534268	5.783980414	7.158862106	7.416164165	7.159871337	6.525129251	7.638073837	6.48703608	7.218199944	6.809928866	6.0725346	6.285402219	6.891176125	7.913487841	6.885086225	5.937815169	6.610286657	7.086401646	7.22881869	5.995484519	6.918863237	6.566815154	6.197708158	6.949534933	6.236492618	5.652486495	6.416164165	7.427941333	7.085339669	6.139551352	6.121015401	6.943686952	8.096451624	7.250772132	8.295998462	8.009548727	6.669593751	6.987548259	6.373300197	6.880195729	6.92243574	6.193771743	6.802193217	7.01346226	6.95419631	5.64385619	7.099084761	7.078951341	6.51412226	5.949534933	5.09592442	6.653919873	7.505414609	8.214804795	6.758889433	6.091699834	8.970105891	7.646738698	5.251719093	6.526694846	6.849248703	6.633721813	7.011227255	6.205548911	7.556122818	7.235535607	6.951867504	6.412781525	6.577428828	7.319220503	6.290940402
