	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
LUM	0.36666556778131054	-0.11794877924795855	0.8512799148105796	6.226953801481481	1.5148458996863174	0.135296272284872	0.9935814025633555	-4.48860595122796	
ANX11	0.46500820387574293	-0.15210039630250294	1.0821168040539888	6.197595119925926	1.508667762080932	0.13686585481143093	0.9935814025633555	-4.490250287441474	
TENA	0.3772651273405959	-0.128270464272502	0.8828007189536938	6.544596276925926	1.494133902049291	0.1406150949536408	0.9935814025633555	-4.494095685870922	
OLFL3	0.28695358341475036	-0.09961755814838513	0.6735247249778858	6.420221945055555	1.4861984938373536	0.14269610865223784	0.9935814025633555	-4.4961816813715245	
SAP	-0.46590403548922205	-1.1012444914223107	0.1694364204438667	6.5398251033703705	-1.4681977560448332	0.14750659782526954	0.9935814025633555	-4.500877893034533	
HORN	0.23533834907120627	-0.0865574151266299	0.5572341132690424	6.337404042851852	1.4637672791671	0.14870988862059428	0.9935814025633555	-4.50202614333733	
COLA1	0.27458067873035114	-0.10183632216966071	0.6509976796303629	6.08428369687037	1.4604790723915	0.1496079082688414	0.9935814025633555	-4.5028764005477955	
MUC18	0.21979390114831243	-0.08295909948253855	0.5225469017791634	6.429451650851852	1.453522555263183	0.15152174412058117	0.9935814025633555	-4.504669718029115	
GRP75	-0.23023070428832948	-0.550419551861597	0.08995814328493801	6.611194728666667	-1.439632476047127	0.15540030015438008	0.9935814025633555	-4.508228105408655	
CTHR1	0.22967521504367375	-0.09022012923101133	0.5495705593183589	6.431352073851852	1.4374766749172012	0.1560091431809085	0.9935814025633555	-4.5087777092762815	
CO8A1	0.32965911463372327	-0.13474498948278857	0.7940632187502351	6.2020876169444445	1.4212276004200877	0.1606581412264616	0.9935814025633555	-4.512897094265329	
FHR5	-0.32962719802583157	-0.7976586439676934	0.13840424791603018	6.583965509796296	-1.410076255989572	0.16391031150485275	0.9935814025633555	-4.515700375638403	
TIMP2	0.22975945958458419	-0.09845416169413915	0.5579730808633075	6.5205396441851855	1.4015590317104056	0.16642838235923715	0.9935814025633555	-4.517828412635054	
CO8A2	0.3520516760443246	-0.1516881838664514	0.8557915359551005	6.096404529240741	1.399247995225087	0.16711675059303926	0.9935814025633555	-4.51840387165453	
HMCN1	0.2409725145133799	-0.10580266304974897	0.5877476920765088	6.215959241481482	1.391278586511566	0.1695073757667943	0.9935814025633555	-4.520381878038651	
FMOD	0.3530462380827378	-0.15531051041722904	0.8614029865827046	5.866186040259259	1.3904570841571138	0.16975529500236228	0.9935814025633555	-4.520585208881903	
TETN	0.29969083748698966	-0.13268844352305376	0.7320701184970331	6.450870603481482	1.3877242723891232	0.17058203167495695	0.9935814025633555	-4.521260847762645	
SDF1	0.29769394033219454	-0.13394001759457513	0.7293278982589642	6.184450696277778	1.3808578846099016	0.1726729256359858	0.9935814025633555	-4.5229532637796765	
COFA1	0.2798101721043322	-0.13533732577333768	0.694957669982002	6.327977201574074	1.3494464899704186	0.18248952497402893	0.9935814025633555	-4.530600729310048	
LAMB2	0.21888203148651028	-0.10730640838786146	0.545070471360882	6.152484630518519	1.3434952627272285	0.18439634394780233	0.9935814025633555	-4.532032030093637	
DERM	0.2651858259521373	-0.13023806198512755	0.6606097138894022	6.240329257240741	1.3427093086337352	0.18464929710441672	0.9935814025633555	-4.53222063570225	
S10A6	0.23897570383536604	-0.11992121181143561	0.5978726194821677	6.299824612314815	1.3331487736150962	0.18774741316903115	0.9935814025633555	-4.534507015151714	
CRAC1	0.28273570377805746	-0.14292476959595274	0.7083961771520677	6.436242809462963	1.3298783778934606	0.18881618332667496	0.9935814025633555	-4.535285782354845	
CRLF1	0.22390181380355811	-0.11558729346489538	0.5633909210720116	6.27278252712963	1.3204633804494594	0.19191872134701202	0.9935814025633555	-4.537518215412407	
