APOL1	5.628364073	5.510961919	6.067697821	6.255500733	7.347842794	5.830356747	7.279842694	7.326429487	5.475733431	7.885086225	5.781359714	5.475733431	5.523561956	5.419538892	5.977279923	6.62058641	4.263034406	6.279842694	5.545350645	6.100136671	6.791814071	6.867896464	6.309248961	6.773468928	6.829088444	5.902073579	6.28169825	5.983656586	5.82527683	6.131342539	6.633721813	6.949534933	7.729280846	7.383704292	5.240314329	6.256674105	9.594697827	5.14974712	4.270528942	6.861707287	7.944272818	5.700439718	6.874059203	6.83541884	6.943686952	7.348728154	6.215290306	6.759154203	7.501439145	8.55190048	7.341630009	6.6395216	7.996049728	5.885086225	7.290018847	5.827819025	6.985272714	6.139551352	6.809928866	6.602884409	7.283551423	6.006746832	5.944858446	7.563005553	6.559185866	6.266786541	7.084276911	6.693486957	5.377373849	6.226893814	8.8166637	5.965784285	6.770829046	5.911691582	6.195741293	6.557655155	6.402585758	7.375039431	6.364572432	6.593951284	7.900866808	8.476138625	6.026800059	5.923624611	6.705977902	7.088523257	6.524313243	7.11997861	6.381975479	5.730639956	6.332707934	6.222368696	7.139551352	6.553053253	5.762880293	7.996726966	8.458611673	6.211401637	9.086136225	7.147254795	6.307428525	6.048759312	6.422905743	6.599912842	4.986410935
APOA	5.663913842	7.577428828	5.357552005	7.77478706	6.451211112	6.651051691	5.004501392	5.087462841	5.937815169	7.677367292	4.716990894	6.050936965	4.529820947	6.887525271	7.551516018	4.94016675	7.614709844	6.477353527	7.167919866	5.236492618	4.649615459	6.125155131	5.865423978	7.05853297	5.371558863	7.58345891	5.799605422	6.424586226	4.812498225	5.314696526	5.017921908	7.787249608	6.924812504	7.323730338	8.589838376	3.935459748	4.566815154	5.395748328	4.40599236	7.437127844	7.594697827	6.943686952	4.911691582	4.66106548	4.008988783	4.292781749	5.837943242	4.426264755	5.916476644	4.044394119	6.361066489	7.626439137	4.54225805	5.274261661	6.048759312	5.83541884	5.736063628	5.419538892	6.108524457	4.986410935	5.266786541	5.638073837	7.231701199	4.749534268	4.847996907	6.526694846	7.463524373	6.518849829	5.578938713	7.289096702	7.622051819	6.77478706	4.749534268	3.596935142	7.77280941	6.316507819	5.074676686	8.765203207	6.093813673	7.801546703	5.62058641	6.461070114	7.805421446	7.838573653	5.399171094	8.914086097	6.900866808	4.802193217	4.837943242	6.874059203	6.059614856	4.94016675	7.441284272	6.399171094	6.566815154	3.378511623	5.548436625	6.024585638	6.968090752	6.687900522	4.578938713	5.026800059	6.261154673	4.822730148	2.807354922
APOH	7.049848549	7.207502459	5.716990894	4.5360529	6.87282876	7.858602712	8.882031608	7.691394579	6.968090752	6.589463893	6.563768278	7.381975479	6.574404309	6.866660751	6.523561956	6.366322214	5.289096702	7.425425735	6.882643049	5.865423978	7.73403214	6.515699838	7.071462363	7.124121312	5.760220946	7.445428759	6.651051691	6.765534746	6.710117632	6.565292521	5.523561956	5.482202926	6.602884409	7.599912842	7.309248961	6.078951341	7.632268215	6.703211467	5.689299161	7.746178381	6.861707287	6.711494907	6.655351829	6.802193217	7.432124273	7.048759312	6.373300197	7.797661526	7.289096702	6.230741003	6.43629512	6.336283388	8.690696444	6.635173947	6.94602899	6.827819025	7.153805336	6.209453366	7.549977143	7.077883864	5.909293086	5.475733431	7.06608919	5.968090752	6.62058641	5.781359714	6.223036338	7.135452784	6.95070169	6.596935142	6.589463893	6.221103725	6.64096791	6.145677455	6.046578367	6.456149035	6.469234794	6.14974712	7.115823977	6.689299161	6.849248703	8.033973543	6.721099189	6.456149035	6.400879436	6.285402219	6.745506266	6.912889336	6.155830172	6.341630009	5.928370323	6.506208389	4.935459748	7.037821465	6.584962501	7.365447589	5.804776378	6.078951341	6.343407822	6.01346226	6.934280594	6.729280846	7.189824559	7.053111336	6.244125943
CLUS	7.183883459	6.811214118	6.64096791	6.894817763	7.04220656	6.14974712	5.984133595	6.369815424	5.133399125	6.504620392	7.344295908	7.151777655	6.249824549	7.406842755	6.108524457	6.341630009	6.183883459	6.175923742	6.102238194	6.063934306	6.477353527	6.48864354	7.218199944	7.116863758	6.238404739	6.554588852	5.617651119	6.704595348	6.602884409	6.21916852	6.447909749	6.605849867	6.710117632	6.865423978	6.906890596	6.110613806	7.188836073	6.671010241	6.063934306	7.649615459	6.789207575	6.554588852	6.62058641	6.076815597	5.867896464	6.896029603	7.468420402	5.935459748	5.569855608	6.758889433	6.462706751	7.067165427	6.004501392	7.369815424	5.03562391	6.630813152	6.12722055	5.725195817	6.683696454	6.590961241	6.876516947	6.244125943	6.663913842	6.669593751	6.350497247	6.300123725	6.359310317	6.689299161	6.862947248	6.948367232	7.171927354	7.934870291	5.711494907	6.777419716	7.330916878	7.001126665	6.815063017	6.685099172	7.292781749	6.911691582	6.338067798	5.738767837	6.352264173	6.543805176	6.14363831	7.36719631	7.027905997	6.449561375	7.503030646	6.14974712	6.766860144	5.153805336	7.157852169	5.744161096	7.477353527	6.545350645	5.95419631	7.366322214	6.632268215	6.381975479	5.725195817	7.158862106	6.915281866	6.475733431	7.241268177
A1AG1	6.09592442	6.452858965	6.289096702	8.132371199	6.456149035	5.725195817	7.086401646	8.981281854	5.116863758	6.506208389	4.711494907	6.465974465	6.942514505	5.197708158	6.918863237	5.987252565	5.023807174	6.376776572	5.169925001	5.153805336	6.266786541	7.482202926	5.974031216	7.048759312	6.346651375	5.332707934	6.43629512	5.66106548	7.58345891	5.51412226	7.22881869	4.700439718	8.069852511	6.50779464	6.956521363	6.693486957	9.02597005	6.493455201	4.822730148	6.711494907	6.493455201	6.845490051	7.89056829	6.66106548	6.974988112	6.040269823	6.145677455	9.996473489	9.400025518	7.319220503	6.592457037	6.155830172	8.291400959	5.928370323	9.751376683	5.303780748	5.329123596	9.373952655	8.167418146	8.601770788	6.261154673	3.432959407	5.548436625	6.540709263	6.608809243	6.475733431	7.411934625	6.875288598	5.683696454	3.744161096	6.783980414	6.285402219	6.292781749	5.935459748	6.063934306	5.733354341	5.830356747	7.744833837	5.703211467	6.23457796	6.539158811	9.194756854	6.515699838	6.240314329	4.432959407	6.659639187	6.390598906	6.371558863	5.916476644	6.303780748	5.773468928	7.533719071	7.460251099	5.746850183	5.663913842	9.60936345	10.57629538	7.081083929	7.005624549	6.074676686	5.904484098	6.672425342	5.217230716	6.648177796	6.011227255
A1BG	6.549977143	6.896029603	6.272396509	6.965784285	7.259272487	7.406842755	7.706668682	7.333602628	6.941341105	6.441284272	6.015693807	6.797012978	6.902073579	5.961160258	7.190812368	6.490249211	6.153805336	6.928370323	7.300123725	5.928370323	7.279842694	7.67030217	6.673839056	7.084276911	6.238404739	6.131342539	7.346070441	6.794415866	7.332707934	6.087462841	6.110613806	5.678071905	6.565292521	7.328226119	7.001126665	6.17990909	7.64096791	6.461070114	5.321928095	7.186857067	7.806710718	6.10433666	6.756222713	6.189824559	7.423746229	6.332707934	6.341630009	6.923624611	7.6043679	6.584962501	6.483815777	6.368069877	8.207502459	6.699051844	7.349612972	6.665335917	6.6794801	6.596935142	7.60659028	7.277054876	6.0725346	6.187846909	7.099084761	6.510961919	6.528258743	6.449561375	7.14363831	6.92243574	6.77478706	6.434628228	7.273329387	6.6395216	6.74819285	7.094869433	6.255500733	6.672425342	6.719731057	6.971543554	7.077883864	5.965784285	6.635173947	7.549207089	6.841721581	6.402585758	5.495055528	6.549977143	6.62058641	6.765534746	6.791814071	5.768184325	6.226893814	7.252665432	6.211401637	7.106432078	6.100136671	7.439623138	7.054197294	6.244125943	7.556122818	6.95419631	7.106432078	6.249824549	6.680886921	6.765534746	5.837943242
FETUA	8.114262901	5.517275693	8.263503957	7.177917792	5.469234794	4.112700133	8.338067798	5.697662633	3.632268215	8.152284842	4.498250868	3.744161096	7.268658955	8.501040996	6.456149035	5.786596362	7.911092332	2.925999419	5.984133595	6.745506266	5.817623258	9.068778278	5.614709844	5.949534933	8.833838844	4.921245889	6.121015401	4.54225805	6.893604905	2.584962501	7.602884409	8.911391988	3.247927513	10.03466143	7.30560579	8.819221104	6.58044702	6.089582893	7.424586226	6.781359714	7.111657346	7.513332824	4.169925001	8.008988783	4.986410935	8.201633861	7.425425735	4.857980995	4.070389328	8.437544026	6.185866545	5.993221467	7.022367813	7.245077275	2.887525271	6.951867504	2.201633861	4.986410935	7.160879862	3.485426827	6.789207575	4.66106548	4.044394119	8.226893814	3.350497247	6.645298164	3.321928095	7.727239777	6.350497247	4.666756592	7.406842755	6.0725346	7.517275693	6.053111336	6.14363831	6.165911939	6.364572432	5.416164165	4.336283388	7.758223215	4.03562391	3.678071905	5.719731057	7.850499414	3.678071905	7.658925511	5.716990894	4.99095486	6.276124405	6.827819025	3.336283388	6.916476644	9.793278158	3.053111336	6.690696444	5.078951341	4.087462841	7.596189756	6.015693807	5.902073579	5.240314329	7.694880193	4.426264755	6.230741003	6.263034406
CERU	5.762880293	6.145677455	5.842978832	6.141596278	7.747521673	6.812498225	9.936785145	7.214319121	6.098032083	6.341630009	5.189824559	6.357552005	6.531381461	5.822730148	6.496654083	5.794415866	5.336283388	6.074676686	5.64385619	5.165911939	6.692092375	7.038918989	6.554588852	6.14974712	5.87282876	5.776103988	6.240314329	5.951867504	7.672425342	5.501439145	5.703211467	5.112700133	7.240314329	6.081083929	6.385431037	5.977279923	7.986410935	5.623515741	5.452858965	5.974988112	7.492654371	6.059614856	7.458611673	5.578938713	6.981852653	6.981852653	6.12722055	10.22593041	8.506605116	7.431288654	6.809928866	5.700439718	8.541871009	6.093813673	8.648896806	5.930737338	7.174925683	6.383704292	8.531381461	8.353587949	6.017921908	7.025693274	5.974988112	6.75087444	6.642412773	5.708739041	6.977279923	6.988684687	5.918863237	6.607330314	7.203592714	6.402585758	5.40599236	5.725195817	7.318316841	5.880195729	6.145677455	6.48864354	5.865423978	6.044394119	6.840463234	9.123345461	6.48703608	6.646738698	4.791814071	6.548436625	7.044394119	7.85237345	6.266786541	6.181897643	7.161887682	6.786596362	6.087462841	6.786596362	6.707359132	8.66035251	7.641690523	5.857980995	7.701133155	6.827819025	5.590961241	7.417008587	5.632268215	7.880195729	5.520422249
FA9	6.215290306	6.368069877	6.87282876	6.64096791	7.505414609	5.554588852	6.320123598	6.944858446	4.935459748	6.876516947	6.175923742	6.565292521	6.642412773	7.432124273	6.037821465	6.799605422	6.827819025	5.925999419	5.449561375	6.343407822	6.089582893	6.106432078	6.806066226	6.662490364	8.461070114	6.395748328	5.599912842	6.595443985	6.642412773	6.307428525	7.371558863	6.97384084	6.834154981	7.085339669	7.112700133	7.30103885	7.815063017	6.201633861	7.135452784	7.445428759	7.316507819	7.581953751	6.61176256	6.925999419	6.908092341	7.532940288	6.960001932	5.289096702	5.757556689	7.955359305	6.407692649	6.520422249	7.338067798	6.623515741	5.961160258	6.300123725	5.343407822	5.842978832	6.703211467	5.714245518	7.069315495	5.385431037	5.623515741	6.165911939	5.988684687	6.277984747	6.287250643	6.94016675	6.920055055	7.279842694	7.642412773	7.416164165	6.376776572	6.818901676	6.626439137	6.971543554	6.820178962	6.257387843	6.626439137	7.4749227	6.518849829	6.512542955	6.106432078	7.270528942	5.646738698	7.616916363	5.909293086	6.287250643	6.649615459	6.808642468	5.61176256	6.477353527	7.099084761	5.314696526	7.296457407	5.956521363	6.373300197	7.335390355	7.145677455	6.292781749	5.311067102	7.165911939	6.432959407	6.859224162	5.935459748
FA10	5.850499414	5.646738698	7.04220656	6.680886921	8.232181058	4.882643049	6.613236955	7.083213368	6.135452784	6.791814071	6.135452784	6.416164165	6.563768278	7.937226674	5.770829046	6.87897051	7.10433666	6.153805336	5.762880293	6.821455119	5.815063017	6.62058641	6.669593751	7.11997861	8.062855655	6.22881869	5.669593751	5.655351829	6.318316841	6.221103725	7.517275693	7.820817182	7.261154673	7.328226119	6.659639187	7.382840144	8.279842694	5.539158811	8.071998581	7.311067102	7.316507819	7.21042783	6.948367232	7.125155131	6.798309782	7.398316163	7.521992956	5.904484098	5.031218731	8.174426394	6.99095486	6.491853096	8.031770114	7.121015401	5.581953751	6.722466024	4.491853096	5.325530332	6.974988112	5.95419631	6.786596362	5.608809243	5.730639956	6.339850003	6.236492618	6.011227255	6.646738698	6.529820947	6.268658955	7.110613806	8.200162974	7.107478647	5.87036472	6.797012978	6.840463234	7.260213887	7.014578465	6.752213368	7.490249211	7.110613806	6.778734244	6.419538892	6.509379149	6.982993575	4.078951341	7.704595348	6.770829046	7.532161085	6.839203788	7.320123598	6.675251386	5.285402219	7.534497434	5.432959407	7.588714636	6.730639956	6.678071905	8.060155495	8.04384754	6.189824559	5.482202926	7.337175869	5.972692654	7.09592442	4.935459748
