	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
MMP-3	3.05361207	5.629148767	4.739544185	7.33601155	5.605904234	4.461492953	3.777431684	5.045897227	4.55271	1.64696	3.444886139	7.706306176	7.917758688	0.205105195	5.115486476	5.98291957	1.350988377	3.109133689	4.518228852	2.503571684	-0.369135893	4.311708934	4.220027379	5.323043689	4.705868767	5.076016266	5.31943	2.881951268	5.906593093	3.465097499	2.707633754	4.35297	6.119068688	4.572076476	2.756120581	4.879490581	2.951606139	4.16880155	2.961165663	3.895820672	5.279771905	3.679810848	3.478167338	1.8954	6.113252759	5.332637379	2.04991207	4.743020581	0.587328934	3.757747379	2.991266476	0.69727147	2.765171733	3.607017227	2.964243093	2.86645147	6.335923349	3.291626176	4.645591905	4.729305663	3.288196999	4.78324	3.40787147	6.623525254	5.117821268	3.953053689	3.22669	4.466605254	5.424381503	5.521858852	4.50582	5.074528688	5.453796472	2.415498852	4.697247338
RARRES2	11.22575207	11.46364877	8.944934185	9.54489155	9.566264234	9.745072953	9.353831684	9.023027227	9.54927	10.82247	9.734686139	11.52396618	12.02699869	9.990555195	9.470816476	11.10068957	8.923898377	9.939293689	9.892538852	10.26243168	9.529764107	9.492258934	8.443107379	11.02674369	10.40657877	8.122286266	8.46321	9.850441268	9.533863093	10.2231375	8.758353754	10.17727	9.592968688	9.382936476	9.944140581	9.668110581	8.807636139	9.65114155	9.738755663	9.339530672	9.251421905	8.983120848	9.962977338	9.20092	9.455572759	9.886337379	9.10024207	9.321650581	9.014708934	10.03881738	8.844866476	9.79055147	9.926321733	9.371787227	9.372873093	9.79753147	11.42615335	9.227726176	8.935121905	9.752105663	9.556766999	9.75298	8.82466147	9.927815254	8.875861268	9.714603689	8.77319	8.740265254	8.744401503	9.550238852	8.58703	10.01265869	9.300106472	10.02272885	9.654877338
PDGF subunit A	8.08186207	7.371158767	8.379764185	8.30600155	7.788394234	5.073302953	6.613781684	4.977097227	8.0219	6.64821	5.365006139	9.900886176	10.18434869	7.054975195	10.66930648	6.17677957	6.012248377	7.132063689	10.28104885	6.928431684	4.925364107	6.228308934	7.380917379	9.276643689	9.754008767	7.418406266	8.53129	6.984911268	8.644603093	7.722467499	6.537093754	9.21785	6.574748688	6.953966476	7.159220581	5.149870581	5.662666139	5.71324155	6.011665663	7.475850672	5.581481905	8.127640848	5.834877338	7.51542	7.184822759	7.634387379	4.41516207	7.845250581	5.432268934	8.585767379	7.747186476	6.40640147	6.765261733	6.831697227	8.050703093	6.55815147	9.357233349	5.134256176	6.471381905	8.259335663	4.354096999	9.07804	6.23378147	5.994385254	7.641561268	8.420633689	5.57919	9.594775254	6.341641503	5.319238852	6.2533	6.031538688	8.142926472	5.783778852	8.012447338
TNF-R1	3.60971207	5.255768767	2.300264185	4.76295155	4.409564234	5.967602953	3.500731684	3.793787227	3.7581	4.3766	5.471736139	5.274876176	8.489918688	3.894685195	2.722696476	5.80050957	4.812148377	5.390643689	2.696008852	4.668701684	4.480144107	3.948078934	3.279437379	3.440563689	4.164528767	4.600186266	2.8506	4.290071268	2.986513093	2.268247499	3.691673754	4.01916	6.964298688	3.310126476	4.026550581	4.735500581	4.724976139	3.56517155	3.648715663	3.237610672	4.010341905	4.101670848	4.858117338	3.2799	4.744762759	3.980397379	3.16945207	3.772670581	4.238708934	4.672077379	2.501706476	3.90645147	3.594731733	4.303977227	3.040063093	4.08419147	4.266653349	1.591636176	5.321121905	2.807445663	1.076596999	3.48506	3.82074147	3.548545254	3.677611268	3.558753689	3.54681	1.262305254	4.877071503	4.111658852	2.59621	7.438728688	3.332406472	4.619398852	4.091757338
IGFBP-2	8.46515207	9.398588767	6.072154185	9.06028155	9.075474234	7.519432953	9.059901684	5.629597227	8.17261	9.39166	8.844846139	9.365616176	11.16117869	8.200095195	7.255856476	9.15502957	7.616548377	8.871823689	7.539058852	8.467671684	7.974194107	7.261768934	6.891807379	7.324553689	9.284738767	9.081106266	6.8579	9.561551268	8.335273093	8.115707499	7.099103754	8.27383	9.679518688	7.831236476	8.051980581	8.745160581	8.324486139	7.82997155	7.455075663	7.986230672	7.073781905	7.501950848	8.383317338	8.35992	10.04932276	9.472557379	5.85241207	7.934110581	8.115708934	9.740107379	6.725246476	7.87733147	7.007291733	8.228977227	7.698453093	8.50506147	9.041653349	7.475566176	8.797501905	6.482335663	3.738566999	8.55557	8.13862147	9.744175254	6.313351268	9.119993689	7.53118	7.840155254	8.181781503	8.455468852	6.55002	10.00803869	7.003416472	7.955368852	9.110887338
vWF	2.00823207	4.890668767	2.687624185	4.23318155	3.655544234	2.805302953	4.816581684	5.032137227	2.23698	0.56869	6.228546139	5.068986176	6.433148688	1.116105195	4.944876476	4.18543957	1.361388377	3.424393689	2.994758852	2.917611684	-0.015115893	4.197598934	1.153387379	3.570013689	2.313978767	4.088906266	1.7824	2.308201268	5.118033093	3.542127499	4.478283754	3.12584	5.602858688	1.899916476	3.109230581	3.793110581	3.297506139	2.09564155	4.712075663	2.333630672	5.667031905	2.506810848	4.621097338	0.78113	5.599362759	3.772847379	3.30891207	2.452660581	2.015378934	2.835727379	6.551926476	1.70365147	5.239811733	2.335937227	3.032323093	2.35157147	4.813263349	3.158406176	5.787581905	2.511455663	2.006076999	4.1708	5.44778147	6.793785254	5.960301268	5.324613689	1.07177	3.023615254	5.073441503	3.465728852	4.41097	4.256648688	4.556746472	4.341978852	4.508567338
PECAM-1	3.44676207	4.958388767	4.450514185	5.87599155	4.120814234	5.697112953	5.719901684	5.569657227	3.52828	3.09207	6.908396139	5.881656176	7.695968688	3.164445195	5.870946476	4.99925957	5.134448377	5.769843689	5.432398852	3.776321684	3.967894107	6.119478934	3.262257379	5.008483689	3.894108767	6.206846266	4.54097	3.075681268	7.246063093	4.432367499	5.114603754	4.28207	6.187298688	3.991776476	4.883240581	4.352600581	5.289276139	3.88899155	5.631585663	4.699690672	6.352201905	5.022040848	6.130787338	3.23852	5.876122759	4.038677379	5.00897207	5.768650581	4.131698934	2.931337379	5.195946476	4.52920147	5.774131733	5.077207227	5.122803093	5.32757147	5.671593349	3.528086176	5.679381905	5.045195663	4.234726999	5.29295	7.10579147	3.801535254	6.506751268	6.888793689	2.93622	3.804295254	6.797981503	4.625438852	5.50969	6.251388688	5.795986472	6.209848852	5.448637338
MEPE	1.68363207	0.319108767	0.739744185	1.29880155	0.653024234	0.159242953	0.403491684	0.0	0.81144	0.14672	0.161946139	2.886846176	2.665308688	0.274245195	3.514476476	1.17252957	0.325528377	0.573853689	2.066748852	-0.217528316	-0.146365893	0.0	0.931567379	2.150493689	1.148228767	1.031576266	0.49038	0.0	2.270633093	0.612257499	0.209013754	1.88845	0.888768688	0.232526476	0.925320581	0.611750581	0.218446139	0.79740155	0.415915663	0.275500672	0.053771905	2.452280848	0.377147338	0.09567	1.014122759	0.518837379	-0.33448793	0.992550581	-0.165041066	1.852047379	0.251696476	0.41253147	0.946901733	0.365327227	0.0	0.27036147	1.374943349	0.351086176	0.399931905	0.308305663	0.0	1.15086	0.59036147	0.882245254	0.305601268	1.311223689	0.16937	1.135355254	0.0	0.373208852	0.56756	0.289258688	0.540416472	-0.077471148	0.444957338
CCL16	9.27531207	9.940548767	5.577474185	8.52526155	9.465644234	8.237952953	8.109181684	5.815247227	7.24508	9.32269	9.129076139	9.658106176	11.10915869	7.696665195	6.153216476	9.81842957	6.694888377	7.890923689	6.849778852	8.846851684	7.996934107	7.905398934	5.810507379	7.198873689	8.204638767	7.691326266	5.08996	8.632581268	6.065743093	7.741237499	6.842793754	7.73621	8.760378688	7.529776476	8.025940581	8.958860581	8.300576139	7.55015155	7.340405663	6.643000672	8.029581905	7.628810848	8.894807338	7.85799	7.990452759	8.068507379	6.45707207	7.132750581	6.689958934	8.160747379	6.748936476	7.67326147	8.263161733	8.016347227	6.663623093	7.95145147	9.292873349	9.650146176	8.252761905	6.614555663	6.360506999	7.48583	7.66936147	7.873895254	7.530161268	7.881863689	6.5306	4.493275254	8.808691503	8.634268852	4.79244	8.827778688	6.718956472	8.735798852	7.345857338
CTSF	1.53871207	2.596678767	0.796784185	1.62926155	0.720994234	1.531412953	0.787111684	0.792947227	1.58504	0.82288	1.157166139	2.568476176	5.110028688	0.642175195	1.016046476	3.40130957	0.547938377	1.333193689	1.174668852	0.441301684	-0.167975893	1.197698934	0.0	1.281723689	1.740208767	0.402856266	0.15307	1.580341268	0.375743093	0.829757499	1.030813754	1.06992	3.757128688	0.0	0.763010581	0.513730581	1.651286139	1.10533155	0.411435663	1.023910672	1.817861905	0.252870848	1.481967338	0.0	1.089342759	1.783157379	0.78976207	0.346940581	0.0	1.586677379	0.282616476	0.71355147	0.962021733	1.439357227	0.827723093	0.82858147	2.323953349	0.519326176	2.068601905	1.160675663	0.533326999	1.03083	0.94426147	1.876195254	0.430061268	0.891163689	0.55125	1.164215254	2.722421503	0.780098852	2.2285	4.233338688	0.198216472	0.855588852	1.677707338
MATN2	8.14738207	9.269278767	8.019414185	8.17493155	5.612004234	8.684292953	7.738631684	6.951047227	8.78803	6.48973	8.081836139	9.955636176	10.91194869	6.220455195	8.610366476	10.21557957	6.740468377	8.612893689	8.069768852	6.859391684	6.072464107	8.493018934	4.217907379	9.228313689	8.055068767	4.946986266	5.16159	8.629711268	7.400393093	6.589377499	6.369093754	8.04697	8.695268688	2.284016476	6.648050581	5.580050581	5.817096139	8.41821155	9.138325663	7.623040672	7.162771905	6.239130848	8.592127338	5.55478	8.095512759	8.623777379	8.25194207	7.855840581	4.420958934	8.313137379	6.692316476	8.14423147	8.270321733	7.880607227	7.499813093	6.86251147	9.748483349	6.920606176	7.611401905	8.017675663	8.009536999	8.57598	5.98662147	8.285055254	8.312351268	7.013153689	3.23332	9.351495254	7.596911503	5.364658852	6.74899	9.617758688	7.120556472	8.002948852	7.478447338
HTRA2	4.90233207	6.510068767	4.766814185	5.10364155	2.008214234	5.889732953	4.078961684	5.475937227	5.13607	2.48101	5.621606139	5.849996176	8.802338688	2.419925195	4.146196476	6.60009957	4.721128377	5.267703689	3.408218852	4.487961684	2.132174107	6.079118934	1.018447379	4.898133689	4.957718767	4.030126266	1.89635	4.545491268	4.698263093	3.018727499	4.301783754	4.12322	6.976188688	1.155216476	4.542010581	4.296480581	5.723076139	5.07232155	4.413885663	5.787350672	5.906291905	2.535400848	6.234967338	3.59741	5.982982759	5.437187379	5.67408207	5.204190581	1.820558934	3.568117379	4.069536476	3.59764147	5.157321733	4.026827227	4.494123093	3.71273147	5.777683349	4.003536176	5.775631905	4.691345663	4.329016999	4.1558	5.76019147	4.776825254	4.976041268	4.907593689	2.20656	3.221265254	6.189791503	3.264708852	4.15321	7.422918688	3.380226472	5.157888852	5.764227338
MFGE8	11.79123207	11.14909877	11.19269419	10.97820155	10.04827423	10.26224295	10.20335168	10.45895723	11.07871	11.01956	10.83004614	11.84783618	13.03115869	10.67382519	11.69255648	10.97805957	9.427408377	10.68119369	11.66680885	10.77515168	10.10930411	9.744658934	10.06984738	12.05350369	11.06825877	8.794046266	10.92841	10.66964127	9.337353093	10.8915075	9.347503754	11.01163	10.26399869	10.64576648	10.96644058	9.259230581	9.856356139	10.77576155	10.96199566	10.65475067	9.367301905	10.14452085	11.10335734	11.17459	10.76274276	11.31247738	10.94894207	11.01761058	10.09895893	10.89389738	10.80363648	10.66026147	11.63056173	10.22573723	11.06382309	10.16074147	11.62465335	10.04304618	9.531311905	10.51165566	10.290277	10.71725	8.32828147	11.35535525	9.957641268	10.30478369	9.64389	11.16315525	9.461541503	10.01468885	10.87591	10.52666869	10.39299647	10.26174885	10.76692734
NUDT5	3.83438207	6.642278767	2.914894185	5.66923155	3.323584234	6.278652953	4.184741684	5.205727227	5.06559	4.96036	6.322796139	5.704666176	9.130438688	3.986325195	1.510816476	6.56353957	5.605668377	6.228043689	3.196308852	5.308121684	4.903604107	6.030358934	2.479767379	4.155053689	5.616268767	5.803636266	3.98985	4.612911268	4.275153093	3.407167499	4.826263754	4.99579	7.833488688	4.387866476	4.651120581	4.343960581	5.566266139	4.53576155	4.282495663	4.492630672	4.619281905	4.511480848	6.073557338	2.98174	6.063972759	4.111267379	4.87667207	4.386030581	4.181768934	4.109607379	2.943536476	4.96122147	3.676301733	4.734467227	3.805973093	4.37412147	5.292863349	1.870226176	6.269101905	2.612145663	0.473706999	3.83788	4.49532147	3.406645254	3.837691268	4.698593689	5.16118	0.817235254	6.369711503	4.420638852	2.18815	8.171078688	2.998456472	5.394638852	5.043927338
ACAN	6.37883207	5.966848767	4.311214185	3.96895155	4.381814234	4.238352953	5.885061684	4.102557227	3.72229	5.49547	4.491016139	5.935166176	7.595668688	5.991835195	5.247456476	5.70821957	4.948168377	4.790733689	5.793698852	6.134271684	6.370134107	4.748078934	3.348307379	5.188303689	6.690078767	4.893686266	5.02727	4.914931268	3.874063093	5.877377499	5.524113754	5.81406	4.529968688	5.021646476	6.012720581	3.016900581	4.578836139	6.31660155	5.350735663	6.511060672	4.333171905	5.495960848	6.067917338	3.58822	2.764922759	5.077727379	4.05212207	5.371040581	3.947868934	4.351567379	4.450766476	5.71749147	6.568291733	5.949147227	5.874573093	5.46546147	5.601183349	4.576156176	4.402711905	4.895775663	5.607646999	5.68435	2.67284147	4.905145254	4.147951268	5.551203689	5.29494	4.959955254	3.889671503	3.433368852	3.84402	4.620718688	4.644456472	5.198568852	4.546667338
ITGB1	7.01689207	7.824178767	6.688634185	6.74646155	4.850964234	6.732702953	6.042841684	6.672437227	6.68284	6.43269	6.965946139	7.464706176	8.568118688	5.873245195	6.133116476	7.34435957	6.307088377	6.671203689	6.285118852	6.936611684	6.022914107	7.197968934	4.262867379	7.119113689	6.572738767	5.896896266	5.41881	5.980691268	6.517773093	4.877227499	6.078183754	6.35923	6.961888688	5.527016476	6.088400581	5.299030581	5.363286139	6.04849155	5.714125663	6.375900672	7.444381905	5.210960848	7.192627338	5.0339	6.278702759	6.265727379	6.06008207	6.218700581	4.803978934	6.032387379	6.286036476	6.48604147	6.891591733	5.912587227	6.204233093	6.15285147	7.597653349	4.337116176	6.630201905	6.447445663	6.756716999	6.38307	6.94247147	6.467755254	6.573181268	6.819703689	5.03511	5.330175254	7.096391503	6.338748852	6.26013	7.802668688	6.413386472	7.251088852	6.770597338
DKK3	4.19165207	7.319148767	3.169114185	4.53402155	3.440304234	5.677692953	5.080341684	3.553837227	5.61196	6.74815	3.840176139	5.569476176	8.453348688	5.057335195	2.915396476	6.76318957	4.795108377	4.759203689	3.595828852	5.446551684	4.001774107	4.559408934	2.850857379	4.149843689	5.693118767	4.033486266	3.4018	6.574351268	2.262833093	3.950877499	3.661673754	4.55361	6.771438688	4.495426476	4.493160581	2.764220581	4.796046139	5.19054155	3.592045663	3.883980672	5.507841905	4.157250848	4.955677338	2.5093	3.614212759	5.974897379	2.76865207	3.697120581	6.056658934	7.582157379	2.823876476	5.53199147	3.618061733	5.484177227	3.642163093	5.32991147	5.618583349	2.561686176	4.955951905	2.821005663	0.915216999	5.03495	3.03519147	4.817455254	3.274991268	3.154873689	5.20842	3.442995254	5.057131503	5.766078852	3.34193	8.211378688	3.795816472	5.700018852	4.811187338
SPINT2	4.37412207	5.556138767	4.203424185	5.50912155	3.275834234	4.823702953	3.736001684	4.279877227	3.78214	4.25966	4.442096139	4.317226176	7.199838688	3.354085195	2.545696476	4.94482957	4.801578377	4.800053689	3.683928852	4.200931684	4.774914107	4.056308934	2.479797379	3.551673689	3.332618767	4.445666266	2.70461	2.950941268	2.888713093	2.496917499	3.179893754	3.87669	6.304578688	3.627796476	3.861830581	2.678690581	3.646456139	3.76670155	3.304875663	4.188000672	4.412161905	3.383410848	5.305087338	2.43463	4.210412759	4.646517379	4.34409207	4.637820581	3.775778934	3.136997379	3.385066476	4.48560147	5.135181733	4.749307227	4.077763093	4.43775147	4.798163349	1.527446176	4.846761905	2.976855663	2.913386999	3.39339	3.79740147	3.132585254	4.147301268	4.057883689	1.70156	2.106765254	5.324361503	3.005618852	3.39778	6.079018688	3.526936472	4.671448852	3.610797338
APP	5.72004207	5.961058767	4.428554185	4.27062155	4.436534234	5.271182953	4.346871684	4.792027227	5.76626	5.23623	4.426386139	5.224046176	6.868798688	5.734595195	4.961976476	5.53822957	4.595608377	4.644773689	5.887008852	5.184271684	3.843594107	4.652308934	2.572317379	5.420913689	6.414538767	5.287736266	4.80848	5.590291268	3.617023093	3.508017499	4.384293754	5.17541	6.166898688	4.032946476	4.521460581	3.692270581	5.410916139	4.54897155	3.066175663	4.408280672	4.516951905	3.283220848	5.072037338	3.95198	4.536542759	5.706047379	4.47571207	4.036280581	5.243808934	6.502087379	2.648186476	4.70030147	4.040161733	4.200777227	4.092103093	5.21108147	6.114053349	2.905596176	5.100691905	4.555105663	2.997526999	5.11985	3.98091147	3.864275254	3.308821268	5.001983689	1.62254	5.234815254	5.148961503	5.624108852	3.28459	5.680238688	4.395436472	4.853788852	4.861907338
HAVCR2	1.15108207	2.893358767	0.600364185	3.19037155	2.267464234	4.846422953	1.326291684	0.653597227	2.60682	1.71555	4.269786139	3.226896176	8.005108688	2.188775195	1.449096476	4.33827957	5.170288377	4.288853689	1.232228852	2.277751684	3.151654107	3.686298934	1.665077379	1.767553689	2.809848767	3.803756266	1.61452	2.205831268	2.650563093	1.009517499	3.233553754	1.24425	6.885188688	1.375386476	2.500560581	3.110600581	3.189416139	2.18004155	2.257745663	3.152010672	3.720471905	2.561830848	4.295897338	0.89586	3.466352759	1.732637379	3.21905207	2.920590581	2.659008934	2.444817379	0.974276476	3.02508147	1.882731733	2.206907227	2.110663093	2.21910147	1.924493349	0.824536176	5.141581905	0.678905663	-0.285123001	1.94223	3.29584147	1.420385254	2.455431268	2.383603689	1.66739	0.383615254	5.102851503	2.463778852	1.06765	7.529028688	1.992456472	2.632678852	2.943017338
TMSB10	6.19790207	7.095998767	3.144294185	6.78986155	6.219674234	5.879812953	5.754331684	2.755017227	6.48333	6.03951	6.075436139	7.538466176	8.132998688	5.854735195	2.906006476	6.12887957	4.727208377	6.675513689	4.320518852	6.335021684	6.021204107	6.606338934	4.707117379	4.632843689	7.189868767	4.069096266	5.19681	6.801571268	4.334023093	4.894177499	6.218903754	5.92707	6.106568688	5.741956476	4.773640581	6.763450581	6.113566139	5.30960155	5.562535663	5.938600672	5.369131905	5.479890848	6.349687338	5.22503	6.127692759	5.883347379	5.43925207	5.056270581	5.965108934	6.260387379	3.849786476	6.11777147	4.986521733	6.023927227	4.668343093	6.16861147	6.557813349	5.299126176	5.530771905	3.354815663	2.914016999	5.70934	6.44706147	6.012345254	5.409911268	5.850403689	6.61996	1.970455254	5.446861503	6.316798852	2.90952	5.931358688	5.034486472	6.477168852	6.035587338
ANGPTL4	4.10608207	4.657498767	0.928484185	3.50231155	4.153754234	6.289892953	2.585261684	2.518467227	4.235	1.96866	4.608276139	5.078756176	6.424588688	1.536245195	3.046596476	4.57493957	1.582898377	4.151343689	2.126478852	2.407661684	1.261494107	4.037148934	1.172447379	2.849673689	3.543408767	4.388426266	1.91882	3.505441268	2.619503093	2.821217499	3.715933754	2.92112	4.803748688	1.672796476	3.029090581	4.841570581	4.304366139	4.32099155	4.221695663	2.504910672	3.202891905	2.042740848	2.826787338	1.19685	5.564762759	3.358597379	3.37241207	2.194790581	3.187868934	3.607327379	3.290006476	2.99207147	3.298521733	1.945587227	2.659933093	3.80644147	3.890663349	3.431886176	3.944341905	2.911055663	1.089616999	2.51842	6.22387147	4.930585254	4.132961268	5.550143689	0.69996	1.077865254	3.329511503	4.964318852	2.34072	4.188418688	2.464996472	4.961618852	2.852517338
INHBC	0.84585207	0.969548767	0.413984185	0.54611155	0.740864234	0.586322953	-0.112558316	0.640257227	0.54227	0.0	0.812796139	1.840926176	2.229628688	0.624445195	1.174266476	0.80817957	0.260138377	0.788043689	0.997078852	0.382851684	-0.210025893	0.058578934	0.0	1.080223689	0.748678767	0.684446266	0.2352	0.339741268	1.240893093	0.718407499	0.206523754	0.62054	0.896918688	0.0	0.175940581	0.481100581	-0.176373861	0.36690155	0.522075663	0.153390672	0.664521905	0.054620848	0.517657338	0.42667	0.770552759	0.367197379	-0.15753793	0.503060581	-0.065941066	0.513697379	0.064666476	0.19825147	0.815241733	0.249187227	0.164013093	0.04857147	1.398673349	0.0	0.736931905	0.187035663	-0.167233001	0.68157	0.77671147	0.872585254	0.443841268	0.843163689	0.10822	0.812975254	0.346681503	-0.126471148	0.27537	1.125258688	0.495056472	0.424978852	0.489507338
SPINK1	1.62096207	0.987508767	0.690914185	1.67003155	6.572644234	1.424882953	0.449891684	0.322917227	0.59674	0.56449	1.214466139	1.552376176	3.187778688	0.373555195	1.296156476	2.03923957	0.251558377	0.700123689	0.797058852	0.320261684	0.082574107	0.095318934	0.642857379	1.217403689	0.992178767	2.132646266	0.58733	1.220891268	0.603763093	0.540447499	0.174683754	0.7111	1.273158688	0.085506476	0.424360581	2.416080581	0.831356139	0.28013155	0.340075663	0.399950672	0.493091905	0.206250848	0.654397338	0.55122	0.831842759	0.999477379	0.07033207	0.590320581	-0.196471066	0.837987379	0.322136476	-0.11791853	0.999281733	0.236367227	0.240083093	0.44514147	1.201863349	0.040666176	0.685131905	0.013505663	0.064256999	0.57827	0.38843147	1.847635254	0.250171268	0.501163689	0.44789	0.401625254	0.152891503	1.171208852	0.29765	1.612988688	0.382236472	0.185418852	0.438547338
CLEC11A	3.93447207	6.969678767	4.199934185	6.05474155	2.915384234	5.163142953	4.035231684	2.739097227	7.49303	0.48083	5.122216139	6.378816176	9.140228688	4.573845195	5.585066476	8.02437957	4.427688377	5.378753689	4.296798852	3.895381684	1.691634107	5.063048934	0.365927379	4.162793689	5.584148767	1.531816266	1.62243	5.552451268	3.120483093	2.890627499	4.435293754	4.59031	6.675448688	0.492226476	3.798070581	5.432570581	6.884676139	5.88585155	4.869065663	5.074270672	6.819961905	3.143960848	6.840677338	4.4705	7.543672759	6.455807379	6.24294207	5.988460581	2.375618934	5.911507379	3.343236476	3.92958147	4.574361733	4.037417227	4.406993093	5.60110147	7.576843349	6.241716176	5.872321905	6.222275663	2.423706999	5.33413	5.03291147	6.841455254	4.722771268	4.097833689	2.61218	6.439175254	7.511501503	4.717608852	5.4255	7.558008688	5.053766472	5.623708852	6.541437338
PDGFRB	2.75841207	3.774388767	2.954414185	3.31257155	1.368094234	3.192412953	1.649251684	3.685287227	2.36596	2.48287	3.377146139	3.775546176	6.243208688	1.682235195	1.925106476	3.03305957	1.712418377	2.180683689	2.213028852	2.687301684	1.570844107	2.997748934	1.109197379	2.796683689	2.177088767	2.000316266	1.67521	1.811591268	1.164003093	1.493947499	1.484663754	2.16332	3.523318688	1.475206476	2.194770581	0.870160581	1.813836139	1.75634155	2.229135663	2.012800672	3.236711905	1.890860848	3.292377338	1.2182	2.241452759	1.930327379	1.79230207	2.346680581	0.669408934	1.969387379	2.187816476	1.76853147	2.437881733	2.089547227	1.856833093	1.91338147	2.912063349	0.605496176	2.018981905	2.305595663	2.542546999	2.07315	0.54559147	2.216405254	2.471311268	2.036953689	1.6428	1.488075254	3.563721503	1.638228852	2.32446	4.495978688	2.233886472	2.976588852	2.238867338
COCH	9.02385207	6.077538767	4.124364185	4.73876155	2.101204234	2.747072953	2.089181684	4.072467227	3.00689	3.9013	3.889666139	5.960116176	6.104198688	3.123885195	3.391226476	6.30742957	2.293898377	4.713113689	3.973868852	4.710231684	1.881864107	3.978128934	1.417827379	4.696633689	3.818618767	8.872126266	2.25107	2.721101268	3.693923093	2.711827499	1.219403754	4.9793	5.170328688	1.038386476	5.262790581	2.671340581	4.819796139	3.03044155	5.533725663	2.201630672	2.280301905	2.463570848	3.036607338	1.38575	4.525282759	3.646477379	4.68166207	7.461750581	0.581218934	3.441177379	2.993096476	4.46908147	5.469211733	4.121257227	3.440833093	3.15508147	6.301533349	1.517056176	3.119171905	1.985505663	2.977356999	2.76547	2.53517147	3.716805254	3.314101268	4.482803689	1.2509	2.297025254	5.848971503	3.274838852	6.65652	7.609258688	3.635076472	6.414878852	4.908457338
FCRL5	0.95553207	0.749938767	0.0	0.54531155	0.185654234	0.050842953	0.0	0.010077227	0.37495	0.0	0.612166139	1.312236176	2.658708688	-0.103474805	0.0	0.57662957	-0.295591623	0.659903689	0.0	0.209631684	-0.279515893	-0.114381066	0.140537379	1.224773689	0.558348767	0.411696266	0.13163	0.0	0.730393093	0.0	-0.192966246	0.33668	1.614258688	0.0	0.476410581	0.274510581	1.042046139	0.24706155	0.441265663	0.354980672	-0.215118095	0.0	0.493797338	0.0	0.542192759	0.154387379	-0.05064793	1.009430581	0.0	0.167177379	-0.125583524	0.0	0.574411733	0.437327227	0.236493093	-0.12378853	1.003553349	0.0	-0.016118095	0.0	-0.204363001	0.17113	0.44329147	1.209855254	0.190411268	0.521983689	0.0	0.427515254	1.104531503	0.0	0.25503	2.378248688	0.169256472	0.445068852	1.173457338
PILRA	5.82122207	5.240848767	4.737124185	5.58976155	5.633834234	6.385282953	5.759211684	4.254707227	5.25137	4.52678	5.155296139	4.899906176	8.763508688	5.264705195	4.485256476	6.74191957	5.761708377	6.701823689	5.148888852	4.039291684	5.516494107	6.221198934	3.607287379	4.089573689	6.168078767	5.407716266	4.36946	4.841171268	3.695343093	4.683227499	5.944853754	4.16955	7.271958688	4.138266476	4.707210581	5.213060581	5.295056139	5.65549155	4.628865663	6.101050672	5.717491905	5.187710848	6.183957338	5.02155	6.100342759	5.646237379	6.21141207	5.600890581	6.014178934	6.132567379	4.456556476	5.27608147	5.756471733	6.186097227	5.529333093	4.34014147	5.462573349	4.669656176	6.805901905	5.385955663	3.044406999	5.74505	5.31556147	4.953435254	5.662371268	5.235113689	3.90693	3.587885254	6.440811503	5.623568852	4.63106	7.259918688	5.125756472	5.752108852	6.358917338
B4GALT1	1.54067207	1.522648767	0.796794185	0.76412155	0.171754234	0.392472953	0.303951684	0.388807227	0.81675	0.19183	0.369486139	1.326736176	2.851558688	0.348045195	1.479546476	0.71942957	0.205698377	0.756013689	0.919388852	0.715481684	0.341294107	0.475978934	0.679497379	1.331613689	1.005928767	0.343486266	0.35859	0.476321268	0.377383093	0.957397499	0.261923754	0.57631	1.095148688	0.152836476	0.721050581	0.510490581	0.168486139	0.60440155	0.831735663	0.495890672	1.470481905	0.382950848	0.612427338	0.26604	0.927302759	0.651647379	0.24599207	0.860790581	0.099088934	0.770827379	0.153036476	0.25901147	0.832851733	0.068987227	0.636423093	0.34833147	1.282993349	0.167716176	0.465071905	0.279635663	0.124476999	0.53025	0.76622147	1.206745254	0.230231268	0.682203689	0.40976	0.716075254	1.303331503	0.221258852	0.4636	1.217088688	0.509046472	0.426598852	0.676187338
