	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N161B	N162B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N218B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N237B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N251B	N254B	N255B	N256B	N257B	N258B	N259B	N260B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
SFRP2	6.584962501	6.366322214	6.332707934	6.037821465	3.887525271	7.297374861	5.741466986	7.050768987	8.753216749	7.268658955	5.118432654	6.008988783	8.266786541	6.246027981	6.740118043	5.860466259	6.264911693	7.089582893	6.292781749	7.478162893	7.89542381	7.030115331	5.794415866	6.21649473	6.778734244	5.974988112	6.817623258	7.002252452	5.730639956	4.770829046	6.563768278	5.49519222	6.6043679	5.539158811	6.503030646	5.776103988	6.175923742	5.81382675	5.722466024	6.300123725	5.169925001	6.279842694	5.053111336	7.17292749	6.523561956	6.903279342	5.375925124	6.48058827	7.114931178	6.156754608	6.151777655	6.62497818	6.630813152	7.073271136	5.377781817	6.230741003	6.687900522	6.464341533	7.397460726	5.686500527	5.50756444	6.419538892	6.782670659	5.837943242	5.852997588	7.419538892	7.889351853	4.087462841	5.768184325	5.845490051	5.845490051	7.678776174	7.089582893	5.792652383	7.617651119	6.151777655	6.855491443	7.139551352	7.356672044	6.145677455	7.151777655	6.829088444	4.99095486	5.666756592	4.472487771	7.117902789	5.794415866	6.662490364	5.575917361	6.236492618	6.736063628	6.110613806	7.663913842	6.031218731	4.716990894	6.166519606	7.150762744	6.083213368	6.45779126	6.207502459	7.445428759	5.778734244	7.420381341	5.826842717	6.548436625	5.806285584	5.781359714	7.00337736
SFRP3	6.704595348	5.925999419	6.447909749	6.046578367	6.17990909	7.214319121	6.242221395	6.259272487	6.849248703	6.070389328	7.486231678	6.622051819	5.563768278	6.421223299	6.135452784	6.253611152	6.454504938	6.357874597	5.520422249	8.20310325	7.047669251	7.103287808	6.838656542	6.87774425	4.911691582	5.232660757	6.719731057	6.50779464	6.887525271	6.106432078	6.145064643	5.649615459	6.527209135	6.274261661	5.596935142	6.292781749	6.252634863	6.419538892	6.949534933	6.572889668	4.321928095	6.506208389	7.71630504	6.385431037	6.812498225	5.765534746	4.776103988	6.686500527	6.246027981	6.205548911	7.475928456	6.560714954	7.01234519	5.949534933	5.781359714	5.251719093	7.357552005	6.602884409	6.58044702	6.495055528	5.923624611	6.653919873	6.62935662	6.582460695	6.395748328	6.108524457	7.658925511	5.899659026	5.459431619	7.857980995	5.923624611	6.769507291	6.701826258	6.0725346	8.17990909	6.230741003	6.6043679	6.383704292	6.938019226	5.804776378	5.247927513	6.841721581	7.01234519	6.193771743	7.682994584	6.345183447	5.469234794	6.312882955	6.26834237	6.82527683	6.287250643	5.539158811	5.950088547	5.62935662	6.881419908	6.422905743	4.560714954	6.414473836	5.722466024	5.993221467	6.513435568	7.106432078	6.8891353	6.141596278	5.911691582	7.343407822	6.686500527	7.559950613
SDF1	7.737416366	7.00337736	6.185866545	7.225930411	4.632268215	6.255500733	5.802193217	7.048759312	6.141596278	6.839203788	6.14363831	7.276124405	5.87036472	6.181897643	6.776103988	5.944858446	6.578938713	6.744161096	5.778734244	7.389738879	8.1017131	6.820178962	5.993221467	6.905687849	6.257387843	5.916476644	6.510961919	6.395748328	7.40173285	6.38024459	6.809928866	6.30560579	7.449561375	6.562242424	5.882643049	6.485426827	6.988684687	7.272396509	6.958842675	6.549977143	5.738767837	6.098032083	6.195741293	6.923624611	6.781359714	5.638073837	5.809928866	6.729280846	6.266786541	6.026800059	7.558420713	7.0	5.855491443	6.808642468	5.412781525	5.770829046	7.224001674	6.327328083	8.58345891	7.431288654	5.933100475	6.824004051	7.368069877	6.64385619	6.048759312	7.053111336	6.723831566	5.070389328	6.311067102	6.636624621	6.977279923	7.14363831	6.451211112	6.601399391	7.753551055	5.845490051	6.847996907	6.616181231	6.454504938	5.857980995	4.350497247	6.780047576	6.5360529	7.844234988	6.135452784	6.404290064	5.008988783	7.618385502	6.659639187	6.139551352	6.469234794	5.169925001	6.068240861	6.362820526	6.419538892	6.595443985	5.605849867	6.619119511	5.478971805	6.581953751	6.799605422	6.246027981	6.721099189	6.8899602	7.029011087	6.894817763	6.737416366	6.373300197
TR11B	5.714245518	6.807354922	6.155830172	6.12722055	4.87282876	6.789207575	6.867896464	6.171927354	7.815703503	7.048759312	5.956521363	5.675251386	5.965784285	6.414473836	6.525129251	5.169925001	6.584962501	7.011227255	4.897240426	7.700439718	6.459431619	7.17292749	6.312882955	6.292781749	8.154311811	7.40599236	7.77807713	6.935459748	7.727920455	5.251719093	6.404290064	4.459431619	6.787902559	6.205548911	6.17990909	5.768184325	6.155830172	5.778734244	6.569855608	6.397460726	5.678071905	6.818901676	6.942514505	6.373300197	7.23935985	6.694880193	4.733354341	6.461070114	6.029011087	5.623515741	7.445428759	6.309248961	6.464341533	6.055282436	4.949534933	7.318316841	6.187846909	6.359310317	6.292781749	6.701826258	5.09592442	5.984133595	6.139551352	6.608809243	5.658211483	8.063395081	7.178913785	3.459431619	6.452858965	7.186857067	6.464341533	6.829088444	7.221103725	5.842978832	7.665335917	6.031218731	6.129283017	6.30560579	7.177917792	6.518849829	4.958842675	7.240314329	6.589463893	6.181897643	5.517275693	6.496654083	6.167919866	5.783980414	5.817623258	5.961160258	6.601399391	6.246027981	6.411087227	6.746850183	5.678071905	6.329123596	5.50779464	7.303780748	6.285402219	6.332707934	6.768184325	6.474111514	7.279842694	5.794415866	6.354028938	6.38024459	6.283551423	6.309248961
AEBP1	6.938991439	6.556122818	5.185866545	6.806066226	4.240314329	7.036723106	5.875288598	6.852997588	7.491853096	6.201633861	4.802193217	6.38024459	5.865423978	7.631540867	6.395748328	6.587964989	6.323730338	7.689997971	5.972692654	6.708739041	7.313790025	6.64385619	6.846744023	6.766860144	5.730639956	6.04220656	6.736063628	5.916476644	7.340740281	6.64096791	5.947198584	6.699051844	6.199672345	6.554588852	7.54689446	7.10433666	5.730639956	6.9795681	6.421223299	6.75087444	5.928370323	7.100136671	6.259272487	6.83541884	5.738767837	7.148730779	5.442943496	6.840463234	6.692092375	7.254556252	7.201633861	7.125155131	7.892391026	6.675251386	7.830990481	5.569855608	7.129283017	7.150762744	6.809928866	7.246027981	6.789207575	6.553053253	6.938991439	6.355791547	6.044394119	6.416164165	7.157852169	7.133399125	6.525129251	6.74281467	6.778734244	7.092757141	7.112700133	5.43629512	6.914086097	6.419538892	6.658211483	5.965784285	7.557655155	6.665335917	5.307428525	6.6043679	6.464341533	6.044394119	5.321928095	5.817623258	5.06608919	6.701826258	6.718361626	6.437960088	6.730639956	6.48864354	6.312882955	6.849248703	6.376776572	6.942514505	5.087462841	5.532940288	6.812498225	6.320123598	7.254556252	6.915281866	6.849248703	6.802193217	6.483815777	6.366322214	5.738767837	6.726558779
ASPN	7.209453366	7.22881869	2.632268215	8.712870868	4.776103988	4.817623258	5.48864354	6.892391026	7.004501392	6.883865155	4.121015401	6.817623258	7.015693807	6.707359132	6.290940402	7.30833903	5.918863237	6.378511623	5.0	5.675251386	7.478162893	6.334496768	6.285402219	7.194756854	5.83541884	6.171927354	5.137503524	4.857980995	6.596935142	5.587964989	8.243650042	7.032321287	7.894817763	4.87282876	5.255500733	6.517275693	6.998872454	5.708739041	4.161887682	6.778734244	6.006746832	6.58044702	5.560714954	6.586464526	5.205548911	5.899659026	8.132371199	6.421223299	8.057991723	7.128252152	6.851749041	6.73470962	7.165911939	7.729960561	6.636624621	6.221103725	7.093813673	6.965784285	8.093813673	6.427941333	8.159871337	6.92243574	7.710117632	4.54225805	6.123086751	5.942514505	7.091699834	7.785288981	5.697662633	7.44625623	6.797012978	8.023477152	6.006746832	4.087462841	6.385431037	7.703211467	6.762880293	6.885086225	7.632995197	5.809928866	9.971112405	7.271463028	6.545350645	7.375039431	4.350497247	7.183883459	5.578938713	7.77016832	6.465974465	5.153805336	8.478971805	6.745506266	5.942514505	6.303780748	5.495055528	7.29553937	3.201633861	5.116863758	4.596935142	5.678071905	5.736063628	5.741466986	7.426264755	5.867896464	8.52277767	5.703211467	5.578938713	6.23457796
PGS1	7.499845887	7.189824559	4.749534268	7.667466405	4.548436625	6.108524457	6.614709844	7.52277767	6.782670659	6.723831566	6.006746832	7.174925683	6.399171094	7.404290064	6.595443985	7.315602457	6.638073837	7.613973587	6.201633861	6.387155718	7.307428525	6.14974712	7.022367813	7.686500527	5.730639956	5.754887502	6.592457037	5.545350645	8.005624549	6.860466259	7.099084761	7.442114122	7.252665432	6.703211467	6.969242604	6.906890596	6.185866545	7.315602457	5.970393538	7.102238194	6.534497434	6.704595348	6.48703608	6.656782364	5.01346226	6.300123725	6.51412226	6.936637939	7.36719631	7.200653436	7.067165427	7.486231678	7.464341533	7.407692649	7.185866545	6.121015401	7.921840937	6.874059203	7.903279342	7.372429792	7.564530601	7.030115331	7.626439137	6.614709844	6.841721581	5.977279923	7.293701542	6.613236955	6.203592714	7.453682186	7.28169825	7.059614856	7.112700133	5.572889668	7.255500733	6.675251386	7.17292749	6.562242424	7.623515741	6.690696444	6.62058641	6.745506266	6.82527683	6.575917361	6.375039431	6.422905743	5.557655155	7.551516018	7.176921112	6.760220946	7.299208018	6.362820526	6.359310317	6.816343705	6.864186145	7.911691582	4.09592442	5.50779464	5.635173947	6.368069877	6.818901676	6.721099189	6.988684687	7.658925511	7.761551232	7.047669251	6.656782364	6.903279342
CRAC1	6.316507819	6.5360529	6.301953395	6.21916852	4.498250868	6.83541884	6.318316841	6.09592442	8.103812329	5.947198584	5.523561956	5.402585758	5.773468928	6.947198584	6.277984747	6.736063628	6.354028938	6.832890014	5.399171094	6.958842675	7.892998093	7.181897643	6.381975479	7.023477152	6.157852169	6.586464526	7.910492832	6.173926932	7.212374788	5.575917361	6.274261661	5.623515741	6.078951341	6.022367813	7.070389328	6.694880193	6.395748328	6.610286657	6.426264755	6.43629512	6.087462841	7.048759312	6.151777655	6.854245054	6.705977902	7.099084761	6.740118043	6.434628228	5.504620392	6.037821465	6.343407822	6.658211483	6.74819285	7.267723052	6.87282876	6.515699838	6.30560579	6.404290064	7.235535607	7.29553937	6.259272487	6.226893814	6.369815424	6.787902559	5.277984747	7.113742166	7.204571144	6.758889433	5.794415866	6.470862199	6.215290306	7.17292749	7.487840034	6.368069877	5.8899602	5.672425342	5.974988112	6.598424761	6.189824559	6.341630009	5.439623138	6.897240426	6.563768278	6.642412773	5.880195729	6.785288981	5.867896464	6.211401637	6.203592714	5.949534933	6.447909749	6.944858446	6.373300197	5.614709844	6.927185358	5.882643049	7.158862106	7.29186137	6.592457037	6.844234988	6.8008999	5.942514505	6.938991439	6.285402219	7.163901214	6.205548911	6.151777655	6.38024459
COMP	6.22881869	9.438168074	5.578938713	7.92659251	5.364572432	5.368069877	5.678071905	6.381975479	5.894817763	6.716044122	4.087462841	6.5360529	6.708739041	5.485426827	6.8008999	7.16357917	6.026800059	5.727920455	8.272863023	6.261154673	6.44625623	6.437960088	4.399171094	4.554588852	6.760220946	7.016808288	7.572131751	6.163901214	5.855491443	5.452858965	5.711494907	6.794415866	6.849248703	6.215290306	7.129283017	5.809928866	5.977279923	6.666756592	5.923624611	6.004501392	7.14974712	6.057450272	6.593951284	6.125155131	6.590961241	6.195741293	6.366322214	6.046980466	6.295570813	6.290940402	6.43629512	5.145677455	6.334496768	6.477353527	7.943100848	7.026800059	6.145677455	7.475733431	6.402585758	5.832890014	7.906890596	6.804776378	7.396604781	6.701826258	5.108524457	5.578938713	6.230741003	5.419538892	6.818901676	7.556122818	6.274261661	8.026800059	5.426264755	6.434628228	5.091699834	6.411087227	5.727920455	7.546122759	5.608809243	6.757556689	7.297374861	7.06608919	5.714245518	7.077883864	5.350497247	7.100136671	6.418281415	6.341630009	6.015693807	4.781359714	6.874059203	5.974988112	6.619119511	5.498250868	6.928370323	6.338647556	8.546122759	6.727920455	6.334496768	6.169925001	6.944858446	4.986410935	7.171927354	6.971815455	8.184379486	6.220749525	5.860466259	5.974988112
CTHR1	6.719731057	6.672425342	6.303780748	6.472487771	5.605849867	5.569855608	6.539158811	6.559185866	6.006746832	6.87282876	5.719731057	5.882643049	6.274261661	6.207502459	6.549977143	5.781359714	5.897240426	7.055282436	5.581953751	7.369815424	6.924812504	6.255500733	6.627898616	7.28169825	6.992088609	6.58345891	7.166916252	5.897240426	7.17292749	6.369815424	6.860466259	6.851749041	6.14974712	6.070389328	6.083213368	6.341630009	6.187846909	6.808642468	6.636624621	6.687900522	5.061776198	6.397460726	7.40173285	6.62058641	6.400879436	5.911691582	5.727920455	6.54689446	7.526694846	6.797012978	7.224001674	7.047669251	6.336283388	6.865423978	6.938991439	5.193771743	8.522385366	7.569855608	6.994353437	6.499845887	7.046578367	6.266786541	7.217230716	6.0725346	7.022367813	6.876516947	6.21916852	5.840463234	6.839203788	7.503825738	6.757556689	7.34251919	6.874059203	5.902073579	8.144658243	6.714245518	6.697662633	6.09592442	6.836681593	6.429615964	7.010108453	6.782670659	6.387155718	6.577428828	6.797012978	7.008988783	6.571373436	7.034523875	6.470862199	5.87036472	7.40173285	6.330916878	6.485426827	6.45779126	6.253611152	7.36719631	7.084276911	7.082149041	6.106432078	6.50779464	6.135452784	6.424586226	6.909293086	6.791814071	6.666756592	6.86913112	5.958842675	6.598424761
CCN2	6.171927354	6.21916852	6.48058827	6.837943242	4.807354922	6.941341105	5.711494907	6.793115555	6.700439718	6.284745257	6.083213368	6.69327064	6.129283017	7.157852169	6.055282436	6.886768261	6.244125943	7.330916878	5.984133595	7.549207089	6.33322907	7.44625623	6.903279342	6.656782364	7.636624621	5.99095486	7.231701199	6.046578367	7.783325685	6.279842694	6.159871337	6.044394119	6.211401637	6.312882955	6.587964989	6.601399391	5.675251386	6.682292371	7.073606041	6.496654083	5.343407822	6.121015401	7.525912261	6.730639956	6.957682486	6.285402219	6.221103725	6.329993273	6.537606691	6.607330314	6.971543554	6.723831566	6.551516018	6.924812504	6.936268382	5.786596362	6.797012978	6.350497247	6.483815777	5.778734244	6.894409136	6.181897643	5.867896464	6.402585758	6.712870868	7.082149041	6.357552005	5.526694846	6.255500733	7.417008587	6.026800059	5.708739041	7.608069968	6.350497247	7.181897643	6.318923957	6.312882955	6.21916852	6.619119511	6.557655155	5.578938713	6.238404739	6.554588852	6.454504938	6.429615964	5.240314329	6.41575754	6.617043042	6.794415866	6.375039431	6.58242476	5.274261661	6.350497247	6.465974465	6.436999376	7.369815424	5.247927513	6.653919873	6.437960088	6.046578367	7.071462363	7.24697806	6.44625623	7.420381341	6.51412226	7.355791547	6.692092375	6.197708158
PGS2	5.022367813	8.167418146	2.169925001	6.77478706	4.857980995	5.694880193	5.768184325	7.21042783	7.469234794	7.216260837	3.419538892	4.270528942	6.424586226	6.309248961	6.211401637	7.733354341	6.935459748	7.832257114	5.205548911	5.892391026	6.395748328	7.602142091	5.09592442	6.247927513	7.093813673	6.545350645	8.837943242	4.608809243	4.078951341	5.221103725	8.030115331	4.867896464	6.98982022	5.157852169	5.928370323	6.658211483	6.614709844	3.608809243	4.572889668	5.596935142	5.666756592	7.478971805	3.263034406	6.818901676	5.649615459	5.548436625	6.856736756	5.129283017	6.985272714	7.452035274	6.161887682	6.055282436	7.044394119	8.131856961	5.897240426	7.862947248	5.830356747	6.616181231	5.778734244	5.608809243	8.070389328	7.135452784	7.005624549	6.292781749	6.116863758	4.655351829	7.886306263	7.038918989	6.123086751	7.353146825	6.727920455	7.85237345	4.770829046	4.655351829	5.754887502	7.146695948	4.523561956	7.399171094	7.254556252	7.124121312	9.487840034	6.94016675	6.074676686	6.008988783	3.510961919	7.080018029	6.454504938	6.568336182	6.153805336	4.121015401	8.994070528	6.781359714	7.108524457	6.993221467	5.997744026	6.147713722	4.517275693	5.10433666	5.469234794	6.368069877	6.652486495	4.857980995	7.268658955	6.427941333	7.86727874	4.700439718	5.181897643	4.277984747
DERM	7.433794059	7.131342539	5.852997588	7.791162889	5.459431619	5.832890014	6.12722055	7.055282436	6.153805336	6.572889668	5.189824559	6.523561956	5.638073837	6.21916852	6.157852169	6.943686952	6.387155718	7.344295908	6.804776378	6.937815169	6.909293086	6.414473836	6.856736756	7.260213887	5.9795681	6.385431037	6.499845887	5.332707934	7.487840034	6.649615459	6.699051844	7.091699834	7.764871591	6.48058827	6.92243574	6.504620392	6.658211483	7.22881869	5.66106548	7.197708158	6.818901676	6.191799501	6.346956889	7.04220656	5.87036472	5.62935662	6.078951341	7.082149041	6.791814071	6.745506266	7.166916252	7.811214118	6.993221467	7.288173968	6.995484519	5.752213368	7.952450058	7.248876343	7.787249608	6.871597266	6.987548259	6.787902559	7.616181231	6.376776572	6.01346226	6.199672345	7.578938713	6.400879436	6.191799501	7.029011087	6.424586226	7.941927925	6.75087444	6.017921908	7.477353527	5.956521363	6.911691582	7.176921112	7.245077275	6.339850003	6.592457037	7.061776198	6.416164165	7.287250643	5.209453366	6.64096791	5.678071905	7.540709263	6.683696454	6.943686952	6.911691582	6.279842694	6.737416366	6.871597266	6.10433666	7.175923742	5.026800059	5.757556689	5.719731057	6.575917361	7.001126665	6.334496768	7.276124405	6.807354922	7.722466024	6.920055055	6.0725346	6.830356747
FBLN3	6.474111514	7.490249211	7.230741003	6.852997588	5.498250868	6.74819285	7.029011087	6.545350645	6.687900522	5.498250868	7.21042783	6.221103725	5.318316841	7.797012978	6.399171094	6.62935662	5.949534933	6.778734244	6.050936965	7.13442632	6.76420813	6.197708158	6.996614715	6.816343705	5.395748328	5.321928095	6.081083929	6.187846909	8.73437092	7.235535607	5.307428525	7.341630009	6.971543554	7.056366761	6.394033895	7.562242424	6.106432078	6.768184325	7.233619677	8.126704473	7.292781749	6.566815154	8.651410526	7.286326727	6.044394119	6.744161096	5.87282876	7.225930411	6.116863758	6.388878339	6.474111514	6.918863237	6.87897051	6.002252452	7.368942914	5.061776198	6.437960088	6.232660757	7.252665432	8.175424799	6.314696526	6.341630009	6.23457796	6.986410935	6.185866545	6.504620392	6.296457407	6.855491443	6.645298164	7.06608919	7.774128144	6.659639187	7.560714954	7.168922782	6.957682486	5.247927513	7.28077077	5.965784285	7.450386479	5.773468928	5.193771743	6.44625623	5.817623258	6.329123596	6.981852653	5.683696454	5.48864354	6.827819025	7.196725061	7.544578117	4.930737338	6.141596278	7.109569509	6.399171094	6.521992956	7.311975314	6.050936965	6.721099189	7.077883864	6.255500733	7.511752654	7.0	6.209453366	6.87282876	6.673839056	7.14974712	6.485426827	7.076815597
ECM1	7.022367813	6.5360529	6.652486495	6.690696444	6.903279342	7.087462841	6.139551352	6.722466024	6.794415866	7.286955144	6.251719093	6.942514505	6.912889336	6.031218731	7.274261661	6.487338661	6.283551423	7.154818109	8.118422024	7.284477118	6.048759312	7.141596278	4.432959407	6.439623138	6.46760555	6.884484549	6.093813673	6.836681593	6.292781749	6.614709844	7.593951284	6.62935662	6.216918933	6.752213368	6.74819285	7.133399125	7.12255379	6.899659026	7.019034669	7.842978832	5.832890014	6.559185866	5.914086097	6.832890014	6.586464526	7.170926525	5.993221467	6.583193745	6.506208389	6.58345891	5.181897643	7.093813673	7.027905997	6.769507291	6.289096702	7.216260837	6.850086824	7.598424761	6.417852515	6.548436625	6.217230716	7.102238194	6.923624611	6.186597364	5.827819025	7.09592442	6.943686952	6.962317655	7.039040006	6.205548911	6.205548911	6.642412773	6.249824549	6.294620749	6.276124405	7.208478242	7.196725061	6.791814071	5.672425342	6.266786541	6.765534746	6.749534268	6.521992956	6.617651119	6.18693911	7.76420813	7.550740028	6.676662335	6.988684687	6.392317423	6.478971805	6.387155718	6.951640868	6.799605422	6.031218731	6.978424465	7.762880293	6.459431619	7.131342539	7.344295908	7.098320991	6.649615459	6.902533237	6.54689446	6.64096791	6.209453366	7.880195729	7.152791852
ECM2	6.961160258	5.61176256	6.673839056	5.842978832	5.882964808	7.020146573	5.560714954	6.978424465	7.470048726	6.40194878	5.452858965	6.62497818	5.193771743	7.146695948	5.8899602	6.066803783	6.753689979	7.244125943	6.431288654	8.085339669	7.181897643	6.985272714	7.276124405	6.831623937	6.71799509	5.578938713	7.368942914	6.76948697	8.387586566	6.624579539	5.675251386	6.504620392	6.587964989	6.642412773	6.937815169	5.98422016	5.802193217	7.019034669	6.577428828	6.711494907	6.4748421	6.832931269	7.189824559	6.653919873	6.898450233	7.212374788	5.812498225	6.513615242	6.820178962	6.061776198	7.605849867	6.688167342	7.183883459	6.412781525	4.911691582	6.369071187	7.988116585	5.887525271	6.628671056	6.251719093	5.289096702	5.904484098	7.05853297	6.5360529	6.026800059	7.26766477	6.754887502	5.908385868	6.076815597	7.785942819	6.409390936	6.984133595	6.992088609	5.66106548	7.426264755	6.710117632	6.287250643	6.434628228	7.36719631	6.141596278	6.740118043	6.548436625	6.454275479	6.759778571	5.10433666	6.161887682	5.904410193	6.822730148	6.191799501	6.690696444	8.559185866	6.279842694	6.622051819	5.781359714	5.442943496	6.827819025	5.452858965	7.154818109	5.714245518	6.887803311	7.242221395	6.685099172	6.51412226	6.449561375	6.462706751	6.836681593	6.268658955	7.697662633
FMOD	6.653919873	6.292781749	3.925999419	5.730639956	3.744161096	6.087462841	6.483815777	6.854245054	6.300123725	6.965784285	7.175923742	5.918863237	5.255500733	8.207990433	5.970393538	7.005624549	6.116863758	8.052568051	4.916476644	6.687900522	7.548436625	6.177917792	7.290940402	7.375908263	5.54225805	5.501439145	7.381975479	6.181897643	8.4325419	6.762880293	6.125155131	7.569855608	4.981852653	6.277984747	6.165911939	6.350497247	5.658211483	7.535275377	6.553053253	6.933100475	5.402585758	6.790511412	6.601399391	6.125155131	5.141596278	7.180903709	5.153805336	6.998872454	7.057450272	6.851749041	7.730639956	7.330916878	8.186857067	6.816343705	7.293701542	6.083213368	7.865423978	6.757556689	6.177917792	8.207990433	7.301953395	6.903279342	6.046578367	7.251719093	7.672425342	6.960001932	6.58044702	7.411087227	6.746850183	8.530211233	7.145677455	6.965784285	6.818901676	6.357552005	6.672425342	7.188836073	6.334496768	6.002252452	7.772149591	6.238404739	6.061776198	6.167919866	7.364572432	5.121015401	6.972692654	5.64385619	5.757556689	6.723831566	7.030115331	6.87774425	9.058262372	6.653919873	6.411087227	6.587964989	7.443772393	7.780047576	3.847996907	4.87774425	5.232660757	6.685099172	6.794415866	7.217230716	6.462706751	7.64096791	7.215290306	7.656067274	7.48864354	7.437960088
FBLN1	6.770829046	7.434628228	7.214319121	7.053111336	5.799605422	6.772149591	6.74281467	6.733354341	6.46760555	6.534497434	5.517275693	6.605849867	5.981852653	6.412781525	7.382840144	6.346956889	5.885086225	6.871597266	6.422905743	6.887525271	5.937815169	7.101187815	5.632268215	5.749534268	6.298291731	5.385431037	6.381975479	6.616181231	6.749534268	6.844234988	6.830356747	6.737416366	6.916476644	7.572131751	6.622051819	6.586464526	6.632268215	6.930737338	7.190812368	6.936637939	7.233619677	6.955359305	6.846744023	7.004501392	6.577428828	7.027905997	6.493455201	6.996614715	6.902073579	5.652486495	7.070389328	7.034523875	6.565292521	6.017921908	6.485426827	6.167919866	7.118941073	7.472487771	7.341630009	7.130313146	5.974988112	6.746850183	6.663913842	6.087462841	6.362820526	6.390598906	6.571373436	6.268658955	7.310158318	6.029011087	6.599912842	7.113742166	7.222070355	6.357552005	6.451211112	6.050936965	7.100136671	6.733354341	6.276124405	6.157852169	5.760220946	6.512542955	6.085339669	6.978424465	5.697662633	6.6395216	6.551516018	6.700439718	7.073606041	7.090641752	6.011227255	6.54225805	6.572889668	7.551516018	6.03562391	7.00337736	6.8899602	6.515699838	7.28169825	6.58044702	6.444600814	6.560714954	6.619119511	5.797012978	6.447909749	6.298291731	6.951867504	6.449561375
FBLN2	7.188836073	6.294620749	6.723831566	7.043300754	5.040015679	7.348728154	5.820178962	6.61176256	6.659639187	7.046578367	6.263034406	6.031218731	6.01346226	7.541483864	6.781359714	6.093813673	6.883983203	7.326429487	7.122051448	6.338067798	6.510961919	6.577428828	7.425425735	6.974988112	7.030115331	6.968090752	6.397460726	7.060695932	8.648896806	7.694880193	6.421223299	7.238404739	6.608809243	7.169925001	7.05853297	6.616181231	5.575917361	7.747521673	6.902073579	6.910492832	6.48864354	6.458374227	7.106432078	6.73470962	6.375039431	7.161887682	7.12722055	6.307428525	6.867896464	5.339850003	6.30560579	6.211401637	6.339850003	6.346956889	7.892998093	6.673839056	7.692789835	6.6794801	7.019190296	6.905687849	6.361066489	6.627898616	7.176921112	6.274261661	6.422905743	6.067900326	6.760220946	5.993221467	6.795715007	6.14363831	5.738767837	5.526694846	7.081083929	5.584962501	6.515699838	7.154818109	6.924812504	6.900866808	7.703211467	6.327328083	5.797012978	6.852997588	6.14363831	6.495055528	6.14363831	6.274261661	7.053111336	6.813781191	7.46515823	6.309248961	5.412781525	6.560714954	6.543805176	6.485426827	6.153805336	7.159871337	6.733354341	6.040015679	7.007868243	6.484124393	6.30560579	6.464341533	6.760220946	6.93191939	6.821455119	6.323730338	7.070389328	6.201633861
FBLN5	6.655351829	6.050936965	7.088523257	6.704595348	5.807354922	6.568336182	7.475733431	6.339850003	6.673839056	5.82527683	8.264911693	6.648177796	6.118941073	7.827819025	6.837943242	7.317412614	6.12722055	7.180903709	6.501439145	7.424586226	6.964629667	6.570845121	5.944858446	5.830356747	5.590961241	5.022367813	6.663351629	5.918863237	6.568336182	6.277984747	5.64096791	7.098032083	6.605808635	6.607330314	7.574404309	6.055282436	6.163793568	7.176921112	7.251719093	7.172178596	5.815063017	7.047669251	7.6043679	7.166916252	6.10433666	7.499048598	6.205548911	7.928370323	6.129283017	6.100136671	6.745506266	6.257387843	7.300123725	6.482202926	6.714023631	5.554588852	5.730639956	6.215290306	6.061776198	7.740792672	6.891552727	6.381975479	6.508876111	6.818824113	6.726558779	6.14974712	6.776103988	6.290940402	7.427941333	6.564559207	7.041111535	6.387155718	7.896635141	7.010108453	6.506327483	5.783980414	6.085339669	5.981852653	6.392317423	6.382668277	6.301953395	6.906890596	5.686500527	8.189330401	6.831623937	5.137503524	5.736063628	6.417852515	6.93191939	7.358431429	6.12722055	6.795715007	6.818753282	6.247927513	6.948367232	7.098032083	5.569855608	6.320123598	7.332707934	6.495055528	7.090646214	7.447083226	6.717121576	6.557655155	5.899659026	6.765534746	7.087766247	6.95419631
