	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N161B	N162B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N218B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N237B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N251B	N254B	N255B	N256B	N257B	N258B	N259B	N260B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
APOL1	5.697662633	5.817623258	5.575917361	5.008988783	6.490249211	8.539934245	5.626439137	6.015693807	6.215290306	7.00337736	5.213347282	5.626439137	6.77478706	5.781359714	7.414473836	7.766860144	5.786596362	6.046578367	6.311067102	8.217230716	5.981852653	7.417852515	5.860466259	6.329123596	7.856114234	7.24697806	6.965784285	6.938991439	7.712183051	5.244125943	6.226893814	5.778734244	5.563768278	7.050936965	7.596935142	5.177917792	6.323730338	6.159871337	6.279842694	5.768184325	5.741466986	5.566815154	5.850499414	6.017921908	8.25219234	8.351380981	4.944858446	7.498250868	5.986487816	5.83541884	6.6794801	5.495055528	6.238404739	6.321928095	6.452858965	8.345183447	5.906890596	6.422905743	5.354028938	5.217230716	5.121015401	6.465974465	5.651128909	6.205548911	5.757556689	7.340740281	5.635173947	4.727920455	7.566054038	5.990197369	4.711494907	6.452858965	6.938991439	6.037821465	6.223919633	6.388878339	6.215290306	5.646738698	5.930737338	5.697151207	6.548436625	7.407692649	6.048759312	6.04220656	4.614709844	6.722466024	6.930737338	4.807354922	5.867896464	6.300123725	8.254083779	5.520422249	7.30103885	7.074676686	5.977279923	5.638361664	7.451211112	7.537606691	6.341630009	6.820178962	6.782670659	5.865423978	6.338067798	5.667090651	6.283551423	5.482409293	5.981852653	7.960001932
APOA	5.392317423	7.48864354	6.572889668	6.76420813	6.912889336	7.40173285	5.554588852	5.551516018	4.255500733	3.935459748	4.285402219	4.827819025	7.30560579	4.827819025	7.851749041	4.590961241	2.887525271	7.712870868	6.375039431	6.03562391	4.944858446	7.750204509	5.108524457	6.0725346	6.928370323	6.061776198	4.364572432	6.721099189	3.419538892	4.523561956	6.633721813	7.286326727	7.721782768	7.213347282	4.336283388	3.935459748	6.984133595	7.218199944	8.835734632	5.43629512	5.28169825	3.10433666	4.153805336	5.329123596	5.716990894	5.336283388	4.378511623	4.916476644	7.225930411	6.704595348	7.017921908	8.832890014	5.236492618	4.817623258	4.121015401	7.081083929	7.253611152	6.323730338	6.325530332	7.505414609	4.510961919	4.786596362	3.087462841	5.995484519	5.981852653	2.292781749	6.470862199	4.944858446	7.46515823	3.121015401	3.797012978	3.95419631	5.569855608	5.501439145	4.722466024	6.251719093	8.827501495	7.829722735	7.886915896	1.925999419	6.242221395	7.881419908	8.21916852	6.908092341	4.897240426	7.725195817	4.716990894	5.116863758	4.300123725	4.837943242	3.963474124	5.925999419	6.478971805	9.346070441	2.906890596	4.711494907	6.263034406	4.892391026	5.416164165	6.300123725	5.332707934	3.722466024	6.83541884	4.017921908	5.346956889	5.285402219	4.716990894	4.760220946
APOH	5.64096791	6.719731057	6.110613806	4.121015401	5.916476644	7.345183447	6.776103988	6.886306263	5.930737338	6.323730338	6.434628228	6.899659026	5.62935662	5.947198584	6.64096791	6.373300197	6.993221467	6.711494907	6.757556689	6.832890014	5.757556689	6.910492832	6.485426827	5.491853096	6.261154673	6.419538892	6.116863758	5.786596362	6.121015401	5.412781525	6.294620749	6.177917792	5.99095486	5.339850003	6.867896464	6.135452784	5.852997588	5.683696454	7.421223299	5.949534933	6.309248961	5.572889668	6.181897643	6.581953751	6.17990909	6.14363831	6.199672345	6.847996907	6.422905743	6.894817763	6.321928095	6.022367813	5.921245889	6.623515741	6.153805336	5.865423978	6.760220946	5.776103988	6.059614856	6.22881869	6.263034406	6.020146573	6.063934306	6.596935142	7.48703608	6.409390936	6.512542955	7.311067102	6.982993575	7.213347282	7.047669251	5.815063017	6.171927354	6.472487771	7.001126665	6.442943496	6.399171094	6.205548911	6.247927513	6.48058827	6.230741003	6.276124405	6.770829046	5.526694846	6.230741003	6.345183447	6.456149035	6.761551232	6.125155131	6.798309782	6.100136671	4.478971805	6.574404309	6.499845887	7.060695932	6.159871337	6.298291731	6.598424761	7.141596278	5.581953751	5.956521363	6.334496768	5.842978832	6.469234794	6.687900522	6.417852515	6.623515741	4.977279923
CLUS	6.669593751	7.076815597	6.346956889	6.528258743	6.646738698	7.820817182	6.44625623	6.330916878	6.249824549	6.842978832	6.390598906	7.261154673	6.48864354	6.145677455	6.745506266	6.368069877	6.195741293	7.014578465	6.131342539	7.886915896	6.309248961	6.572889668	6.397460726	6.093813673	5.797012978	6.395748328	6.226893814	6.888743249	7.362820526	6.031218731	6.923624611	5.914086097	7.344295908	6.371558863	6.560714954	6.053111336	6.48703608	7.090641752	6.773468928	6.871597266	5.66106548	6.929554316	6.806066226	6.841721581	6.121015401	6.93191939	5.145677455	7.061776198	6.261154673	6.300123725	7.628627802	6.512542955	6.456149035	6.422905743	5.504620392	6.802193217	6.534497434	7.006746832	6.881419908	6.153805336	5.807354922	6.549977143	6.865423978	6.622051819	6.622051819	6.402585758	6.8008999	4.760220946	7.150762744	7.155830172	6.183883459	6.261154673	6.903279342	6.529820947	7.337175869	7.177917792	7.350497247	6.692092375	7.118941073	5.442943496	6.366322214	6.855491443	6.854245054	7.04220656	6.076815597	7.069315495	6.181897643	6.808642468	6.891176125	6.703211467	7.577428828	5.703211467	6.523561956	7.357552005	6.464341533	6.908092341	6.011227255	6.17990909	6.470862199	6.517275693	6.414473836	6.782670659	6.710117632	6.232660757	6.659639187	6.251719093	7.553053253	7.491853096
A1AG1	5.83541884	6.106432078	5.9795681	6.521992956	6.459431619	6.020146573	5.053111336	5.741466986	6.089582893	6.269013534	3.827819025	5.48864354	5.325530332	5.116863758	6.475733431	4.997000041	6.75087444	5.368069877	5.510961919	5.786596362	6.663913842	7.445428759	5.765534746	5.22881869	7.378511623	7.951867504	7.025693274	5.572889668	5.432959407	4.017921908	5.129283017	4.837943242	6.635173947	5.947198584	6.209453366	5.0	5.937815169	4.935459748	5.727920455	5.655351829	4.638073837	5.364572432	4.314696526	6.982993575	8.324180547	6.472487771	4.364572432	5.397062416	5.074676686	5.008988783	5.416164165	5.28169825	5.54225805	5.529820947	4.958842675	6.224966365	5.678071905	5.221103725	5.357552005	4.944858446	4.722466024	5.070389328	5.478971805	5.566815154	4.727920455	7.891176125	5.399171094	4.64385619	6.526694846	5.236492618	4.930737338	6.82527683	6.498250868	4.465974465	5.786596362	6.181897643	6.345183447	6.044394119	6.475733431	4.683696454	6.085339669	6.849248703	4.916476644	6.135452784	4.862947248	6.289096702	6.333686733	4.822730148	5.892391026	6.789207575	5.145677455	5.357552005	7.023477152	6.341630009	4.263034406	5.004501392	6.705977902	6.12722055	5.904484098	7.563768278	5.862947248	5.031218731	5.617651119	4.786596362	5.392317423	5.266786541	4.921245889	5.221103725
A1BG	6.601399391	6.830356747	5.906890596	6.215290306	6.12722055	7.196725061	6.336283388	6.651051691	8.220620167	6.752213368	5.22881869	5.815063017	6.381975479	6.638073837	6.400879436	6.240314329	6.930737338	6.498250868	5.916476644	7.222070355	6.123086751	7.810571635	6.287250643	5.757556689	6.802193217	6.599912842	7.633721813	6.257387843	5.64096791	5.663913842	6.09592442	5.452858965	6.662490364	6.74281467	6.886306263	6.341630009	6.163901214	6.270528942	6.537606691	6.044394119	6.577428828	6.586464526	5.64096791	6.6043679	6.93191939	6.721099189	7.190812368	6.470862199	5.942514505	6.444600814	6.270528942	6.355791547	6.565292521	6.327328083	5.942514505	7.107478647	6.185866545	5.928370323	6.199672345	6.199672345	6.623515741	6.608809243	6.94602899	6.938991439	6.359310317	6.842978832	6.449561375	6.905687849	6.572889668	6.48864354	6.171927354	6.633721813	6.381975479	6.294620749	6.387155718	6.656782364	6.106432078	6.323730338	6.350497247	6.906890596	6.106432078	6.649615459	6.462706751	5.95419631	5.711494907	6.862947248	7.001126665	6.811214118	6.203592714	6.292781749	7.113742166	5.776103988	7.145677455	6.523561956	5.899659026	5.916476644	6.909293086	7.343407822	6.857980995	6.54225805	6.845490051	5.847996907	6.517275693	5.909293086	6.607330314	5.9795681	6.485426827	6.046578367
FETUA	8.20994068	2.378511623	7.729960561	5.916476644	3.754887502	4.399171094	5.426264755	6.12722055	3.847996907	5.94016675	3.596935142	6.854245054	4.852997588	6.746850183	6.607330314	2.981852653	5.802193217	6.159871337	7.067165427	7.803485376	7.171927354	5.623515741	7.022367813	4.392317423	6.376776572	3.944858446	2.963474124	3.201633861	3.137503524	6.730639956	3.925999419	6.626439137	7.067165427	7.77148947	6.504620392	4.694880193	6.846744023	4.95419631	3.827819025	6.321928095	3.137503524	5.746850183	6.201633861	7.147713722	6.376776572	6.596935142	5.705977902	5.161887682	6.854245054	3.201633861	6.0	6.663913842	7.469234794	2.807354922	4.03562391	2.925999419	7.00337736	6.714245518	6.83541884	4.044394119	4.465974465	3.887525271	5.263034406	4.343407822	3.827819025	5.797012978	4.053111336	3.689299161	6.842978832	4.54225805	5.958842675	7.408542042	7.254556252	4.529820947	6.841721581	4.357552005	7.945443836	7.038918989	5.914086097	2.981852653	6.98982022	6.137503524	3.017921908	7.100136671	4.649615459	5.783980414	3.963474124	5.599912842	6.951867504	8.110091752	4.078951341	7.01234519	7.981852653	6.334496768	4.791814071	4.94016675	4.807354922	8.04220656	3.827819025	4.935459748	7.160879862	6.899659026	5.285402219	4.510961919	2.321928095	6.270528942	5.781359714	5.116863758
CERU	6.089582893	6.659639187	5.266786541	5.692092375	6.6395216	6.285402219	5.672425342	5.375039431	6.416164165	6.087462841	5.318316841	5.786596362	5.911691582	5.28169825	6.276124405	4.705977902	6.253611152	5.402585758	5.773468928	7.408542042	5.852997588	6.62058641	5.649615459	5.173926932	7.166916252	7.053111336	7.288173968	6.247927513	4.87774425	4.812498225	5.778734244	5.608809243	6.098032083	5.822730148	6.708739041	4.963474124	5.832890014	5.44625623	6.017921908	6.020146573	5.714245518	5.548436625	5.590961241	5.918863237	7.767522386	6.616181231	4.727920455	5.395748328	6.757556689	5.523561956	6.332707934	5.402585758	5.442943496	5.399171094	5.078951341	6.38024459	5.350497247	6.839203788	5.361066489	5.296457407	5.285402219	6.259272487	6.506208389	6.061776198	5.569855608	7.248876343	6.031218731	4.897240426	6.336283388	5.675251386	4.949534933	5.716990894	5.722466024	5.551516018	5.551516018	5.617651119	6.645298164	4.906890596	5.837943242	5.040015679	6.338067798	7.411087227	5.867896464	5.9795681	4.292781749	6.529820947	8.291400959	5.395748328	5.247927513	5.0	8.139039668	5.121015401	7.085339669	6.017921908	5.711494907	5.575917361	10.91206599	7.556122818	6.22881869	6.575917361	6.449561375	5.232660757	6.044394119	5.722466024	5.213347282	5.686500527	5.626439137	6.474111514
FA9	7.297374861	6.943686952	6.290940402	6.211401637	6.17990909	7.05202456	5.815063017	6.432959407	6.12722055	7.368069877	4.862947248	7.472487771	6.663913842	5.617651119	6.736063628	5.482202926	6.249824549	6.782670659	6.874059203	7.473299871	5.95419631	6.387155718	6.562242424	5.375039431	7.001126665	6.378511623	6.224966365	6.510961919	6.390598906	6.366322214	6.394033895	6.521992956	7.194756854	6.758889433	7.157852169	4.608809243	6.589463893	6.081083929	5.646738698	6.607330314	5.581953751	5.956521363	6.224966365	6.840463234	6.044394119	7.426264755	4.87282876	6.944858446	6.257387843	5.350497247	7.136478518	6.348728154	6.057450272	5.289096702	4.986410935	6.995484519	6.757556689	6.95070169	6.503030646	5.300123725	4.44625623	5.899659026	6.623515741	5.799605422	5.575917361	6.521992956	6.336283388	4.378511623	7.317412614	5.783980414	5.799605422	6.806066226	7.093813673	5.602884409	7.46515823	6.215290306	6.984133595	6.48058827	6.746850183	5.145677455	7.215290306	6.726558779	5.727920455	7.088523257	5.827819025	6.642412773	6.504620392	6.289096702	6.77478706	7.260213887	8.555739479	6.21916852	6.687900522	6.829088444	5.354028938	6.06608919	5.378511623	6.964629667	6.029011087	6.441284272	6.584962501	6.996614715	6.419538892	5.28169825	6.627898616	5.504620392	6.23457796	6.14974712
FA10	6.608809243	6.14974712	5.909293086	5.855491443	7.05202456	7.312882955	5.754887502	6.62935662	6.40599236	7.068240861	5.169925001	8.236492618	6.821455119	5.346956889	7.145677455	4.504620392	6.574404309	7.602142091	7.178913785	8.101187815	5.773468928	7.140574178	6.0	5.181897643	7.015693807	6.662490364	6.230741003	6.689299161	6.780047576	6.571373436	5.956521363	5.852997588	7.758223215	6.834154981	7.476543706	3.867896464	7.723831566	5.409390936	5.680886921	6.301953395	5.145677455	5.332707934	5.378511623	6.253611152	6.189824559	7.75087444	4.678071905	6.017921908	5.683696454	5.14974712	7.498250868	6.118941073	6.139551352	5.004501392	4.371558863	7.103287808	6.744161096	7.082149041	6.290940402	4.944858446	4.017921908	5.703211467	6.648177796	5.832890014	5.091699834	6.968090752	6.050936965	2.867896464	7.666046429	5.572889668	4.842978832	6.62058641	7.048759312	5.485426827	7.078951341	7.270528942	7.17292749	6.464341533	7.087462841	5.100136671	6.977279923	6.961160258	5.357552005	6.846744023	4.727920455	7.379378367	6.75087444	6.129283017	7.0725346	7.387155718	8.38024459	6.10433666	7.254556252	6.861707287	4.336283388	5.157852169	6.112700133	6.916476644	6.181897643	6.596935142	6.521992956	6.885086225	6.808642468	4.412781525	6.081083929	3.925999419	6.024585638	6.287250643
