	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
CO4A2	6.903279342	6.378511623	6.685245271	7.655351829	6.112700133	5.311067102	7.140574178	5.928370323	6.813781191	7.708049252	6.268209754	6.224966365	5.815063017	6.277984747	7.071462363	6.383022089	6.20841201	6.993221467	6.821455119	6.163059472	7.468420402	6.434628228	6.914086097	7.415117849	6.61176256	6.737416366	6.738767837	6.039488583	6.942514505	6.387898575	6.594202842	6.841721581	6.93191939	5.94016675	6.199561512	5.741466986	6.757556689	6.397460726	6.54225805	7.379378367	6.259272487	6.421223299	6.279842694	6.409390936	6.562242424	6.032496825	5.462706751	6.533831673	6.769507291	7.571373436	6.388878339	7.251719093	6.119620064	6.56767518	6.133399125	7.443772393	6.704626756	7.032553774	7.032321287	6.658211483	6.21511577	5.100136671	6.145677455	7.769507291	6.921245889	5.09592442	6.279842694	6.321928095	6.06608919	6.515699838	6.339850003	6.181897643	6.537606691	6.137503524	5.875288598	6.226893814	6.242221395	6.612045645	7.043300754	6.261727281	6.632268215	6.614709844	6.034964454	7.026800059	6.694880193	6.137503524	7.914684105	6.708466972	6.525129251	6.662490364	6.515699838	5.958842675	6.791814071	6.202066043	7.454504938	5.822730148	8.304237225	6.368069877	8.521207816	7.675957033	6.134528652	6.807250387
CO5A2	6.17990909	6.777419716	6.381975479	5.830356747	6.981852653	5.314696526	6.279842694	6.0	6.263034406	6.638073837	6.203592714	5.485426827	5.918863237	5.526694846	5.371558863	5.944858446	5.82527683	7.238404739	8.127736444	6.832890014	6.700439718	5.663913842	5.62935662	7.290940402	6.82527683	6.381975479	6.429615964	6.529820947	7.181897643	5.694880193	6.666756592	7.462706751	5.757556689	5.725195817	5.569855608	6.66106548	6.590961241	4.781359714	6.543805176	6.209453366	5.161887682	7.221103725	5.678071905	6.908092341	5.022367813	5.933100475	6.64096791	6.493455201	8.62497818	7.510170751	5.551516018	6.510961919	6.696272084	5.255500733	5.882643049	7.736063628	6.616181231	8.169423979	6.118941073	5.820178962	5.10433666	5.426264755	5.545350645	8.343851933	7.54689446	5.635173947	5.181897643	5.947198584	5.354028938	6.902073579	7.106432078	5.914086097	6.905687849	6.786596362	5.778734244	6.572889668	6.283551423	7.368942914	5.432959407	5.5360529	5.902073579	6.768184325	6.64385619	7.160879862	7.279842694	5.923624611	7.780047576	6.45779126	5.827819025	5.133399125	7.022367813	6.10433666	5.655351829	5.840463234	6.817623258	5.781359714	9.876977308	5.935459748	7.949534933	6.287250643	4.797012978	6.301953395
CO6A2	6.900866808	6.980710829	6.553053253	6.439623138	7.373300197	5.730639956	5.482202926	5.899659026	6.862947248	5.94016675	6.924812504	5.937815169	7.021257621	6.590961241	6.821455119	6.772149591	6.850499414	4.921245889	6.785288981	6.980710829	7.55228484	6.886306263	5.495055528	7.276124405	6.798309782	6.044394119	4.66106548	7.82527683	5.892391026	6.581953751	7.511752654	7.238404739	6.17990909	6.108524457	6.285402219	7.412781525	6.020146573	4.995484519	7.125155131	5.48864354	5.703211467	5.495055528	5.783980414	5.914086097	5.925999419	6.279842694	6.141596278	7.607330314	7.46760555	6.187846909	6.100136671	6.74281467	6.75087444	6.865423978	6.068240861	6.830356747	7.392317423	5.692092375	6.21916852	7.004501392	6.309248961	6.454504938	6.432959407	7.807998839	6.395748328	6.102238194	4.837943242	6.114783447	5.944858446	6.840463234	6.14363831	5.862947248	5.842978832	7.056366761	5.997744026	7.494255587	7.109569509	7.167919866	6.312882955	5.675251386	5.970393538	6.392317423	5.145677455	6.95070169	7.215290306	6.822730148	6.5360529	6.996614715	6.135452784	5.504620392	6.996614715	5.860466259	5.008988783	5.842978832	6.655351829	6.298291731	8.503428247	6.074676686	7.368069877	6.318316841	6.21916852	7.500642736
CO6A3	7.05202456	7.155830172	6.197708158	6.085339669	7.58044702	5.50779464	5.44625623	6.155830172	7.090641752	5.807354922	6.736063628	6.114783447	7.107478647	6.826548487	6.883865155	6.6794801	6.714245518	5.822730148	6.787902559	6.854245054	7.278914019	7.073606041	6.059614856	6.830356747	6.633721813	6.059614856	5.040015679	7.833522636	6.28169825	6.86913112	6.927185358	6.874059203	6.301953395	6.108524457	5.925999419	7.478971805	6.330916878	4.452858965	7.101187815	5.402585758	5.850499414	5.789207575	5.82527683	6.474111514	6.083213368	6.274261661	6.373300197	7.409390936	6.955359305	5.977279923	6.261154673	6.856736756	7.063934306	6.813781191	6.026800059	7.181897643	7.335390355	6.223036338	6.622051819	7.102238194	6.031218731	6.726558779	6.131342539	7.298291731	5.909293086	6.986410935	5.62935662	6.678071905	5.880195729	7.588714636	6.006746832	5.539158811	5.972692654	7.199672345	6.159871337	7.261154673	7.410239331	6.971543554	6.137503524	5.608809243	5.504620392	6.512542955	5.217230716	6.733354341	6.837943242	6.813781191	6.715618859	6.971543554	5.867896464	5.817623258	6.673839056	5.652486495	4.64385619	5.82527683	6.659639187	5.925999419	8.481395824	6.394033895	7.484621527	6.316507819	6.085339669	7.340740281
CTHR1	6.006746832	6.727920455	6.888743249	5.031218731	6.897240426	4.897240426	5.99095486	6.568336182	6.659639187	6.395748328	6.710117632	5.680886921	6.01346226	6.765534746	5.928370323	6.397460726	5.99095486	6.54225805	7.045486656	6.362820526	6.791814071	7.091699834	5.416164165	7.976707312	6.832890014	7.817623258	7.007868243	6.968090752	6.327328083	6.556122818	7.265849421	6.528258743	5.669593751	6.442943496	7.388017285	6.803485376	6.470862199	6.630813152	6.682292371	6.357552005	6.033423002	7.156841525	6.62497818	6.407692649	5.669593751	6.123086751	5.95419631	7.206526016	8.247452865	7.706668682	7.416164165	6.106432078	7.137859233	6.462706751	6.316507819	7.206526016	7.590961241	7.099084761	5.968090752	7.361943774	6.648177796	6.061776198	6.294620749	6.722466024	6.811214118	6.236492618	6.880195729	6.761551232	6.622051819	6.988684687	6.740118043	6.287250643	8.09592442	6.037821465	6.82527683	6.361066489	6.551516018	6.933100475	6.551516018	6.575917361	7.084276911	6.817623258	6.86913112	7.108524457	7.077883864	6.14974712	8.143128073	5.942514505	6.642412773	6.131342539	6.943686952	6.477353527	6.298291731	6.665335917	6.211401637	6.738767837	6.689299161	7.548436625	7.247927513	6.632268215	6.429615964	7.063934306
C1QA	7.067165427	6.772149591	6.529820947	6.557655155	5.632268215	6.10433666	6.820178962	7.099084761	7.062855655	6.962317655	7.298291731	6.61176256	6.290940402	7.204571144	5.485426827	7.107478647	5.318316841	6.994353437	8.256444596	5.83541884	7.452858965	6.578938713	6.761551232	6.404290064	6.157852169	6.029011087	7.034523875	6.157852169	7.267723052	7.34251919	6.795715007	6.714245518	7.144658243	7.12722055	7.04220656	6.300123725	6.125155131	6.994353437	7.21042783	8.016251155	6.701826258	6.137503524	7.145677455	5.402585758	6.54225805	5.678071905	6.257387843	6.666756592	5.181897643	7.205548911	6.283551423	6.865423978	6.112700133	5.266786541	6.64385619	6.230741003	7.037821465	6.259272487	6.671010241	7.23457796	6.614709844	7.251719093	7.026800059	6.161887682	6.311067102	6.076815597	6.785288981	5.865423978	6.630813152	6.21916852	6.091699834	7.00337736	7.43629512	5.722466024	7.710806434	6.255500733	7.809928866	7.032321287	6.366322214	5.942514505	9.329796338	6.8899602	6.272396509	5.371558863	5.916476644	6.845490051	6.017921908	6.616181231	7.187846909	6.693486957	6.211401637	4.626439137	7.615445725	6.289096702	6.296457407	6.673839056	7.098032083	5.332707934	5.961160258	6.332707934	6.881419908	5.944858446
C1QB	6.892391026	6.783980414	6.543805176	6.5360529	6.083213368	5.963474124	6.560714954	7.144658243	7.728600811	7.189824559	7.317412614	6.655351829	6.23457796	7.287250643	4.857980995	6.899659026	4.930737338	7.257387843	8.495855027	5.897240426	7.441284272	6.490249211	6.699051844	6.721099189	6.191799501	5.432959407	7.178913785	5.852997588	7.311067102	6.985272714	6.76420813	6.966937979	7.093813673	6.937815169	6.6043679	6.307428525	6.191799501	7.292781749	7.185866545	8.362820526	6.839203788	6.587964989	6.951867504	4.791814071	6.434628228	4.817623258	6.501439145	6.595443985	5.057450272	7.368942914	6.300123725	6.75087444	5.997744026	4.847996907	6.961160258	6.381975479	6.925999419	6.571373436	6.75087444	6.906890596	6.388878339	7.070389328	6.882643049	6.656782364	6.422905743	6.112700133	6.723831566	6.063934306	6.708739041	6.289096702	5.904484098	7.118941073	7.701826258	4.857980995	7.690696444	6.397460726	7.837312556	7.081083929	6.369815424	5.54225805	9.267957084	7.099084761	6.0	5.078951341	6.03562391	6.656782364	5.638073837	6.571373436	7.364572432	6.316507819	6.350497247	3.584962501	7.527477006	6.485426827	6.006746832	6.694880193	6.963474124	5.605849867	5.986410935	5.554588852	6.369815424	5.773468928
C1QC	6.897240426	6.841721581	7.310158318	6.496654083	5.860466259	5.95419631	6.477353527	7.174925683	6.83541884	7.203592714	6.929554316	6.704595348	6.153805336	7.001126665	5.213347282	6.799605422	4.916476644	7.185866545	8.009548727	6.613236955	7.011227255	6.803485376	6.766860144	6.719731057	6.217230716	7.06608919	7.076815597	5.791814071	7.307428525	6.707359132	7.631540867	6.439623138	6.9795681	6.787902559	6.361066489	6.081083929	6.068240861	7.441284272	6.943686952	8.252665432	6.836681593	6.294620749	6.672425342	5.169925001	6.325530332	5.993221467	6.10433666	6.249824549	4.944858446	7.332707934	6.422905743	6.914086097	5.965784285	5.251719093	6.962317655	6.605849867	7.111657346	6.632268215	6.646738698	6.874059203	6.482202926	6.897240426	6.906890596	6.213347282	6.392317423	6.10433666	6.529820947	5.937815169	6.251719093	6.083213368	6.137503524	6.98982022	7.438791853	5.478971805	7.324630615	6.287250643	7.714245518	6.917670434	6.12722055	5.64096791	9.190812368	6.953032377	6.125155131	5.311067102	6.061776198	6.811214118	6.169925001	6.646738698	7.180903709	6.528258743	6.167919866	4.185866545	7.437960088	6.883865155	6.0725346	6.595443985	6.64385619	5.752213368	5.746850183	5.587964989	6.321928095	6.40599236
C1R	7.074676686	6.760220946	6.033423002	5.669593751	6.294620749	7.332707934	6.205548911	6.911691582	5.860466259	5.44625623	7.159871337	5.419538892	6.498250868	6.529820947	5.988684687	7.354028938	5.807354922	4.842978832	7.223036338	7.099084761	7.897240426	6.769507291	6.383704292	7.938403424	6.635173947	5.03562391	5.429615964	7.601399391	5.781359714	7.302867361	6.646738698	6.754887502	6.648177796	6.830356747	6.002252452	7.057450272	6.044394119	6.383704292	7.045486656	5.422905743	6.201633861	4.255500733	6.346956889	7.224001674	6.806066226	5.452858965	6.345183447	6.191799501	5.54225805	6.264911693	6.341630009	6.325530332	5.933100475	5.749534268	6.177917792	5.997744026	7.665335917	5.692092375	6.54225805	6.727920455	6.61176256	6.722466024	6.610286657	8.152791852	5.296457407	6.244125943	7.016808288	6.553053253	6.137503524	6.272396509	6.422905743	5.768184325	5.429615964	6.537606691	6.94016675	6.482202926	6.708739041	7.014578465	5.683696454	6.209453366	4.578938713	6.334496768	7.605109074	5.738767837	6.627898616	6.03562391	5.95419631	6.95070169	6.059614856	6.394033895	7.0725346	6.050936965	5.965784285	6.14363831	6.238404739	6.861707287	6.093813673	6.137503524	6.311067102	5.285402219	6.207502459	5.981852653
C1S	7.189824559	6.725195817	5.689299161	5.61176256	6.290940402	7.68580002	5.916476644	6.811214118	7.00337736	5.303780748	7.317412614	5.776103988	6.543805176	6.725195817	5.942514505	7.347842794	5.885086225	4.700439718	7.39145842	7.185866545	7.963474124	6.596935142	6.121015401	7.078951341	6.48864354	5.255500733	5.700439718	7.738767837	5.584962501	7.50779464	6.539158811	6.5360529	6.686500527	6.680886921	5.845490051	7.203592714	6.159871337	6.369815424	6.9795681	5.087462841	6.509379149	4.240314329	6.345183447	7.098032083	6.772149591	4.498250868	6.421223299	6.744161096	4.765534746	6.327328083	6.145677455	6.151777655	5.311067102	5.852997588	6.279842694	5.923624611	7.649615459	4.638073837	6.745506266	6.760220946	6.719731057	6.730639956	6.605849867	7.569096095	5.004501392	6.167919866	7.133399125	7.083213368	6.199672345	6.048759312	6.6043679	5.885086225	5.762880293	6.675251386	6.787902559	6.595443985	6.581953751	7.335390355	5.669593751	6.320123598	5.03562391	6.040015679	6.897240426	5.646738698	6.346956889	6.114783447	5.802193217	6.593951284	6.369815424	6.601399391	7.343407822	4.817623258	5.802193217	5.765534746	5.981852653	7.06501215	6.03562391	6.004501392	6.074676686	5.532940288	6.613236955	6.159871337
CO2	6.503030646	6.483815777	6.741466986	4.666756592	5.596935142	7.485426827	7.873444113	6.99095486	7.443772393	6.253611152	7.526694846	6.089582893	6.722466024	7.410239331	6.627898616	7.251719093	6.806066226	5.303780748	6.964629667	5.984133595	6.419538892	6.897240426	7.372429792	5.860466259	6.610286657	4.452858965	5.949534933	7.164906927	6.048759312	6.881419908	6.816343705	6.64096791	5.804776378	7.183883459	6.882643049	6.566815154	6.070389328	6.452858965	6.211401637	6.108524457	6.652486495	5.902073579	6.723831566	5.303780748	7.161887682	6.48703608	6.490249211	7.569855608	5.10433666	6.934280594	6.770829046	6.714245518	6.929554316	7.599912842	6.627898616	6.817623258	6.803485376	4.672425342	7.246027981	7.230741003	7.122051448	7.216260837	6.352264173	6.394033895	5.572889668	7.492654371	7.76884596	7.504620392	6.432959407	6.587964989	6.364572432	6.321928095	7.456970381	6.017921908	7.63008507	6.569855608	6.54225805	6.424586226	6.191799501	6.548436625	5.95419631	6.14363831	5.783980414	5.694880193	6.332707934	6.346956889	3.40599236	6.336283388	6.974988112	6.687900522	6.545350645	7.11997861	7.64385619	6.493455201	6.294620749	5.87036472	5.885086225	6.334496768	6.632268215	6.081083929	7.108524457	6.135452784
