	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
HEMO	7.38024459	5.786596362	7.672425342	4.193771743	6.274261661	7.273329387	8.523169866	5.504620392	5.62058641	7.045486656	6.659639187	4.5360529	7.257387843	7.091699834	6.068240861	6.960001932	6.217230716	7.383704292	6.185866545	6.392317423	5.930737338	5.930737338	6.77478706	6.301953395	6.482202926	6.955359305	6.663913842	6.826548487	5.768184325	6.441284272	6.469234794	6.076815597	5.311067102	6.74281467	5.820178962	5.968090752	5.845490051	6.419538892	5.716990894	5.01346226	5.053111336	6.163901214	6.390598906	6.137503524	7.026800059	6.339850003	6.081083929	6.531381461	7.011227255	7.089582893	6.004501392	5.587964989	6.404290064	7.30103885	6.581953751	6.74819285	5.981852653	6.421223299	6.253611152	6.0	5.392317423	7.566815154	6.050936965	6.510961919	7.622051819	6.329123596	7.537606691	7.145677455	5.911691582	5.9795681	6.223036338	4.977279923	7.503030646	6.461070114	7.700439718	6.721099189	6.06608919	6.131342539	5.426264755	5.885086225	3.935459748	7.379378367	7.674545394	7.284477118	6.924812504	5.426264755	5.697662633	5.708739041	7.634448062	5.482202926	7.074676686	7.988116585	6.287250643	5.385431037	5.832890014	5.378511623	4.66106548	5.439623138	6.427941333	5.017921908	5.669593751	5.725195817
HEP2	7.451211112	7.399171094	5.061776198	5.274261661	6.74281467	5.914086097	6.240314329	6.185866545	6.921245889	5.719731057	7.113742166	6.556122818	6.777419716	7.284477118	6.296457407	6.87036472	6.595443985	5.354028938	6.414473836	6.669593751	7.021257621	6.399171094	6.089582893	6.718361626	7.010108453	5.053111336	7.226893814	7.089582893	5.569855608	6.830356747	5.083213368	7.04220656	5.678071905	8.134939643	5.469234794	6.965784285	6.568336182	6.171927354	6.836681593	4.426264755	5.617651119	4.683696454	6.783980414	6.808642468	7.454504938	6.274261661	7.089582893	7.187846909	5.213347282	6.230741003	6.694880193	6.076815597	7.328226119	7.448735798	7.882031608	5.66106548	6.549977143	4.364572432	6.173926932	6.908092341	6.465974465	6.62497818	6.312882955	7.524345816	5.733354341	6.437960088	6.589463893	6.944858446	6.560714954	6.402585758	6.850499414	4.66106548	4.727920455	7.309248961	7.539158811	6.545350645	6.887525271	6.87897051	5.54225805	6.373300197	5.768184325	5.711494907	6.244125943	5.968090752	6.157852169	6.45779126	6.059614856	6.369815424	5.100136671	6.840463234	6.490249211	6.334496768	5.867896464	5.368069877	6.441284272	6.263034406	6.04220656	5.857980995	6.429615964	5.572889668	6.388878339	5.711494907
HGF	6.772149591	7.106432078	5.997744026	7.870981124	6.832890014	5.680886921	5.532940288	6.525129251	5.8899602	7.809928866	6.48864354	5.760220946	7.086401646	5.852997588	6.808642468	6.509379149	7.673839056	6.554588852	6.892391026	6.366322214	6.672425342	7.616916363	5.902073579	6.361066489	5.64385619	6.238404739	6.711494907	6.369815424	7.01346226	6.451211112	6.171927354	7.413627929	6.776103988	5.703211467	7.044394119	7.258330473	7.364572432	5.972692654	6.123086751	6.886306263	6.798309782	6.697662633	7.574404309	6.793115555	5.911691582	6.026800059	5.675251386	6.093813673	6.298291731	8.371994393	7.129283017	6.141596278	6.798309782	6.368069877	5.137503524	6.887525271	6.22881869	8.121015401	6.482202926	5.949534933	5.899659026	6.390598906	6.022367813	6.76420813	7.036723106	5.736063628	5.937815169	5.584962501	6.741466986	6.944858446	6.968090752	7.01346226	6.334496768	6.098032083	5.705977902	7.407692649	7.765534746	6.183883459	6.777419716	6.856736756	6.837943242	6.0	4.596935142	7.089582893	6.746850183	6.622051819	7.528258743	6.683696454	6.592457037	5.965784285	6.730639956	4.145677455	6.057450272	6.638073837	6.62058641	6.891176125	6.165911939	6.894817763	5.605849867	6.86913112	6.548436625	6.842978832
HDGF	6.373300197	6.501439145	6.574404309	6.678071905	6.215290306	4.371558863	6.62058641	6.539158811	6.523561956	7.283551423	6.059614856	6.687900522	5.87282876	6.537606691	6.493455201	6.411087227	6.459431619	7.442114122	6.057450272	4.817623258	6.118941073	6.504620392	6.147713722	7.356672044	5.786596362	7.588714636	6.817623258	5.10433666	7.126188211	6.985272714	6.540709263	6.578938713	6.226893814	5.62058641	6.986410935	5.82527683	6.055282436	6.565292521	5.770829046	8.028458647	6.548436625	7.448735798	6.857980995	6.61176256	5.402585758	7.882643049	7.139551352	6.867896464	7.269594252	6.812498225	6.942514505	6.298291731	6.469234794	6.662490364	6.87897051	6.531381461	6.106432078	4.925999419	5.988684687	6.404290064	6.851749041	6.854245054	6.044394119	6.411087227	7.361943774	7.01234519	5.921245889	5.916476644	6.454504938	6.958842675	5.956521363	7.061776198	7.086401646	6.665335917	6.338067798	5.923624611	6.068240861	5.626439137	7.086401646	6.089582893	6.758889433	6.935459748	6.175923742	7.046578367	6.491853096	5.840463234	7.150762744	6.549977143	6.662490364	6.871597266	6.839203788	5.554588852	7.155830172	6.886306263	5.842978832	6.006746832	5.951867504	6.412781525	6.656782364	7.341630009	6.623515741	6.083213368
HDGR2	6.885086225	6.14974712	6.591342676	7.769507291	6.247927513	4.711494907	5.491853096	6.076815597	6.270528942	7.635899466	6.213347282	6.223036338	6.357761723	6.948367232	6.432959407	5.860466259	6.742240698	7.106432078	6.686500527	6.471564613	6.459431619	6.307428525	6.899659026	6.368615978	6.199672345	7.23457796	7.273839954	5.339850003	6.845490051	6.04220656	6.784106894	7.350497247	6.627898616	6.153805336	7.03562391	6.053111336	6.756466861	6.06608919	6.94016675	7.908692838	7.011227255	7.479780264	6.307428525	6.520354207	5.412781525	7.748863715	6.359310317	6.692092375	6.973315975	6.085339669	6.442943496	6.345183447	6.399171094	6.429409042	7.388017285	6.068240861	6.837249954	7.561478892	6.387155718	6.272396509	6.414473836	6.033593675	6.135452784	6.479186902	7.776762002	5.970393538	5.329123596	5.456149035	6.485426827	7.059614856	5.498250868	6.711494907	6.95419631	6.017921908	5.62058641	6.589463893	6.462706751	6.530678521	6.672425342	6.506208389	7.261154673	6.830761796	5.684808968	6.472497683	6.710275934	6.35588893	6.820105086	6.294362012	6.864186145	6.06608919	6.169936081	6.555232525	6.54689446	6.316348164	5.605849867	6.423212743	6.283551423	6.598424761	6.175923742	6.781359714	5.852997588	6.250259925
HDGR3	6.348728154	6.64385619	7.017921908	7.919459269	6.622051819	4.385431037	6.108524457	6.676662335	6.697662633	7.736063628	5.520422249	7.361066489	6.51412226	6.153805336	6.341630009	6.62935662	6.6794801	7.365447589	5.867896464	5.862947248	5.993221467	6.651051691	5.692092375	6.721099189	5.762880293	7.403438163	7.443772393	6.078951341	7.453682186	6.12722055	7.195741293	6.745506266	6.385431037	5.727920455	7.498250868	6.209453366	7.610286657	6.548436625	6.62935662	7.952450058	6.551516018	8.310612782	6.569855608	6.592457037	5.66106548	7.737416366	7.487840034	6.432959407	7.521992956	7.635899466	7.11997861	5.956521363	7.355791547	6.213347282	5.909293086	6.864186145	6.12722055	8.292781749	6.803485376	6.961160258	6.483815777	6.201633861	6.50779464	7.002252452	7.566815154	7.21916852	6.006746832	6.593951284	6.949534933	7.05853297	6.116863758	7.269594252	7.255500733	6.726558779	5.725195817	6.58345891	6.485426827	6.022367813	6.984133595	7.044394119	7.712870868	6.449561375	5.850499414	7.203592714	6.368069877	6.590961241	7.192785959	6.397460726	6.566815154	6.969242604	7.138527801	5.602884409	7.05202456	6.66106548	6.318316841	6.589463893	5.708739041	6.995484519	7.124121312	7.255500733	6.336283388	6.730639956
HRG	7.83541884	6.51412226	6.566815154	5.797012978	5.517275693	6.937815169	7.712870868	6.244125943	6.277984747	5.958842675	6.914086097	4.916476644	6.474111514	7.540709263	5.963474124	7.099084761	5.599912842	7.174925683	7.117902789	6.607330314	7.372429792	6.357552005	6.029011087	6.554588852	7.920650595	6.424586226	5.822730148	6.589463893	5.885086225	6.100136671	5.852997588	6.598424761	5.189824559	6.496654083	5.626439137	6.371558863	6.167919866	6.224966365	6.185866545	5.311067102	5.169925001	6.409390936	5.930737338	6.589463893	6.824004051	5.529820947	6.441284272	6.364572432	6.867896464	6.400879436	5.797012978	5.947198584	6.87282876	6.387155718	6.451211112	7.206526016	7.20261362	6.294620749	6.509379149	5.54225805	5.683696454	6.891176125	5.623515741	7.441284272	6.82527683	5.972692654	6.957682486	6.87897051	6.011227255	6.037821465	7.093813673	5.395748328	7.124121312	7.482202926	7.718361626	6.662490364	6.517275693	6.341630009	5.749534268	5.906890596	5.251719093	7.378511623	6.407692649	6.553053253	6.509379149	5.325530332	6.373300197	6.381975479	6.719731057	5.517275693	5.914086097	7.482202926	6.272396509	5.885086225	6.366322214	5.716990894	5.449561375	5.251719093	6.011227255	5.217230716	6.008988783	5.672425342
IGHA2	8.187846909	5.48864354	8.186361891	4.177917792	5.133399125	9.580258567	7.081083929	6.442943496	5.439623138	4.95419631	7.64096791	3.419538892	6.892391026	5.274261661	6.089582893	6.517275693	5.860466259	5.325530332	5.815063017	6.837943242	5.820178962	6.287250643	7.909293086	7.191799501	6.710117632	7.175923742	6.526694846	6.545350645	6.171927354	6.663913842	6.296457407	6.434628228	6.155830172	6.447909749	5.82527683	6.627898616	6.92243574	6.318316841	6.0	4.977279923	6.112700133	5.236492618	6.562242424	7.04220656	8.349170631	6.125155131	5.741466986	4.972692654	6.316507819	5.887525271	6.596935142	6.061776198	6.92243574	6.66106548	6.62935662	6.339850003	6.369815424	5.472487771	7.102238194	5.51412226	5.852997588	7.505414609	6.404290064	6.416164165	6.244125943	6.199672345	6.813781191	6.057450272	5.469234794	5.314696526	6.387155718	5.744161096	7.541483864	6.087462841	6.636624621	6.031218731	6.376776572	7.224001674	5.429615964	6.663913842	4.343407822	7.328226119	8.795390331	7.029011087	6.992088609	5.277984747	5.857980995	6.199672345	8.169925001	5.074676686	6.135452784	8.415319248	6.04220656	6.6043679	6.73470962	6.183883459	5.733354341	5.867896464	6.87774425	3.963474124	7.137503524	5.569855608
IGHD	6.421223299	5.270528942	7.417008587	5.321928095	5.357552005	9.336283388	7.282625134	5.551516018	5.885086225	5.478971805	7.386293635	1.722466024	6.881419908	4.87774425	6.276124405	7.142617655	5.781359714	4.832890014	6.091699834	7.296457407	6.266786541	6.371558863	8.299665944	7.719046504	5.485426827	7.307428525	5.82527683	5.566815154	7.272396509	6.586464526	6.50779464	6.375039431	5.832890014	6.345183447	6.236492618	6.782670659	6.927185358	6.892391026	6.325530332	5.177917792	6.008988783	5.652486495	6.209453366	6.680886921	8.461070114	6.427941333	6.376776572	4.862947248	6.373300197	5.314696526	6.711494907	5.62058641	6.74281467	6.296457407	6.318316841	6.769507291	6.46760555	5.343407822	6.074676686	4.008988783	5.247927513	7.194756854	6.242221395	6.762880293	6.798309782	5.812498225	6.490249211	6.330916878	5.510961919	5.711494907	5.768184325	5.197708158	7.296457407	6.226893814	6.700439718	5.655351829	7.146695948	7.049848549	6.23457796	6.992088609	5.733354341	7.647458426	8.821136186	6.517275693	6.821455119	5.485426827	6.348728154	6.137503524	7.793765857	4.277984747	6.974988112	8.150255021	6.642412773	5.50779464	6.780047576	5.937815169	5.520422249	5.388878339	6.417852515	4.224966365	5.385431037	5.255500733
IGHG2	7.289096702	6.137503524	7.960581211	4.307428525	5.587964989	8.617283788	7.767522386	6.626439137	5.757556689	6.682292371	7.114783447	4.902073579	7.525129251	6.355791547	5.675251386	6.602884409	6.108524457	7.048759312	6.375039431	7.388878339	6.185866545	6.100136671	7.087462841	7.189824559	6.923624611	6.64385619	6.862947248	6.712870868	6.247927513	5.894817763	6.916476644	5.649615459	5.388878339	6.447909749	6.081083929	6.336283388	6.006746832	6.906890596	6.255500733	5.746850183	5.314696526	6.426264755	5.942514505	6.697662633	7.002252452	5.95419631	6.244125943	6.894817763	6.456149035	7.397460726	6.749534268	6.17990909	6.799605422	6.183883459	7.292781749	6.553053253	6.656782364	6.114783447	6.554588852	5.882643049	5.714245518	6.9795681	6.632268215	6.829088444	6.855491443	6.829088444	7.271463028	6.571373436	5.937815169	5.329123596	6.272396509	5.617651119	7.237448996	6.509379149	7.099084761	6.729280846	6.112700133	7.019034669	5.933100475	5.942514505	5.09592442	7.813139851	8.092228584	7.186857067	6.803485376	5.074676686	5.850499414	6.251719093	7.249824549	5.557655155	7.098032083	8.250772132	6.729280846	6.43629512	6.089582893	5.791814071	5.485426827	5.44625623	7.025693274	5.048759312	6.287250643	5.626439137
IGHG3	6.61176256	6.773468928	7.443772393	4.217230716	6.671010241	8.652127928	8.070389328	5.165911939	5.944858446	6.108524457	7.096978636	4.09592442	7.983563697	5.669593751	5.714245518	6.882643049	6.06608919	6.696272084	5.649615459	7.923030298	6.334496768	6.503030646	7.582706527	6.897240426	6.311067102	6.666756592	6.780047576	6.73470962	6.121015401	6.249824549	6.539158811	5.925999419	5.078951341	6.399171094	5.714245518	5.189824559	6.523561956	6.521992956	6.40599236	5.791814071	5.638073837	6.860466259	5.608809243	7.121015401	7.379378367	7.187846909	5.902073579	5.432959407	7.427103287	6.422905743	5.906890596	6.114783447	6.780047576	6.944858446	6.5360529	7.145677455	6.224966365	6.217230716	6.754887502	6.465974465	5.655351829	8.04384754	5.911691582	6.100136671	7.238404739	6.063934306	7.62058641	6.48058827	4.882643049	5.141596278	6.551516018	5.378511623	7.346070441	6.617651119	7.106432078	5.815063017	7.160879862	6.806066226	5.61176256	6.078951341	5.01346226	7.834154981	7.48703608	7.312882955	6.793115555	4.498250868	6.011227255	5.336283388	8.164404158	4.916476644	7.176921112	8.920948272	6.517275693	6.38024459	7.444600814	6.181897643	5.593951284	5.64385619	7.069315495	5.100136671	5.655351829	5.43629512
IGHG4	6.368069877	6.462706751	7.560714954	4.419538892	6.181897643	9.477758266	7.693486957	5.956521363	6.053111336	5.752213368	7.413627929	5.087462841	7.183883459	6.327328083	5.830356747	6.366322214	5.904484098	7.330020516	5.809928866	7.170926525	6.274261661	6.575917361	6.928370323	6.515699838	7.287250643	6.6395216	7.074676686	6.008988783	5.350497247	5.738767837	6.598424761	6.207502459	6.141596278	5.754887502	5.307428525	5.812498225	5.498250868	6.078951341	5.968090752	6.159871337	6.444600814	6.687900522	5.350497247	6.477353527	7.38024459	6.263034406	6.589463893	5.911691582	6.520422249	5.812498225	5.554588852	5.031218731	6.802193217	6.242221395	6.38024459	6.636624621	6.636624621	6.274261661	6.766860144	5.916476644	6.431288654	7.562242424	5.666756592	6.076815597	6.578938713	6.161887682	7.03562391	6.539158811	5.244125943	5.906890596	6.687900522	5.760220946	7.563768278	6.145677455	6.850499414	6.623515741	6.98982022	7.348728154	5.153805336	5.332707934	6.048759312	7.800252806	8.432959407	7.027905997	6.762880293	5.44625623	5.87774425	6.070389328	7.442943496	4.485426827	6.44625623	8.328226119	6.652486495	6.592457037	6.509379149	5.539158811	6.157852169	5.692092375	6.311067102	4.911691582	5.181897643	5.311067102
IGKC	7.240314329	5.984133595	8.010667963	4.177917792	5.569855608	9.577806447	8.163398094	4.472487771	3.765534746	5.899659026	7.146695948	2.887525271	6.562242424	6.619119511	5.599912842	7.041111535	4.554588852	4.705977902	5.99095486	6.037821465	6.38024459	4.62058641	9.358431429	6.412781525	5.593951284	5.523561956	7.924812504	6.400879436	6.726558779	6.112700133	6.503030646	5.64096791	4.626439137	5.270528942	5.48864354	6.955359305	4.336283388	5.911691582	6.850499414	5.266786541	4.426264755	5.686500527	5.083213368	8.203592714	6.83541884	5.875288598	6.141596278	5.804776378	7.173926932	6.537606691	6.472487771	5.10433666	6.309248961	4.852997588	8.315602457	6.369815424	6.197708158	6.316507819	5.452858965	5.66106548	5.429615964	8.54341855	5.526694846	5.933100475	7.217230716	7.05202456	7.044394119	6.133399125	5.921245889	5.09592442	4.738767837	4.153805336	7.814422247	6.995484519	6.666756592	5.649615459	7.382840144	7.682292371	5.569855608	5.133399125	4.857980995	6.181897643	6.840463234	6.078951341	5.026800059	4.385431037	6.04220656	5.722466024	7.592457037	4.399171094	8.272863023	8.033423002	6.822730148	6.338067798	6.924812504	4.224966365	5.017921908	5.100136671	8.05853297	5.581953751	6.147713722	5.617651119
IGLC2	7.388017285	6.157852169	7.74348804	4.749534268	5.961160258	8.846117173	7.757556689	6.173926932	6.081083929	6.449561375	7.123086751	4.968090752	7.563768278	6.287250643	5.694880193	6.307428525	5.50779464	6.846744023	6.246027981	7.578938713	5.82527683	6.325530332	7.38024459	7.456970381	6.703211467	6.862947248	6.891176125	6.708739041	6.309248961	5.916476644	6.610286657	6.261154673	5.791814071	6.296457407	5.951867504	6.272396509	6.361066489	6.587964989	6.290940402	6.283551423	5.587964989	6.510961919	5.933100475	7.155830172	6.981852653	6.236492618	6.560714954	6.672425342	6.400879436	6.904484098	6.506208389	6.169925001	6.571373436	6.345183447	6.864186145	6.837943242	6.6043679	6.584962501	6.648177796	5.752213368	5.797012978	7.019034669	6.187846909	6.469234794	6.778734244	6.554588852	7.132371199	6.357552005	5.596935142	5.548436625	6.371558863	5.449561375	7.419538892	6.318316841	6.795715007	6.394033895	6.417852515	7.046578367	5.459431619	5.847996907	5.057450272	7.554588852	8.011227255	6.986410935	6.820178962	5.321928095	6.300123725	6.163901214	7.523561956	5.263034406	6.82527683	8.230741003	6.648177796	6.411087227	6.345183447	5.566815154	5.652486495	5.491853096	6.696272084	4.887525271	6.426264755	5.658211483
IGLC7	6.432959407	6.676662335	6.387155718	2.867896464	5.87036472	9.171677212	7.390598906	6.64096791	6.276124405	5.899659026	7.925406083	4.217230716	6.86913112	5.770829046	5.783980414	6.459431619	5.169925001	6.707359132	6.167919866	5.923624611	7.323730338	5.311067102	6.496654083	8.435461914	5.329123596	5.54225805	7.164906927	4.930737338	6.108524457	4.711494907	5.545350645	5.563768278	5.145677455	5.921245889	5.205548911	5.66106548	6.055282436	6.076815597	4.802193217	6.593951284	5.375039431	4.672425342	6.17990909	5.850499414	7.137503524	6.230741003	6.419538892	6.089582893	5.842978832	7.366322214	6.209453366	6.21916852	6.263034406	5.807354922	7.482202926	5.963474124	7.0	5.364572432	4.66106548	4.292781749	6.727920455	7.566054038	6.155830172	6.994353437	5.385431037	5.251719093	5.899659026	7.06608919	5.658211483	5.87774425	5.951867504	4.44625623	7.140574178	5.623515741	5.078951341	7.87774425	6.167919866	7.616181231	4.694880193	3.87774425	4.689299161	8.238882374	6.525129251	7.532940288	5.529820947	5.336283388	5.575917361	5.930737338	8.902977996	3.765534746	6.447909749	7.843607046	5.247927513	6.215290306	5.981852653	5.5360529	5.165911939	3.608809243	6.057450272	7.094869433	3.817623258	5.909293086
IGHM	5.617651119	6.599912842	6.766860144	5.181897643	5.307428525	6.963474124	6.102238194	6.287250643	5.804776378	5.757556689	5.809928866	5.465974465	7.139551352	5.289096702	6.102238194	6.491853096	5.744161096	6.244125943	6.332707934	8.096978636	5.855491443	5.529820947	6.924812504	9.339181934	6.87282876	5.820178962	6.207502459	5.623515741	5.263034406	6.726558779	5.9795681	5.551516018	7.299208018	6.6794801	4.765534746	7.361943774	7.432124273	5.318316841	6.135452784	7.732676223	5.321928095	6.169925001	6.587964989	7.414473836	8.555739479	5.087462841	7.372429792	5.705977902	6.92243574	6.464341533	6.033423002	7.62497818	4.44625623	6.357552005	6.464341533	8.695576306	7.196725061	5.626439137	5.832890014	4.678071905	6.887525271	6.953032377	7.133399125	5.714245518	7.616916363	5.638073837	6.836681593	5.605849867	4.112700133	4.925999419	5.419538892	4.87774425	7.361943774	5.157852169	5.057450272	6.378511623	6.223036338	6.108524457	4.837943242	6.551516018	5.765534746	8.369815424	7.114783447	6.978424465	7.985272714	7.226893814	6.008988783	7.417852515	6.318316841	4.201633861	6.592457037	5.48864354	5.409390936	6.444600814	8.341185214	6.744161096	6.279842694	5.129283017	5.572889668	4.465974465	5.161887682	5.247927513
FCGBP	6.240314329	5.201633861	6.207502459	4.716990894	5.744161096	5.121015401	6.966937979	6.799605422	5.057450272	10.42195961	6.587964989	5.321928095	5.862947248	5.485426827	6.865423978	5.193771743	6.642412773	5.942514505	6.28169825	5.125155131	6.831623937	7.607330314	9.3369528	6.921245889	7.121015401	9.21916852	7.010108453	5.091699834	4.911691582	6.955359305	6.053111336	6.596935142	7.677367292	6.263034406	7.242221395	5.321928095	5.697662633	5.285402219	5.921245889	5.0	8.102763097	4.944858446	7.900263044	6.255500733	6.557655155	4.949534933	5.332707934	5.217230716	5.181897643	6.390598906	5.719731057	6.976134473	4.350497247	5.026800059	6.76420813	4.791814071	5.840463234	5.43629512	7.361943774	6.118941073	6.033423002	6.529820947	6.951867504	6.201633861	7.180903709	5.442943496	6.272396509	5.224966365	6.366322214	6.131342539	5.741466986	4.911691582	6.314696526	5.970393538	6.078951341	5.714245518	5.847996907	5.981852653	7.787249608	7.529040056	5.678071905	6.383704292	5.694880193	6.350497247	6.925999419	4.64385619	7.936637939	7.599912842	5.778734244	6.157852169	5.51412226	6.354028938	7.984703267	6.61176256	6.841721581	4.935459748	7.43629512	6.175923742	5.244125943	5.666756592	5.141596278	6.651051691
HV102	7.014578465	6.046578367	8.238404739	4.255500733	5.770829046	8.819859747	7.854245054	6.518849829	6.057450272	6.114783447	7.329123596	4.705977902	7.6043679	5.923624611	6.296457407	6.799605422	6.613236955	7.817623258	5.346956889	7.62497818	6.024585638	6.183883459	7.758223215	7.598424761	6.626439137	6.730639956	7.338959175	6.526694846	5.526694846	5.768184325	6.972692654	5.409390936	5.708739041	6.0	5.760220946	6.125155131	5.944858446	6.626439137	5.669593751	6.006746832	5.232660757	6.840463234	6.574404309	6.613236955	7.615445725	6.157852169	5.623515741	6.482202926	6.339850003	6.715618859	6.795715007	5.181897643	6.855491443	6.521992956	7.309248961	6.400879436	6.898450233	6.74819285	6.102238194	5.491853096	5.422905743	7.244125943	6.46760555	6.865423978	4.638073837	6.61176256	7.129283017	6.323730338	5.197708158	3.336283388	6.66106548	5.551516018	7.612499946	6.626439137	7.117902789	6.276124405	6.323730338	7.403438163	5.566815154	5.692092375	5.048759312	7.739443098	8.730300298	7.563005553	7.152791852	6.357552005	5.700439718	6.680886921	7.372429792	4.807354922	7.563005553	7.8008999	7.06608919	6.977279923	7.284477118	6.063934306	5.626439137	4.655351829	6.475733431	5.165911939	5.722466024	5.590961241
HV169	9.864805194	6.135452784	7.100136671	3.776103988	5.783980414	9.193525361	8.390168956	5.727920455	4.99095486	6.721099189	6.129283017	4.209453366	6.366322214	5.663913842	5.596935142	6.9795681	5.456149035	7.339850003	5.649615459	6.95419631	6.572889668	6.354028938	7.36719631	6.62058641	6.62058641	6.773468928	6.903279342	5.683696454	5.303780748	5.916476644	6.930737338	5.749534268	5.475733431	5.557655155	5.449561375	7.007868243	5.026800059	6.464341533	6.22881869	6.040015679	5.462706751	6.211401637	5.638073837	5.754887502	7.569855608	5.857980995	5.984133595	6.58345891	6.213347282	6.58345891	6.841721581	5.949534933	5.329123596	6.613236955	7.354028938	5.510961919	6.169925001	5.933100475	6.958842675	5.485426827	5.807354922	6.737416366	5.416164165	5.830356747	5.129283017	6.350497247	7.364572432	6.556122818	5.475733431	4.977279923	6.139551352	5.385431037	7.330916878	6.498250868	6.249824549	6.964629667	5.64096791	7.290940402	5.741466986	5.044394119	5.044394119	7.495855027	9.024308597	6.908092341	6.390598906	5.716990894	5.224966365	6.048759312	7.091699834	5.321928095	6.414473836	9.059885201	5.857980995	6.266786541	6.307428525	5.402585758	5.916476644	4.949534933	6.726558779	4.744161096	9.525520809	4.822730148
HV315	6.607330314	6.100136671	7.320123598	6.478971805	6.566815154	9.051208941	7.167919866	6.548436625	6.590895934	6.793115555	7.328226119	4.270528942	7.843607046	5.675251386	5.572889668	6.551516018	5.830356747	6.638073837	6.935459748	7.489446599	5.840463234	6.089582893	7.627169061	7.021257621	7.144658243	6.577440206	6.373300197	6.343407822	5.914086097	6.454504938	6.091699834	6.376776572	6.121015401	6.153805336	5.652486495	5.741466986	6.404290064	5.730639956	6.899659026	6.068240861	6.263034406	7.192785959	6.662490364	6.958842675	7.593951284	6.701826258	6.334496768	6.802193217	6.376776572	6.024585638	5.809928866	6.063934306	6.348728154	6.454504938	7.054197294	6.61176256	6.830356747	6.447909749	6.452858965	5.285402219	6.203592714	6.752213368	6.690696444	6.452858965	5.804776378	6.157852169	7.613236955	5.498250868	4.791814071	5.554588852	6.707359132	4.977279923	6.885086225	6.234651924	7.117902789	6.270528942	6.549977143	6.758889433	4.517275693	5.812498225	3.321928095	7.612499946	7.477353527	7.05853297	6.777419716	5.087462841	6.089582893	6.177917792	7.288173968	4.649615459	6.509379149	7.95419631	6.112700133	6.875288598	6.817623258	5.5360529	5.842978832	4.517275693	6.309248961	4.800973481	5.475733431	5.560714954
HV330	6.649615459	6.571373436	7.490249211	4.925999419	6.346956889	8.884170519	7.630813152	6.608809243	5.652486495	6.539158811	7.563768278	5.343407822	7.631540867	6.752213368	5.95419631	6.794415866	6.648177796	7.435461914	5.722466024	7.724513853	5.95419631	6.577428828	6.888743249	7.73470962	6.369815424	6.936637939	7.060695932	5.977279923	5.984133595	6.711494907	6.175923742	6.135452784	6.424586226	6.616181231	5.977279923	6.249824549	6.651051691	6.700439718	6.083213368	6.871597266	5.456149035	7.030115331	6.133399125	7.392317423	7.312882955	6.584962501	6.998872454	6.369815424	6.387155718	6.827819025	6.496654083	6.318316841	6.595443985	6.73470962	7.346956889	7.518849829	6.937815169	6.327328083	5.963474124	5.675251386	5.965784285	6.992088609	6.74281467	6.834154981	6.929554316	6.165911939	6.965784285	6.556122818	4.958842675	4.935459748	6.141596278	5.361066489	7.203592714	6.266786541	7.52277767	6.693486957	6.493455201	6.845490051	5.03562391	6.205548911	4.832890014	8.350055177	8.044394119	7.623515741	7.444600814	6.135452784	6.619119511	6.566815154	7.356672044	4.66106548	7.019034669	8.338513555	6.723831566	6.543805176	6.673839056	5.736063628	6.098032083	5.247927513	6.756222713	4.626439137	5.837943242	5.378511623
HV349	7.266786541	6.206779754	6.412781525	4.129283017	5.700439718	8.112114637	7.168922782	6.58345891	6.515699838	6.454504938	6.452858965	5.22720027	7.666046429	6.375039431	6.197708158	7.320123598	4.392317423	8.426264755	6.354028938	7.334496768	6.587964989	6.327492747	6.598424761	7.287250643	6.123086751	6.059614856	5.395748328	6.296457407	6.782670659	5.06608919	6.346956889	7.703903573	6.412586104	5.757556689	5.044394119	6.725195817	6.912889336	6.479886547	5.899659026	5.606659618	5.894817763	4.392317423	5.963474124	6.897240426	7.992655149	3.655351829	6.0725346	6.560714954	6.118941073	6.824786804	6.839203788	6.151777655	6.568433188	5.100136671	7.934280594	7.39173679	7.017921908	5.539158811	6.314696526	4.936557575	5.958842675	6.193771743	6.686500527	6.419538892	6.242221395	6.701826258	8.046032615	5.738767837	5.177917792	6.613236955	5.949534933	5.112700133	6.809928866	6.951867504	6.849248703	6.417852515	6.551516018	7.479780264	5.623515741	5.125155131	5.554588852	7.581200582	7.394033895	7.537606691	7.842350343	5.520422249	7.727920455	6.754887502	7.06608919	4.951120197	7.651051691	8.866351657	5.465974465	5.783980414	6.769507291	6.449561375	5.830356747	4.300123725	7.096032015	5.40599236	5.623515741	4.432959407
