	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
KV320	-0.17468248432738867	-0.47355230640416723	0.12418733774938986	6.734374332803921	1.1587676206422004	0.24915198235424502	0.9852974745813214	-4.571474099982201	
LAMA5	0.19788559829428506	-0.1412480307496536	0.5370192273382237	6.533018954127451	-1.1568375779073297	0.2499363032766174	0.9852974745813214	-4.572069442326121	
TAGL2	0.24310920871315306	-0.173950179916195	0.6601685973425011	6.473781893362745	-1.1556666055339047	0.2504130087826739	0.9852974745813214	-4.572430178453707	
LAMC1	0.15519073937794456	-0.11138137629447295	0.42176285505036204	6.391139424117647	-1.1541975282081942	0.25101198363525695	0.9852974745813214	-4.572882255980752	
A1AG2	0.25917064470286244	-0.18669407417650802	0.7050353635822328	6.245832501617647	-1.1524225755983346	0.2517370223377744	0.9852974745813214	-4.573427725995791	
KV401	-0.19999007851890094	-0.5523609606963269	0.15238080365852497	6.532518694529411	1.1252201316259263	0.2630343827835309	0.9852974745813214	-4.581686829874228	
HV315	-0.19391281340450972	-0.5377112742413097	0.14988564743229033	6.347655014460784	1.1182312782647355	0.265993356261041	0.9852974745813214	-4.583778214754799	
MFAP4	-0.2545778374041384	-0.7068956778384335	0.1977400030301567	6.954023699754902	1.1158502928268415	0.267006716439009	0.9852974745813214	-4.584487859042842	
GAS6	0.2700557047388381	-0.21684537858115732	0.7569567880588335	6.206846892019608	-1.099617572576402	0.27398720434736734	0.9852974745813214	-4.589287252870004	
APOC3	0.2476829794816837	-0.2018793256924535	0.6972452846558209	6.170497180833333	-1.0922833921178	0.27718221654772446	0.9852974745813214	-4.591433523816522	
HRG	0.15471800416770556	-0.12773543042477012	0.4371714387601813	6.338949517333333	-1.0859830600376177	0.27994733124599297	0.9852974745813214	-4.59326622196519	
CLC11	0.15769530502428272	-0.13542843726377843	0.4508190473123439	6.547881185892157	-1.0665883196234327	0.2885784311555542	0.9852974745813214	-4.598843888534566	
POSTN	0.2103273314275912	-0.18067876390955767	0.6013334267647401	6.425526245401961	-1.0664518219304067	0.2886398135733443	0.9852974745813214	-4.598882800465325	
TRYB2	0.29858244879168416	-0.26009054667597453	0.8572554442593429	5.92704495927451	-1.0595846364814026	0.2917394795539784	0.9852974745813214	-4.600834262722335	
CXCL7	-0.17774063102059084	-0.5128927601252085	0.1574114980840267	6.448056112735294	1.0514140870520774	0.2954569060199735	0.9852974745813214	-4.603140275041658	
FA10	0.25080302819894934	-0.22414099430638112	0.7257470507042798	5.943726525490196	-1.046934246107517	0.2975087364770356	0.9852974745813214	-4.604397335187346	
CAPG	0.19342518796456717	-0.17685549159751576	0.5637058675266501	6.2041938738431375	-1.0356452841141304	0.30272199218958923	0.9852974745813214	-4.6075420912351275	
PA2GA	0.24867019173944138	-0.23587713403966476	0.7332175175185476	6.441791371058824	-1.017458219687282	0.3112496803145265	0.9852974745813214	-4.6125391948697905	
HV309	-0.150084388893506	-0.442698422916807	0.142529645129795	6.365461718686275	1.0168793456681002	0.31152372075645485	0.9852974745813214	-4.612696842401129	
PROS	0.17095316229883437	-0.16774456710567656	0.5096508917033453	6.194817814568627	-1.0006769820160732	0.31925941906130795	0.9852974745813214	-4.6170741094498	
