logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
0.012925822	-0.397062008	0.422913651	6.537027114	0.062519087	0.950269332	0.990114989	-4.856424594
0.080129012	-0.177271182	0.337529205	6.44386102	0.617314301	0.538375229	0.978201495	-4.778974486
0.013852762	-0.445967894	0.473673418	6.526100412	0.059741116	0.952476348	0.990433019	-4.856494538
-0.197656872	-0.582320157	0.187006413	6.317346516	-1.018958755	0.310584552	0.978201495	-4.645079532
0.095390159	-0.101061751	0.291842068	6.536680513	0.962881271	0.337838212	0.978201495	-4.667628169
-0.184233427	-0.370151259	0.001684405	6.684136716	-1.965046387	0.052073285	0.978201495	-4.084761386
0.029944426	-0.269831299	0.329720152	6.657612287	0.198081975	0.843367183	0.988963134	-4.849151202
0.019689115	-0.152611184	0.191989415	6.617012919	0.226602967	0.821176802	0.98001219	-4.846658364
-0.05179697	-0.28740872	0.18381478	6.677383506	-0.435946136	0.663778401	0.978201495	-4.818145616
-0.070776705	-0.306807009	0.165253598	6.710601206	-0.594631621	0.553379826	0.978201495	-4.784604443
0.075072659	-0.113682306	0.263827624	6.564837298	0.788694547	0.432082822	0.978201495	-4.729726508
0.03720803	-0.112503558	0.186919618	6.590260109	0.492840835	0.62316289	0.978201495	-4.807298485
0.123956745	-0.067703233	0.315616723	6.570265541	1.282520015	0.202508424	0.978201495	-4.52267622
-0.012151658	-0.199029887	0.174726572	6.656477822	-0.128944326	0.897650472	0.988991241	-4.853805723
-0.04086022	-0.217092719	0.135372278	6.665049264	-0.459769469	0.646640373	0.978201495	-4.813764305
0.060833469	-0.13333994	0.255006879	6.624804804	0.62126695	0.535781889	0.978201495	-4.777972104
0.212194537	-0.141676884	0.566065958	6.56270765	1.18908837	0.237109858	0.978201495	-4.569143082
0.017388998	-0.185737303	0.220515299	6.472320715	0.169759396	0.865528784	0.988991241	-4.851295725
0.134361628	-0.073347657	0.342070912	6.476343133	1.282758108	0.202425287	0.978201495	-4.522553535
-0.491984614	-1.133303974	0.149334745	6.083525779	-1.521257013	0.131226775	0.978201495	-4.388897185
-0.108077102	-0.263975759	0.047821554	6.611015528	-1.374727886	0.172167399	0.978201495	-4.473550339
0.127171499	-0.063912394	0.318255392	6.423616834	1.319748363	0.189813689	0.978201495	-4.503230641
0.017197283	-0.25182882	0.286223385	6.454812901	0.12676251	0.899372864	0.988991241	-4.853920596
