	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
A4	-0.528090479967421	-1.118924286894687	0.06274332695984486	5.89195909504878	-1.7989282807388511	0.07856435314218795	0.8439650751346988	-4.465410483273701	
APOC1	-0.4656165479079417	-1.0024446305928225	0.0712115347769392	6.587521294512195	-1.7456775555046526	0.08751494116606474	0.8439650751346988	-4.476285786224561	
ANXA5	0.4169574118195587	-0.06560042763166807	0.8995152512707855	6.651199628512195	1.739054413946047	0.08868542859336956	0.8439650751346988	-4.477620948169681	
PGBM	-0.3727506935478847	-0.8062481941067872	0.06074680701101781	5.9619596897317075	-1.7306239539128097	0.09019413451923733	0.8439650751346988	-4.479314797955531	
LECT2	-0.4694264872967414	-1.021389096445034	0.08253612185155124	6.173552710097561	-1.711704451894973	0.09365768018969156	0.8439650751346988	-4.483092951031241	
HV330	-0.3760987652315627	-0.8214995606791446	0.06930203021601922	6.880925745	-1.6995023422383866	0.09594940098461975	0.8439650751346988	-4.485512569774892	
FGL2	-0.411954978610213	-0.900398163297777	0.07648820607735096	6.457271354878049	-1.6974873627457114	0.09633226462894053	0.8439650751346988	-4.485910834254632	
KVD20	-0.4370339865353682	-0.9595350776665857	0.08546710459584939	6.692264068536585	-1.6834447137875355	0.09903567468786179	0.8439650751346988	-4.4886761451626125	
LAMC1	-0.3644184883345015	-0.8033940894977006	0.07455711282869759	6.255702578097561	-1.6708246281343193	0.10151828031180003	0.8439650751346988	-4.491145968897434	
KV401	-0.3189861399860474	-0.7039852578631647	0.06601297789106991	6.788987291487805	-1.6675655979990172	0.10216764168425334	0.8439650751346988	-4.491781408368423	
KLKB1	-0.34175114616177293	-0.7542501778622435	0.07074788553869754	6.758617713609756	-1.6674694832161938	0.10218684424614599	0.8439650751346988	-4.491800133832521	
TRFL	-0.7374644523785256	-1.6538613485889733	0.17893244383192186	6.245862573609756	-1.6196766814126993	0.11210894172982379	0.8439650751346988	-4.501005407772395	
APOD	-0.4509786959457014	-1.020583104835123	0.11862571294372026	6.471112290365854	-1.5935053740028668	0.11786653060696091	0.8439650751346988	-4.505955686526296	
ANXA6	0.3261780717998891	-0.0866102716628036	0.7389664152625819	6.590706374487805	1.590370034756241	0.11857208929959168	0.8439650751346988	-4.506544389453115	
LV861	-0.482315798323857	-1.0990438195344006	0.13441222288668658	6.666398496390244	-1.5740142308349565	0.12230833273657075	0.8439650751346988	-4.509600250885097	
HS90A	0.4092151290661971	-0.1269922720993763	0.9454225302317705	6.5160695827560975	1.5359947299460253	0.13136074694103272	0.8439650751346988	-4.516604567965143	
SMOC2	-0.3685142501538879	-0.8572484327894588	0.12021993248168306	6.042289551365854	-1.517582882726375	0.13593346516112903	0.8439650751346988	-4.519946274046763	
FIBB	-0.49048876694472826	-1.1466162567508265	0.16563872286136988	6.450666556634146	-1.504567512705815	0.13924184787033445	0.8439650751346988	-4.522288548050188	
LV319	-0.4042956874752055	-0.9465732848772949	0.13798190992688386	6.559400932292683	-1.500542476894071	0.14027783626701967	0.8439650751346988	-4.523009535658219	
SFRP4	-0.5027787388820522	-1.1777395189192794	0.17218204115517521	6.3050636845609755	-1.499233281179098	0.1406161216871929	0.8439650751346988	-4.52324370275421	
GRN	-0.39797459709254424	-0.9324074001487397	0.1364582059636512	6.806785181317073	-1.4987634481694474	0.1407376805206907	0.8439650751346988	-4.523327697493974	
PON1	-0.5522197805350331	-1.3044129952961916	0.19997343422612546	6.222897497878049	-1.4775881371420654	0.14630343955928587	0.8439650751346988	-4.527090695910015	
F13B	-0.45820928967147034	-1.0879085785149156	0.17148999917197494	6.572973970365854	-1.4645410027124568	0.14981846693896955	0.8439650751346988	-4.529387115250232	
C1QB	-0.4085193564436691	-0.9715844070514306	0.15454569416409236	6.41420417995122	-1.4602422692352597	0.15099105077894343	0.8439650751346988	-4.5301400167270645	
PA2GA	-0.4753534175810417	-1.1307659581957359	0.1800591230336524	5.9631127869512195	-1.4597306329443795	0.15113109164950447	0.8439650751346988	-4.530229504301956	
