	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
LECT2	-0.5485616031273748	-1.1968679055821498	0.09974469932740038	6.242780808666667	-1.719095082839706	0.09462185584824284	0.6231546015566852	-4.421677125768634	
PRDX1	0.4023879442336554	-0.07321788426596304	0.8779937727332738	6.6677855832	1.7189075864392918	0.09465639517316737	0.6231546015566852	-4.421947925692516	
HS90A	0.4567536674418958	-0.09525888736368648	1.0087662222474783	6.5364771563	1.6810778421730026	0.10184399319824909	0.6507108438808269	-4.476085733869631	
RARR2	-0.5128388692116506	-1.134895781916798	0.10921804349349684	5.9255993174	-1.6749642782685845	0.10304712027729236	0.6507108438808269	-4.484741046501008	
FA9	-0.5245341980203524	-1.1699843002424628	0.12091590420175813	6.813474496633333	-1.651071459506074	0.10786282112339345	0.6507108438808269	-4.518315385137076	
A2MG	-0.5316011909647284	-1.2024883752272828	0.1392859932978262	6.468689656233333	-1.6098714017072513	0.11660299833227067	0.6507108438808269	-4.575259876961451	
LV319	-0.49646712565607237	-1.1281940603722995	0.13525980906015483	6.487467439966666	-1.5966724735966997	0.11952297753492533	0.6507108438808269	-4.5932462384884545	
SAP	0.5182327054854249	-0.14278232523386736	1.1792477362047171	6.4314295452	1.592825569487334	0.1203851942031457	0.6507108438808269	-4.598464901127404	
SDF1	-0.4473229950030073	-1.019578703282218	0.12493271327620337	6.5861018896	-1.588129183990454	0.12144469224255514	0.6507108438808269	-4.604821507525644	
RNAS4	-0.5108417782942773	-1.164740090375159	0.14305653378660443	6.4336191976	-1.5871973429212891	0.12165581704647585	0.6507108438808269	-4.606080873099825	
TAGL2	0.5687155321015357	-0.1701661134860416	1.307597177689113	6.183207336266666	1.5637774525343726	0.12706109898298087	0.6507108438808269	-4.63752616960767	
HDGR3	-0.38363397945915234	-0.8821285032020134	0.11486054428370879	6.399231377466666	-1.5635486939947436	0.12711484363660552	0.6507108438808269	-4.6378313566713185	
KLKB1	-0.33648119726581693	-0.7763037935096238	0.10334139897798994	6.6839879734666665	-1.5543112802000585	0.12930056163236364	0.6507108438808269	-4.650123195191753	
CO5A1	-0.4092377382515946	-0.9453636862084979	0.12688820970530867	6.250326565233333	-1.5508278254333163	0.1301326760974941	0.6507108438808269	-4.654742342466223	
FIBG	-0.5335119425630136	-1.2377437864725072	0.17071990134648007	6.293010284666667	-1.5391580653562817	0.1329519656433033	0.6507108438808269	-4.670152168124414	
LTBP1	-0.3552311018137473	-0.8283655261066705	0.11790332247917584	6.2342116835666666	-1.525390970732983	0.13634120841109937	0.6507108438808269	-4.6882032769648285	
PXDC2	-0.3114984449088495	-0.7271205130953821	0.1041236232776831	6.451057609833334	-1.5226918378613226	0.13701378992889776	0.6507108438808269	-4.69172600018884	
PGS2	-0.49291598938499837	-1.160154594884049	0.1743226161140523	6.081466030733333	-1.5008817477840546	0.1425470281950988	0.6507108438808269	-4.719994009269917	
TIMP2	-0.3458927954806905	-0.8149092500838484	0.12312365912246742	6.3097854643	-1.498332407156625	0.14320533310031652	0.6507108438808269	-4.723275254114394	
FBN1	-0.3419222700908177	-0.8094463675046442	0.12560182732300873	6.2216673155	-1.485860794803692	0.1464609913194877	0.6507108438808269	-4.739257930425353	
ANXA5	0.4207452280019007	-0.15663133673322233	0.9981217927370236	6.686574244033333	1.4805217190374451	0.14787268868739584	0.6507108438808269	-4.746064748932286	
PLMN	-0.5275334656596266	-1.2520015095822483	0.1969345782629952	6.582414994366666	-1.4793996717919526	0.14817074381615392	0.6507108438808269	-4.74749255445582	
TENX	-0.4062722049639791	-0.9643562526867829	0.15181184275882476	6.1859907029	-1.479013841419459	0.14827334455775584	0.6507108438808269	-4.7479833070088215	
SODE	-0.47225994796708387	-1.1222997268812442	0.17777983094707644	6.0693497625	-1.4760324895862011	0.14906806299070322	0.6507108438808269	-4.751771662171363	
COMP	-0.47285209784714666	-1.1240441915647554	0.17833999587046212	6.5362185646	-1.4752680506413574	0.14927238013816357	0.6507108438808269	-4.752741954669813	
LAMA4	-0.36090830606071606	-0.8581912657212833	0.13637465359985124	6.542935671633333	-1.4745110640084467	0.14947492530109552	0.6507108438808269	-4.753702358459324	
COIA1	-0.39781217837604804	-0.9471204058508935	0.15149604909879738	6.515983195433333	-1.471352414815085	0.15032244178259607	0.6507108438808269	-4.757705183261125	
CO5A2	-0.6141173392179922	-1.4700786801001409	0.24184400166415654	6.164071577666666	-1.4576455973211937	0.15404460195907094	0.6578120840414381	-4.774988852629958	
IGHD	-0.381027322414146	-0.9177298251704871	0.15567518034219513	6.551838862966667	-1.4423718382973063	0.15827803319027162	0.666878113175011	-4.794082403277228	
APOC3	-0.4947136392055016	-1.2079905534838427	0.21856327507283946	6.500921386866667	-1.4091280240389128	0.16780988582136347	0.6977358410467218	-4.835031857185756	
FIBA	-0.4415534967621005	-1.091111320860219	0.2080043273360181	6.307055365366667	-1.3810844838181144	0.17619579609131217	0.7206296272041796	-4.868922919905789	
APOC1	-0.4278229719684219	-1.061574302577958	0.20592835864111436	6.571792911266667	-1.3715130748958164	0.17913149417283494	0.7206296272041796	-4.880352507630537	
SPON1	-0.44597849950007523	-1.1082255498249618	0.2162685508248114	6.3697249628	-1.3681969735260562	0.1801574068010449	0.7206296272041796	-4.884295997228756	
PDIA1	0.32538066002604915	-0.16599887474461283	0.8167601947967111	6.605174126966666	1.34533179735423	0.18735573561963	0.7400551556975385	-4.911256761055048	
CAD13	-0.3654409615934912	-0.9208434057228418	0.18996148253585948	6.5098458272999995	-1.336793035987	0.19010005369536245	0.7416249008362288	-4.921221468410003	
HV372	-0.44091697957856557	-1.1194932143408796	0.23765925518374853	6.6033158634	-1.3201184904188228	0.19554816355679727	0.7535758498042431	-4.9405176462792575	
CLUS	-0.3572321326758971	-0.920652694998441	0.2061884296466469	6.4998810743	-1.288168157760741	0.2063200681631035	0.7689956471929489	-4.976886176370517	
HS71B	0.27957969789706416	-0.16395205547254266	0.723111451266671	6.4309138683	1.2806653224609323	0.20891370617026456	0.7689956471929489	-4.985310679636752	
ANXA6	0.29011997820522584	-0.17435705274474889	0.7545970091552006	6.681704116166666	1.2690190155737142	0.21298844302696968	0.7689956471929489	-4.99829999600348	
FA12	-0.3099163299152311	-0.8065935941345097	0.18676093430404755	6.683724019566666	-1.267724595117541	0.2134450020036785	0.7689956471929489	-4.99973708956197	
LEG1	0.3678222687705622	-0.22223435299712319	0.9578788905382476	6.303994223566667	1.2664821302510405	0.2138839288857281	0.7689956471929489	-5.001115258526451	
MFGM	-0.4299790630083039	-1.120451792524015	0.260493666507407	6.2051988855	-1.2651893117884356	0.21434136568360232	0.7689956471929489	-5.002547988477129	
