	N120	N123	N124	N126	N130	N131	N137	N138	N140	N144	N145	N146	N148	N149	N150	N151	N152	N153	N154	N155	N156	N158	N160	N163	N164	N165	N166	N169	N170	N171	N172	N173	N176	N177	N178	N179	N180	N182	N185	N186	N187	N188	N189	N190	N192	N193	N195	N197	N198	N199	N200	N202	N203	N204	N205	N209	N210	N211	N212	N214	N215	N216	N217	N219	N220	N221	N222	N223	N224	N226	N228	N229	N232	N233	N234	N235	N237	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N257	N258	N259	N261	N263	N264	N265	N266	N267	N268	N269	N270	N153A
PDGF subunit A	8.660593173	6.319828426	6.694367227	6.540118688	6.393460672	6.138956476	7.23739155	7.563813348	5.702610593	7.041154707	7.105882953	7.968733971	7.205481435	8.835628377	9.740163173	5.712349649	6.147901684	9.348115735	8.0024	9.734101268	9.60486907	7.056633173	8.238105254	6.466859203	5.688450323	6.803804707	8.658286346	12.53684619	6.547337499	9.335293173	8.668834571	10.120757	7.941698852	6.715597338	8.257271188	6.860333173	7.373881188	7.418851268	5.390608688	8.123462824	7.340486266	8.595761733	6.855776999	7.80461619	7.298251268	6.85563	7.81085	6.944054707	7.403508767	7.75843907	10.79628369	4.882423348	8.013887338	6.684786176	9.133249879	9.741966346	7.823388767	7.838761268	7.001083173	6.166914185	7.597058095	7.565123349	8.406789649	6.39757957	5.18663	7.955479879	9.846866472	8.508384571	9.994401268	8.979945195	5.461128095	8.573026758	7.994547499	8.182891631	9.189905735	7.5741	6.497144707	8.206936187	7.139478095	5.6349	5.826576476	5.235346176	6.70433	8.163239879	8.634856472	8.94850907	8.451276266	7.448808095	7.165166999	6.5175	6.40297	6.173674234	6.369381435	9.184961268	9.18326314	8.09032	7.657193971	5.507112824	7.9904	7.69204907	6.03209
TNF-R1	4.140543173	3.629718426	1.840767227	3.643388688	4.386950672	5.544146476	5.01424155	4.392493348	4.527060593	4.144364707	4.347682953	3.485143971	5.754601435	5.070328377	6.651663173	4.614399649	4.977171684	4.649805735	2.30875	2.911051268	4.81679907	6.679253173	5.379265254	3.842159203	4.938140323	4.391254707	3.706046346	7.74622619	5.235657499	3.774043173	3.285344571	4.579086999	4.928858852	3.958357338	4.420111188	1.921323173	5.580311188	3.179131268	2.768388688	4.160352824	2.751646266	5.647291733	4.123036999	4.67580619	5.056261268	2.73896	4.29518	4.007194707	2.526288767	4.49419907	5.042963689	3.184913348	5.554137338	5.894636176	2.946779879	4.357076346	2.538048767	4.799801268	5.477593173	5.091044185	5.644268095	4.800313349	5.324719649	4.35050957	5.54493	5.411339879	5.648646472	5.242764571	5.214891268	3.965365195	3.714818095	4.706506758	5.382767499	4.226701631	4.822435735	3.28741	4.964704707	3.254176187	4.790628095	1.96873	3.814996476	3.351076176	3.348	3.936629879	3.877706472	2.52398907	3.527206266	4.656348095	4.821756999	3.45569	2.96584	5.309764234	4.237921435	5.107161268	3.67716314	3.46315	4.978383971	3.221472824	3.63632	4.51531907	3.25882
IGFBP-2	8.699983173	7.785318426	5.306467227	8.176878688	9.080600672	9.326726476	8.70592155	8.619013348	8.075980593	8.553594707	9.041232953	7.273083971	9.275861435	9.428958377	10.17977317	8.263049649	8.640611684	8.463225735	6.79723	9.750101268	9.48273907	9.665933173	9.630015254	7.516639203	8.832930323	8.814274707	8.735096346	11.18664619	8.442977499	7.503843173	9.183774571	8.347346999	9.284318852	8.284747338	8.325841188	6.264693173	9.574671188	7.743201268	5.194958688	7.115942824	6.851696266	9.141741733	8.449946999	9.62644619	8.363131268	7.09815	8.4272	7.935904707	7.820788767	7.84914907	9.985533689	6.336053348	9.514317338	8.242196176	7.506659879	8.679826346	6.576558767	9.707851268	9.401393173	8.328914185	9.620168095	9.007113349	9.367819649	8.51329957	7.00681	9.965149879	10.95493647	9.639354571	9.121161268	9.628095195	6.989548095	9.050476758	9.661197499	8.391841631	8.696405735	8.30699	8.785424707	6.863066187	8.792358095	5.58542	8.735216476	7.759026176	7.45205	7.753569879	7.687696472	6.55364907	8.378646266	8.552098095	8.679816999	8.21525	9.17008	8.943354234	7.595701435	9.876671268	8.52112314	7.00491	9.528243971	6.332682824	7.88106	9.18497907	7.23176
vWF	5.339743173	3.041708426	1.446047227	4.314908688	5.441280672	2.002106476	5.43713155	4.907653348	1.173020593	4.181654707	3.065822953	4.078483971	5.026701435	4.265198377	6.478553173	3.831039649	2.410471684	4.683615735	3.99879	2.051701268	5.49461907	5.469523173	3.594435254	4.944009203	1.477150323	1.338264707	6.082806346	6.01735619	5.382337499	2.985353173	3.394114571	5.458846999	5.290328852	2.658397338	6.677991188	2.511113173	4.595831188	4.588031268	3.617448688	3.592752824	2.555616266	5.077041733	3.104906999	6.03650619	2.438321268	2.55121	5.75195	3.236314707	0.985428767	5.62584907	4.547293689	1.923263348	7.044387338	5.675246176	2.119619879	6.779456346	1.335338767	4.809451268	4.389823173	5.140534185	4.911498095	3.801433349	4.826329649	1.15995957	5.8045	4.260769879	4.696706472	4.244974571	5.285341268	4.603595195	3.136448095	3.113956758	5.626297499	4.364721631	7.259645735	4.24366	2.790564707	3.054426187	5.033278095	1.41809	2.865036476	4.686676176	2.84304	4.286129879	3.591036472	0.94191907	4.750756266	3.703128095	3.588116999	1.40887	2.23526	3.211554234	3.503021435	4.691951268	3.97473314	4.29983	3.673723971	2.019012824	2.84649	3.73837907	3.42847
PECAM-1	5.781433173	5.443788426	2.151037227	5.547238688	5.915500672	4.192946476	5.61841155	5.398803348	3.730340593	5.981254707	4.951432953	5.839773971	6.211291435	4.555168377	6.728063173	5.671929649	4.570281684	6.359405735	4.76168	2.945061268	6.73603907	5.836543173	4.613835254	6.074619203	3.324870323	3.778804707	4.208406346	8.88569619	6.309057499	5.456043173	4.523884571	6.785636999	5.053158852	6.118817338	7.093531188	4.802223173	5.940711188	5.165741268	5.622678688	5.747402824	3.920076266	5.546301733	4.347716999	4.68119619	5.099881268	4.76963	6.20595	3.180874707	3.061578767	6.34312907	5.819173689	4.620493348	8.187107338	6.653096176	5.217529879	6.208376346	3.848408767	5.485391268	6.145683173	5.794304185	5.915028095	5.437153349	6.160119649	3.72689957	6.91667	4.941829879	5.274736472	5.671054571	6.921451268	4.407415195	5.036388095	5.984386758	5.961787499	6.782401631	6.577755735	4.5626	5.611454707	5.393266187	5.540578095	4.83408	3.784246476	3.915016176	3.03959	5.582139879	4.916466472	3.44650907	5.703956266	5.169528095	5.771906999	2.69023	3.04062	5.273974234	5.551201435	5.420891268	5.82124314	6.08223	5.222383971	3.703422824	4.92382	5.14611907	4.94159
MEPE	1.458753173	0.0	0.257137227	0.029228688	0.604960672	0.710336476	0.84769155	1.644933348	0.252700593	0.824174707	-0.188277047	0.858133971	0.559081435	1.056718377	2.487663173	1.086479649	0.051231684	1.583605735	0.56407	0.0	0.82772907	1.168793173	0.729265254	0.850619203	0.196000323	0.336874707	1.294846346	5.16982619	0.888367499	1.016053173	1.836454571	1.069146999	1.090058852	0.0	2.467221188	0.0	1.110471188	1.255741268	0.384958688	0.760062824	0.708656266	1.541641733	1.163566999	1.42754619	0.022761268	0.21749	0.89939	0.047054707	0.594718767	0.94605907	1.497673689	0.267423348	1.534427338	0.828886176	1.174399879	1.625176346	0.347608767	1.396461268	0.738593173	0.528064185	1.222868095	1.017173349	0.627329649	0.37857957	0.00785	1.717879879	1.020626472	1.834954571	4.498861268	1.500905195	0.579968095	0.423366758	0.968707499	0.749571631	1.482755735	0.48308	0.539774707	0.793156187	0.677078095	0.0	0.907316476	0.276926176	0.0	1.628269879	1.323616472	0.0	1.291346266	0.725598095	1.009486999	0.30393	0.81043	0.957004234	0.297681435	1.618001268	1.33507314	1.51808	1.773753971	0.749332824	0.0	0.0	0.0
CCL16	9.346293173	8.622238426	4.542227227	8.663958688	8.457390672	9.039266476	9.00976155	8.103763348	6.532250593	9.046714707	9.531212953	7.789313971	9.007571435	8.924108377	10.26604317	9.765569649	8.605721684	8.442535735	5.66645	7.752621268	9.05884907	8.332773173	7.428755254	8.446699203	8.021170323	7.701494707	10.38734635	11.96234619	8.861707499	8.214843173	6.717124571	8.392336999	9.248548852	8.067957338	7.842811188	7.635993173	9.689661188	8.829841268	6.688598688	7.736782824	8.595446266	9.130981733	7.546736999	7.23600619	8.323621268	8.36601	8.92314	7.621654707	9.818828767	8.26236907	8.793263689	7.520783348	9.473377338	8.730946176	7.983459879	9.123286346	7.145488767	9.684671268	9.003193173	8.728244185	9.191538095	8.600783349	10.60543965	8.06354957	8.4372	9.478059879	10.04445647	9.606474571	9.383801268	8.630125195	7.984368095	8.174286758	8.983967499	8.652801631	9.218455735	8.36678	8.093174707	7.295616187	8.366848095	6.36271	7.848086476	7.455036176	6.22376	7.957019879	7.330026472	3.72751907	8.191656266	8.711828095	9.237816999	7.54963	8.38271	9.157404234	8.660761435	8.502201268	8.63112314	6.54254	9.762063971	7.725062824	8.43101	8.61201907	7.85648
CTSF	1.387753173	0.074218426	0.312747227	1.113648688	0.695340672	2.156516476	3.92644155	2.496723348	0.303720593	2.534564707	1.734952953	1.023303971	3.363721435	3.705418377	3.501053173	2.629579649	0.360601684	2.365605735	0.63243	1.461731268	3.14308907	3.327773173	1.395175254	1.412679203	0.453860323	0.426024707	2.374376346	0.0	1.934707499	0.671253173	0.259784571	2.258436999	2.698498852	0.584847338	2.043621188	0.0	3.826711188	2.749011268	0.506568688	3.011552824	0.777326266	3.354591733	2.345556999	3.07370619	0.564871268	0.2408	1.86471	0.465024707	1.082188767	2.18430907	3.816603689	0.119893348	3.698857338	3.122616176	0.874949879	2.466806346	0.0	2.732581268	4.033773173	3.636284185	2.272158095	3.763713349	4.312379649	0.21437957	2.52702	3.072469879	2.940456472	3.703934571	3.607071268	2.860145195	1.761248095	0.943806758	3.597547499	1.538041631	2.622875735	2.24437	1.228064707	0.452656187	3.178358095	0.81302	0.277566476	0.054036176	0.15561	1.084029879	2.156786472	0.73498907	2.528516266	1.233328095	1.976016999	0.0	0.18032	0.387304234	2.397951435	2.397101268	2.53478314	1.28959	3.581933971	0.0	1.12797	2.93200907	1.18378
MATN2	9.152573173	6.559188426	4.888977227	8.335948688	4.038050672	8.516556476	9.90227155	9.555403348	5.341830593	9.381394707	8.660632953	8.766883971	10.02020144	10.33511838	11.33897317	10.23680965	6.224721684	9.230065735	8.20957	7.684931268	9.76249907	10.09651317	7.706145254	8.240729203	6.736180323	5.210434707	10.20495635	11.77626619	8.707317499	8.578033173	5.401034571	8.844876999	9.899978852	8.053687338	9.058941188	7.768333173	10.11406119	10.07897127	6.894518688	10.17066282	4.956846266	10.67757173	8.476596999	11.12831619	7.340081268	7.3741	9.74249	5.441694707	6.729658767	9.03482907	11.70730369	6.333603348	11.72907734	9.933816176	7.373209879	10.02298635	4.346218767	10.43212127	11.32614317	10.39046419	9.704108095	10.42782335	9.821439649	4.09075957	9.26853	10.00882988	10.19587647	10.86529457	10.94402127	10.24214519	8.745818095	6.709956758	10.1110675	8.398311631	9.942585735	8.95914	9.145494707	5.525616187	9.804218095	8.4464	6.294776476	6.259316176	5.81528	7.457249879	8.846996472	5.56374907	10.36432627	7.322108095	9.211586999	6.50997	4.00463	7.946004234	8.758491435	9.618341268	9.41920314	8.64631	10.60887397	4.654592824	7.68928	9.74223907	7.89724
HTRA2	5.918883173	3.026928426	3.506777227	5.183678688	3.953200672	4.382166476	7.17840155	6.693513348	2.181920593	5.930924707	6.336822953	5.405933971	7.318461435	7.243518377	7.167443173	6.493349649	3.974811684	6.512485735	3.56615	4.777391268	6.26025907	7.402713173	4.309565254	5.908639203	3.410080323	3.174674707	6.197766346	7.76371619	6.750177499	4.650023173	3.166704571	6.567116999	6.514518852	5.190497338	5.876821188	3.836593173	6.892571188	6.405571268	2.597948688	6.838932824	2.114116266	6.794551733	5.565096999	6.27571619	4.612271268	3.12999	5.62718	1.922014707	2.420208767	6.40593907	6.864293689	2.571783348	7.202337338	6.700926176	2.934439879	5.649516346	0.834988767	6.328421268	7.015263173	6.882104185	6.373978095	7.241063349	7.078839649	1.74311957	6.50888	7.128529879	7.044216472	8.087874571	7.207821268	6.265115195	6.576418095	3.840866758	7.050837499	5.604191631	6.659865735	5.80314	6.542994707	3.028626187	7.021088095	4.93874	2.799086476	2.545886176	2.53266	3.908359879	6.488966472	1.74060907	6.079866266	4.461348095	7.106906999	3.33025	1.76834	4.964814234	6.578661435	6.302861268	6.13365314	5.94048	7.683173971	0.960192824	5.43601	6.97374907	5.74014
MFGE8	11.48342317	10.23759843	10.45866723	10.51685869	8.321440672	10.77857648	10.52234155	10.93581335	9.820780593	10.64733471	10.03448295	11.01070397	10.92377144	11.18998838	12.55210317	10.71027965	9.658321684	11.70798574	10.72772	11.61864127	11.17676907	11.20930317	10.94994525	10.3758292	10.27545032	10.65762471	12.08557635	15.72857619	11.4949175	11.64662317	11.04588457	11.146747	11.80449885	10.70588734	12.55743119	11.20698317	11.05508119	11.76598127	10.26966869	10.93261282	11.53316627	11.39308173	11.101277	11.55763619	10.24669127	10.61109	10.89305	10.25959471	10.96180877	11.42397907	12.09314369	11.17569335	12.06118734	10.19774618	11.78750988	12.04767635	11.04514877	11.57084127	11.10897317	10.60499419	10.91161809	11.46553335	10.63196965	10.23536957	10.63687	11.58890988	11.86588647	11.73638457	12.84725127	11.67234519	10.68060809	10.99284676	11.2657475	11.12342163	11.72340574	10.73056	10.72292471	9.945986187	10.88120809	10.7484	9.685946476	9.046346176	10.18475	11.31933988	11.92052647	10.40838907	11.26043627	10.95319809	11.344137	11.16045	10.43527	11.08434423	11.06722144	11.63365127	11.66419314	10.65244	12.41522397	11.00925282	10.58696	10.87081907	10.86165
NUDT5	4.360753173	4.368368426	1.382297227	4.937708688	4.206930672	6.741496476	5.93686155	5.445913348	4.550220593	5.025734707	6.152202953	3.767963971	7.061191435	5.835338377	6.973993173	5.579489649	5.855121684	5.187495735	2.46345	2.569841268	5.48997907	6.551943173	5.981785254	4.548109203	4.722980323	5.175384707	4.159676346	9.25710619	6.840127499	4.576353173	2.301624571	5.186366999	5.111898852	4.776327338	5.447961188	2.418573173	6.690311188	3.775061268	2.732038688	5.635842824	1.993026266	6.231491733	4.708476999	5.27870619	6.471521268	3.70583	5.14622	3.814614707	3.104898767	4.97566907	5.858943689	2.612673348	6.392207338	7.014906176	3.156739879	4.277566346	3.723358767	5.517691268	5.578673173	6.447604185	6.149588095	5.395693349	6.497449649	3.60969957	6.46995	6.612639879	6.969316472	6.888624571	6.259081268	4.953955195	4.535958095	5.604626758	7.070867499	4.617831631	5.602435735	4.43502	6.550104707	3.554096187	6.022908095	2.49096	4.636796476	3.839486176	3.76861	5.095059879	3.470526472	2.63260907	4.207546266	4.815868095	6.450436999	3.22856	2.51309	5.324224234	4.706541435	5.596911268	4.93799314	4.60866	6.380993971	3.058332824	4.82151	6.71292907	3.52467
ACAN	5.968723173	3.803388426	4.415967227	4.330548688	3.542950672	6.381846476	6.74722155	6.044923348	4.908370593	5.518944707	6.825102953	4.783263971	5.766921435	7.290648377	7.035723173	5.967339649	5.954481684	7.149775735	2.81759	6.308601268	5.99643907	5.543283173	6.225405254	5.366509203	4.606720323	5.156724707	7.087106346	10.00197619	5.721727499	6.609983173	5.994724571	6.327706999	5.702608852	4.994537338	6.346661188	6.498163173	6.863471188	7.610751268	5.780708688	6.226902824	7.090376266	6.843661733	5.663356999	6.29071619	5.914071268	6.22369	6.50082	5.887964707	6.629568767	6.88724907	7.595343689	5.220803348	6.704457338	4.178816176	7.275039879	7.183596346	5.218388767	7.434361268	6.642353173	6.594434185	6.098548095	7.039223349	7.199479649	6.78483957	5.5593	6.431339879	7.274286472	7.760994571	7.718591268	6.829575195	6.736498095	6.752756758	6.886747499	5.430081631	5.501865735	6.00957	5.993074707	6.216026187	6.966128095	6.69859	5.858866476	4.078596176	4.56637	7.346609879	7.072196472	5.91119907	6.317786266	5.523658095	6.622676999	5.57111	2.16297	5.568534234	5.209271435	6.244161268	6.97163314	4.3283	6.944953971	5.427232824	6.17329	6.74891907	6.24321
ITGB1	7.295673173	6.441898426	6.374057227	7.143568688	5.937170672	7.305636476	8.21644155	7.538613348	6.026080593	6.988304707	7.871662953	6.945543971	7.576131435	8.516958377	8.050873173	8.129829649	6.404461684	7.754005735	5.61557	5.859031268	7.28561907	7.747433173	7.405375254	6.267139203	5.624060323	6.139014707	7.296866346	11.26444619	7.302247499	7.373463173	5.829494571	7.602826999	7.876078852	7.486627338	7.521331188	7.325213173	7.573561188	7.500831268	7.566508688	7.546642824	6.673906266	7.704251733	5.577106999	7.41495619	7.062861268	6.26786	7.48914	6.118504707	6.160748767	8.03788907	8.364133689	6.245263348	9.030957338	7.226586176	6.776299879	7.787016346	5.584678767	8.102731268	8.266453173	7.689604185	7.276628095	8.138853349	8.475429649	5.49772957	7.81834	8.261389879	8.243636472	9.028924571	7.993651268	7.656355195	8.141228095	6.954186758	7.847107499	7.671451631	7.601755735	7.30754	7.860884707	6.138976187	7.927598095	7.55219	5.471106476	5.289586176	6.28228	7.698009879	7.858406472	6.00739907	7.595786266	7.345478095	8.078246999	6.09509	5.67679	7.231344234	6.957881435	7.441231268	7.32536314	6.65877	8.988613971	5.046412824	7.46796	7.45500907	7.01921
DKK3	4.708793173	5.256078426	3.067847227	4.692758688	3.522390672	7.072136476	5.88202155	5.123033348	5.909820593	3.967044707	7.173012953	4.656713971	6.409291435	7.300248377	7.096413173	6.798749649	5.690491684	4.893585735	2.09061	3.929191268	7.23888907	7.201993173	6.460185254	3.873539203	7.782330323	6.022654707	5.972576346	9.17633619	4.767907499	4.881803173	3.127844571	5.830366999	7.061068852	5.408657338	4.188541188	3.636713173	6.013611188	4.621661268	3.011428688	5.472372824	3.249766266	6.226631733	5.132116999	7.40343619	6.488091268	3.86953	5.10762	6.176494707	3.358768767	4.56037907	7.908453689	3.598573348	8.770577338	5.958396176	3.658099879	5.230776346	2.407128767	7.592091268	7.397213173	5.677214185	6.292148095	6.911983349	6.391989649	4.44032957	5.20555	6.594499879	7.611706472	6.996444571	6.268581268	6.302505195	5.507528095	5.442346758	6.369857499	5.280001631	5.139965735	4.8184	6.455444707	3.596146187	5.922158095	4.38662	4.193186476	3.697166176	4.46141	6.037599879	4.239816472	3.64742907	5.472636266	5.302258095	5.739156999	4.45335	4.01361	6.055934234	4.701531435	6.092341268	5.32340314	3.59604	7.712663971	3.350722824	5.05359	6.09883907	4.71882
SPINT2	4.874413173	4.040088426	3.596377227	4.807708688	3.068440672	3.362736476	6.06218155	5.374313348	4.065190593	3.861954707	6.097602953	4.070323971	5.342221435	5.277128377	6.048293173	5.028519649	4.595291684	4.459245735	2.00326	2.765801268	5.05071907	5.363383173	5.131005254	3.428939203	4.610390323	4.029774707	4.245786346	8.32045619	5.133837499	4.023193173	3.830514571	3.552066999	4.321618852	4.313027338	5.376691188	4.556043173	5.701771188	4.763911268	4.670398688	5.529762824	4.689836266	5.184571733	4.151746999	4.06935619	5.769641268	3.92567	4.60792	5.432504707	4.690488767	5.10181907	5.441203689	4.394153348	5.262887338	5.778316176	3.648099879	4.828316346	3.438768767	5.605041268	6.309493173	5.633184185	5.483238095	6.699163349	6.905499649	4.68134957	5.12808	5.641679879	5.817346472	5.582694571	5.657271268	3.905755195	6.246018095	5.009026758	5.149307499	5.166171631	5.368985735	3.60213	5.132274707	3.872026187	5.368668095	4.68892	3.454666476	2.656566176	4.4745	4.827679879	4.134726472	3.31647907	4.432166266	4.693868095	5.410886999	3.77097	2.6143	4.752134234	4.606791435	4.381101268	4.50117314	3.95422	6.942703971	3.353192824	5.69431	5.70968907	3.59256
APP	6.111123173	4.251398426	4.256637227	4.024838688	3.545390672	6.147546476	5.74611155	5.779943348	5.233820593	4.692424707	7.047852953	4.380673971	5.269641435	7.856278377	6.227883173	5.985819649	5.218161684	5.249075735	5.25154	5.438541268	6.28275907	6.917683173	7.012185254	4.628929203	5.415290323	5.623794707	7.363116346	10.47736619	5.047457499	6.804193173	4.669694571	6.273966999	5.797918852	6.115807338	5.019531188	5.253123173	6.994921188	5.947311268	4.474568688	5.891822824	5.962086266	6.512631733	4.902966999	6.79297619	5.564031268	4.62924	4.96101	5.531614707	5.410798767	6.14200907	7.893433689	3.579363348	7.668667338	6.069526176	5.838669879	5.442776346	3.810278767	6.740501268	6.628193173	6.313364185	4.909398095	6.935533349	6.982269649	4.41146957	4.97822	6.367899879	7.106906472	7.451944571	5.850901268	6.744775195	5.743978095	4.885546758	6.308407499	5.118461631	5.368215735	5.64099	6.236964707	3.544836187	6.095608095	5.6559	4.210016476	3.667036176	4.99348	5.502199879	6.086446472	4.48473907	5.921596266	5.273068095	6.345806999	5.43395	2.60427	5.539294234	6.434711435	6.390251268	6.82708314	4.32014	7.875413971	4.296852824	6.82585	6.55396907	5.31144
HAVCR2	1.923623173	2.342958426	0.145517227	2.047598688	2.860010672	3.279566476	2.99086155	1.934903348	3.107310593	2.937774707	1.221972953	1.743303971	5.545771435	2.839168377	4.396973173	2.523909649	3.511341684	3.268965735	0.81452	1.561161268	3.42911907	4.796833173	2.261375254	2.735419203	3.790770323	2.680344707	1.889406346	5.55626619	4.291787499	2.279133173	1.134214571	2.686926999	3.012168852	2.417347338	3.338781188	0.728123173	4.153531188	1.720711268	1.607128688	3.978332824	0.0	3.697231733	2.685006999	2.73063619	3.827901268	0.12539	2.62002	2.141214707	0.487588767	2.58302907	3.734563689	1.789373348	3.802347338	4.527126176	1.366719879	2.484286346	0.436458767	2.546601268	2.825713173	3.785224185	3.876828095	2.938633349	2.624439649	2.66999957	4.03189	3.551769879	2.311716472	3.188094571	3.996461268	1.807855195	1.408468095	3.185296758	4.158287499	2.151811631	3.639495735	2.02439	4.308404707	2.574416187	3.132608095	0.82834	2.553236476	2.136906176	1.47102	2.270279879	1.194966472	1.67650907	2.165996266	3.173098095	3.262626999	0.63341	1.45353	3.511624234	2.472401435	2.985061268	1.93574314	3.14192	3.137383971	2.046472824	1.28418	2.46204907	1.49787
TMSB10	5.857103173	5.971888426	1.885427227	5.705468688	5.930980672	6.754886476	6.40533155	6.655613348	5.977780593	6.434194707	5.516862953	5.158053971	6.516261435	7.465268377	7.415863173	6.744499649	5.764461684	6.902695735	2.59467	4.518701268	7.16768907	7.455913173	6.545295254	6.424719203	6.253750323	6.520514707	5.967276346	9.93832619	7.216357499	6.735153173	3.361814571	6.002786999	6.904188852	5.891947338	5.560391188	3.254993173	7.083891188	5.471281268	3.441488688	7.227522824	4.551016266	7.045441733	6.670746999	6.93585619	5.765931268	4.62446	6.32786	5.946484707	4.780278767	5.99370907	6.841663689	3.747773348	7.038407338	6.359716176	5.223799879	4.691176346	4.159428767	6.583981268	6.679683173	6.513004185	6.580798095	6.582693349	6.762799649	6.26548957	6.02543	7.565879879	7.536766472	7.482134571	6.473411268	5.347095195	5.975818095	6.823156758	7.231537499	5.531101631	6.697145735	5.67501	6.669484707	6.067996187	7.265258095	4.18216	6.335326476	5.894096176	5.36228	6.588599879	4.650896472	5.34844907	5.597676266	7.208268095	7.288586999	5.53675	4.17884	6.852164234	6.517061435	6.707271268	5.30459314	5.80359	7.585713971	6.135172824	5.63144	7.02981907	3.11012
ANGPTL4	4.328963173	3.273438426	0.459407227	3.562558688	5.230460672	3.978796476	4.62887155	4.144473348	1.622710593	4.711004707	2.732352953	2.815053971	4.666371435	3.478008377	6.761073173	3.117989649	2.577641684	4.992115735	2.62981	3.295981268	5.04745907	6.205093173	2.015635254	5.213899203	2.480320323	2.609844707	3.577616346	5.57618619	4.863647499	2.437403173	2.579064571	3.400446999	5.915918852	2.396687338	4.803231188	2.208343173	4.991161188	4.077531268	1.147958688	4.854972824	1.315206266	4.397261733	4.145336999	4.51494619	1.328381268	3.63422	2.89505	1.546344707	3.786828767	3.21724907	4.321943689	1.646453348	3.080877338	5.104586176	2.152839879	4.987236346	1.336808767	3.969291268	3.796043173	4.569654185	4.886218095	4.758953349	4.641009649	1.39528957	4.49105	5.546609879	4.539366472	4.959544571	3.740551268	3.820015195	3.198888095	2.652166758	5.227707499	3.777901631	4.565185735	3.38419	2.818624707	2.964696187	4.025328095	1.7738	3.313656476	1.970166176	1.32006	3.458809879	3.636766472	0.85795907	2.936416266	3.935408095	4.293336999	0.15345	1.43573	4.009954234	5.045341435	4.612911268	4.04765314	2.47118	4.967153971	1.541262824	1.44615	4.06041907	1.626
INHBC	0.823613173	0.553008426	0.217777227	0.077558688	1.173060672	1.046486476	0.90245155	0.384413348	0.186200593	1.358574707	0.283112953	0.522563971	1.464781435	1.194238377	2.001383173	0.850229649	0.219121684	1.362605735	0.53333	1.042611268	1.21349907	0.715593173	0.430455254	-0.042750797	-0.071969677	0.089614707	1.927156346	4.66156619	0.549077499	0.690763173	0.643954571	1.176546999	1.465148852	0.746147338	1.789201188	0.619243173	0.948861188	1.182791268	0.240078688	0.545872824	0.766856266	1.085551733	0.638106999	1.07874619	-0.086458732	0.0	0.59896	0.371354707	0.0	1.15024907	1.488453689	0.375813348	1.327977338	0.724446176	1.247559879	1.433746346	0.285108767	1.199461268	1.513603173	0.982014185	0.726478095	1.279353349	1.392259649	0.51485957	0.45884	1.434419879	1.332306472	1.436584571	2.278371268	1.071465195	0.606778095	0.660356758	1.007457499	0.981621631	1.000935735	0.22462	0.124734707	0.477696187	0.711258095	0.22106	0.103626476	0.244976176	0.32898	1.212919879	1.140676472	0.70792907	0.967476266	1.103578095	1.318576999	0.27631	0.6744	0.409464234	0.549821435	1.312071268	1.05936314	0.73148	1.791753971	0.548562824	0.51639	0.74687907	0.29796
SPINK1	1.635593173	0.344358426	0.351037227	0.891098688	5.493890672	1.268586476	0.80177155	0.865663348	0.284190593	0.661074707	0.278542953	0.939663971	1.383751435	1.314258377	2.255893173	1.469989649	0.498881684	1.506215735	0.00101	1.586601268	1.35492907	1.278723173	0.722575254	0.065969203	0.371490323	0.289954707	1.677386346	0.0	1.134757499	0.0	1.685234571	1.127796999	1.144748852	0.751887338	1.601071188	0.868993173	1.097381188	0.931201268	0.399108688	0.864982824	1.146036266	1.410551733	0.918076999	1.04982619	0.660811268	0.26986	0.59337	0.483294707	0.861918767	1.15212907	1.489093689	0.233933348	1.465997338	0.311216176	0.963479879	1.398716346	0.475818767	1.128011268	1.290043173	0.937434185	1.183878095	1.215363349	0.946949649	0.41499957	0.5477	1.539019879	1.699826472	1.572094571	2.193261268	1.154235195	0.523218095	0.963786758	1.619157499	1.087781631	1.404175735	0.62305	0.514694707	0.636066187	0.746988095	0.37389	0.174656476	0.520156176	0.23886	1.044349879	1.415316472	0.78201907	0.834856266	1.166678095	1.102396999	0.45245	0.97319	0.921254234	0.341951435	1.438261268	1.00247314	0.35906	2.128623971	0.693262824	0.62355	0.99323907	0.39241
