	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
AGRIN	-0.38395349357670716	-0.8062553393842218	0.0383483522308074	6.48193503735	-1.8323599941063053	0.07367148994941498	0.9984369187733166	-4.0518094686968045	
OMD	0.36909394960309705	-0.04417242612052891	0.7823603253267231	6.439059281725	1.7999565096278645	0.07872670696616722	0.9984369187733166	-4.09013288170382	
CO5A2	-0.43761651835193055	-0.9320690193533249	0.05683598264946377	6.5321524326	-1.7837101597098033	0.08136924435065707	0.9984369187733166	-4.109136457901814	
PLMN	-0.5177713049862038	-1.1036691188957728	0.06812650892336503	6.69976696085	-1.7810300941680552	0.08181224488892849	0.9984369187733166	-4.1122577562029905	
DERM	0.45975313087809	-0.07044528978354447	0.9899515515397245	6.4519494561	1.7475975332861768	0.08751050554163063	0.9984369187733166	-4.150868672443487	
TAGL2	0.4305361248070572	-0.07519017510155185	0.9362624247156663	6.453901307025	1.7157310680961542	0.0932464348904488	0.9984369187733166	-4.18710525767535	
GRN	0.5579459458502565	-0.10662016046965095	1.2225120521701638	6.65082506755	1.6920340392270785	0.09771133464071595	0.9984369187733166	-4.213690742059163	
PON1	-0.7885440011879535	-1.7518908615993798	0.17480285922347272	5.647743204325	-1.6496750390715194	0.10613207169245857	0.9984369187733166	-4.2604372523523155	
TENX	-0.31071252371430935	-0.691798888704195	0.07037384127557633	6.373113433925	-1.64320029993655	0.10747021059431575	0.9984369187733166	-4.267494336942341	
ICAM1	-0.3585424463054925	-0.7995242820058002	0.08243938939481515	6.645443397675	-1.638607859745419	0.10842768669030044	0.9984369187733166	-4.272485555709299	
FINC	-0.3110411809576403	-0.6937406209383183	0.0716582590230378	6.4870993552	-1.6380049988947323	0.10855389376935083	0.9984369187733166	-4.273139884757402	
FA10	-0.4715605427748432	-1.0609142262463498	0.1177931406966633	6.5734743235	-1.6125627150917938	0.11399066979228073	0.9984369187733166	-4.300567416434957	
C1S	-0.41185333660987217	-0.9433935801792785	0.11968690695953416	6.5980561849	-1.5615704963282504	0.12555431981917692	0.9984369187733166	-4.354431226379587	
CAD13	0.40986188053715106	-0.12072732600363095	0.940451087077933	6.36267265035	1.5568052036528948	0.12668165527623187	0.9984369187733166	-4.359388793058479	
IBP5	0.4188643053307215	-0.1247098089727885	0.9624384196342315	6.147607221725	1.5529938747143366	0.12758916367054163	0.9984369187733166	-4.36334449160088	
TRYB2	0.5928631519832432	-0.18773558519427025	1.3734618891607568	6.498819464025	1.5306707090666436	0.13300997520430538	0.9984369187733166	-4.386344749897658	
SOST	0.6369789833496656	-0.20305872920745194	1.4770166959067832	5.542306433	1.5282045099899422	0.1336200014305472	0.9984369187733166	-4.388868048984301	
SAA1	-0.5960531692645307	-1.3826924292326195	0.19058609070355814	5.514174343425	-1.5270896765993902	0.13389649469376988	0.9984369187733166	-4.390007535323089	
CD44	-0.4044075631482356	-0.9448607734983949	0.13604564720192375	6.557953890275	-1.5080520296492892	0.13868907842821132	0.9984369187733166	-4.40935457599935	
LOXL1	0.32778821339910214	-0.11520366502497414	0.7707800918231784	6.533969372475	1.4912577934129254	0.14302947166614643	0.9984369187733166	-4.426246112774955	
RNAS4	0.414315555428283	-0.1481561252677035	0.9767872361242695	6.220243387875	1.484518913163012	0.14480113519297058	0.9984369187733166	-4.43297757109808	
APOE	-0.4193474859869541	-0.9963468285834618	0.15765185660955366	6.43759068865	-1.4647175415960307	0.1501076837969166	0.9984369187733166	-4.452602555775384	
TINAL	0.4667949896674248	-0.18480290719076892	1.1183928865256185	6.04635459105	1.4437821540003972	0.1558837380960442	0.9984369187733166	-4.473099543301581	
