	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CO9	0.3552471362404074	-0.10390815065362125	0.814402423134436	6.502048080813953	-1.5569726865263789	0.12626624676467083	0.9615317255412346	-4.353701338259223	
APOB	-0.5745161738179057	-1.3293655483254323	0.1803332006896211	6.36219279927907	1.5316232757485655	0.13239970668218576	0.9615317255412346	-4.379453047032281	
CO4A2	0.37435880139542593	-0.12873879757110768	0.8774564003619596	6.244837519046512	-1.49742748782713	0.14104847135092777	0.9615317255412346	-4.413605923984842	
TRYB2	0.4581338160487164	-0.15958858754721317	1.075856219644646	6.414376621976744	-1.4924816299158552	0.14233569453357536	0.9615317255412346	-4.4184895838901035	
F13A	-0.34745502195953226	-0.8162295418452319	0.12131949792616742	6.776802851372093	1.491573274107967	0.14257311505281334	0.9615317255412346	-4.41938497302476	
FBN1	0.3277605118417838	-0.11609537248584628	0.7716163961694138	6.521996660790697	-1.4860199672675651	0.14403143677695196	0.9615317255412346	-4.424848582087858	
OLFL3	0.25411016632838496	-0.095556807021274	0.6037771396780439	6.60607172727907	-1.4624378668836409	0.15035611047073164	0.9615317255412346	-4.447849656673007	
DERM	0.3380433633243417	-0.12856558952549996	0.8046523161741834	6.436034329558139	-1.4579053990690656	0.15159640173993047	0.9615317255412346	-4.452233228994273	
SODE	0.4027406014947555	-0.1557805693929209	0.9612617723824319	6.164072113325582	-1.4510947544395643	0.15347521766925082	0.9615317255412346	-4.458797505037512	
PROP	-0.3041959441193798	-0.7368266517176725	0.12843476347891297	6.480600394767442	1.4149662300640977	0.163749027534206	0.9615317255412346	-4.493162818599023	
CO8B	0.3509164048487843	-0.1481921710391168	0.8500249807366853	6.506700411046512	-1.4148768371088858	0.16377509632470316	0.9615317255412346	-4.493246893150237	
PEDF	0.42172731140195385	-0.17877255741405773	1.0222271802179654	6.322062095418604	-1.4132819358168704	0.1642407447028836	0.9615317255412346	-4.494746110923175	
CATZ	-0.40676017701753486	-0.9863680166291255	0.17284766259405582	6.325331339906977	1.4122584252039323	0.1645401115474793	0.9615317255412346	-4.495707423969044	
SBSPO	-0.44197207634800734	-1.0762295415757557	0.19228538887974106	6.219696711255814	1.4022945355598697	0.1674766625341457	0.9615317255412346	-4.505033363289128	
APOD	-0.3940099971556526	-0.9622110487069582	0.1741910543956529	6.326708986255814	1.3954529745834774	0.16951642971860886	0.9615317255412346	-4.511402749436322	
CO7	0.3360677868845747	-0.15188606351875805	0.8240216372879074	6.605350283860465	-1.3859837369689372	0.17237128934264528	0.9615317255412346	-4.520172508851721	
IBP3	0.35256066004613973	-0.1607191551170153	0.8658404752092947	6.633041023674418	-1.3822597510760402	0.17350414667634062	0.9615317255412346	-4.523606768419034	
